"otu","lfc_(Intercept)","lfc_TreeSpeciesPine","se_(Intercept)","se_TreeSpeciesPine","W_(Intercept)","W_TreeSpeciesPine","p_(Intercept)","p_TreeSpeciesPine","q_(Intercept)","q_TreeSpeciesPine","diff_(Intercept)","diff_TreeSpeciesPine","HostID"
"Streptomyces",0.918216459263317,-1.85192506912358,0.51093060329973,0.722578172667726,1.79714515696109,-2.56294078505908,0.0723125784344508,0.0103789748409607,0.962446847127627,0.162430956261036,FALSE,FALSE,"Eucalyptus"
"Acidipila",-0.388759091923561,0.762026033250179,0.186335585555666,0.263533780010045,-2.0863384241086,2.89156871358629,0.0369479784289461,0.00383323758492819,0.962446847127627,0.107540289570833,FALSE,FALSE,"Pine"
"Haliangium",0.326664990866642,-0.668822132330227,0.167392877305477,0.236744965998225,1.95148680233573,-2.82507435590095,0.0509991646549054,0.00472696452115404,0.962446847127627,0.107540289570833,FALSE,FALSE,"Eucalyptus"
"Methylobacterium-Methylorubrum",0.754651036467822,-1.52479422353259,0.488664568384794,0.691089322716321,1.5443129813201,-2.20636345174513,0.122512529268043,0.0273585619069414,0.962446847127627,0.276233221834602,FALSE,FALSE,"Eucalyptus"
"Lechevalieria",-1.32649389786377,2.6374956451306,0.586371202784537,0.829267064767084,-2.26220846379319,3.18051416387964,0.0236845266387457,0.0014701395232357,0.962446847127627,0.0677837658679103,FALSE,FALSE,"Pine"
"Nocardia",-1.05883248050715,2.10217281041736,0.528287719926842,0.747124785160854,-2.00427237008989,2.81368367395919,0.0450408919180197,0.00489773973030157,0.962446847127627,0.107540289570833,FALSE,FALSE,"Pine"
"Rhodomicrobium",0.671726264309795,-1.35894467921653,0.401697633725238,0.56809988108357,1.67221862394454,-2.39208759668201,0.0944812193153421,0.0167528434944123,0.962446847127627,0.194208889398188,FALSE,FALSE,"Eucalyptus"
"Acidicaldus",-0.697906678471752,1.38032120634656,0.387493238162472,0.54801190698698,-1.80108092151824,2.51877958991018,0.0716901263418786,0.0117762347709749,0.962446847127627,0.169809286733426,FALSE,FALSE,"Pine"
"Mesorhizobium",0.731884822318382,-1.47926179523371,0.48758482507129,0.689562339048422,1.50104101827076,-2.14521836745761,0.133344952650899,0.0319353917270822,0.962446847127627,0.298157188879492,FALSE,FALSE,"Eucalyptus"
"Terriglobus",0.95611088630706,-1.92771392321106,0.626243800656472,0.885655333413413,1.52673908357224,-2.17659607579107,0.126825904614689,0.0295107182291102,0.962446847127627,0.288651712678484,FALSE,FALSE,"Eucalyptus"
"Subgroup_10",0.883142885510698,-1.78177792161834,0.397417734953585,0.562047212259242,2.22220300665203,-3.17015703085901,0.0262695893696787,0.00152356575768257,0.962446847127627,0.0677837658679103,FALSE,FALSE,"Eucalyptus"
