"otu","lfc_(Intercept)","lfc_TreeSpeciesPine","se_(Intercept)","se_TreeSpeciesPine","W_(Intercept)","W_TreeSpeciesPine","p_(Intercept)","p_TreeSpeciesPine","q_(Intercept)","q_TreeSpeciesPine","diff_(Intercept)","diff_TreeSpeciesPine","HostID"
"Umbelopsis",-0.458603978604612,0.949413657357732,0.266722451211045,0.377379636799276,-1.7194052338764,2.51580521251791,0.0855406098872051,0.0118760798838665,0.99671719319306,0.25533571750313,FALSE,FALSE,"Pine"
"Penicillium",-0.511591472318267,1.05538864478504,0.286915237763022,0.405934483698774,-1.78307529536238,2.59989896686924,0.074574047325882,0.00932512106776972,0.99671719319306,0.222766781063388,FALSE,FALSE,"Pine"
"Oidiodendron",-0.474141909169097,0.980489518486701,0.290988259266763,0.411694199344757,-1.62941938057517,2.38159663178938,0.103224268779339,0.0172377675183937,0.99671719319306,0.308843334704554,FALSE,FALSE,"Pine"
"Sagenomella",-0.450098339889937,0.932402379928381,0.296594544019837,0.419622130258141,-1.51755434806593,2.22200478167057,0.129126782837477,0.0262829824536372,0.99671719319306,0.376722748502133,FALSE,FALSE,"Pine"
"Phialocephala",-2.40553473549308,4.84327517113466,1.03971315002585,1.47052187395434,-2.31365231403802,3.2935757413188,0.0206868016043212,0.000989216858348329,0.99671719319306,0.0801276911724262,FALSE,FALSE,"Pine"
"Mollisia",1.21736339006135,-2.40252107997419,0.550125863415482,0.778152760151004,2.21288158041378,-3.08746714399365,0.0269058109147965,0.002018700862038,0.99671719319306,0.108505171334542,FALSE,FALSE,"Eucalyptus"
"Talaromyces",-0.886363853400019,1.80493340694854,0.449060231199923,0.635229418541414,-1.97381952757559,2.84138825165395,0.0484022675981546,0.00449175909521943,0.99671719319306,0.15994594134447,FALSE,FALSE,"Pine"
"Auricularia",1.77470830377957,-3.51721090741062,1.09275809772553,1.54553806193525,1.62406328305729,-2.27571937180669,0.104362303186219,0.0228628111559436,0.99671719319306,0.363842228534283,FALSE,FALSE,"Eucalyptus"
"Pezicula",1.23043328786246,-2.42866087557641,0.851123774081504,1.20381933615738,1.4456572890239,-2.01746292207662,0.148273349546669,0.0436472266201224,0.99671719319306,0.552009042548607,FALSE,FALSE,"Eucalyptus"
"Devriesia",-0.709811646693841,1.45182899353619,0.453713339925709,0.641809637417389,-1.56444958574519,2.26208662022945,0.11771202360418,0.0236920520906045,0.99671719319306,0.363842228534283,FALSE,FALSE,"Pine"
"Aspergillus",-0.63724752541097,1.30670075097045,0.425904989415098,0.602484373627876,-1.49621991112645,2.16885417807953,0.134596357524092,0.0300937564945883,0.99671719319306,0.40438485289603,FALSE,FALSE,"Pine"
"Ilyonectria",1.16270248868918,-2.29319927722986,0.562410205564186,0.795524931606085,2.06735666811524,-2.88262402109777,0.0387005581516807,0.00394377853052157,0.99671719319306,0.15994594134447,FALSE,FALSE,"Eucalyptus"
"Pezoloma",1.4604315739052,-2.8886574476619,0.626644410626896,0.886363417035199,2.33055868549786,-3.25899895251113,0.0197766421420836,0.00111806080705711,0.99671719319306,0.0801276911724262,FALSE,FALSE,"Eucalyptus"
"Pseudocamarosporium",0.677892259501694,-1.32357881885488,0.358125987046432,0.506635240166514,1.89288765412548,-2.61248865834888,0.0583728114177373,0.00898856746652365,0.99671719319306,0.222766781063388,FALSE,FALSE,"Eucalyptus"
"Exophiala",1.03484906782612,-2.03749243550373,0.593683148249657,0.839750328729677,1.74309995302569,-2.4263073985168,0.0813161568292351,0.0152533442534571,0.99671719319306,0.298133546772117,FALSE,FALSE,"Eucalyptus"
"Cryptosporiopsis",1.36520641499481,-2.69820712984111,0.464382029575859,0.656896838324483,2.93983472237656,-4.10750512473664,0.00328387362798395,3.99955906633669e-05,0.70603283001655,0.00859905199262389,FALSE,TRUE,"Eucalyptus"
"Arachnopeziza",0.889447405238856,-1.7466891103292,0.441952457326589,0.625177929976554,2.01254092039493,-2.79390718478291,0.0441629476284573,0.00520754227633157,0.99671719319306,0.15994594134447,FALSE,FALSE,"Eucalyptus"
