"otu","lfc_(Intercept)","lfc_TreeSpeciesPine","se_(Intercept)","se_TreeSpeciesPine","W_(Intercept)","W_TreeSpeciesPine","p_(Intercept)","p_TreeSpeciesPine","q_(Intercept)","q_TreeSpeciesPine","diff_(Intercept)","diff_TreeSpeciesPine","HostID"
"Phialocephala",-1.65024049169456,3.29830071444284,0.60385068086625,0.853973822529279,-2.73286185473406,3.86229721266399,0.00627866605988999,0.000112325794437614,0.999499757214311,0.0430959051688312,FALSE,TRUE,"Pine"
"Tomentella",1.21773528390719,-2.43765083676067,0.878360316492892,1.24218907223457,1.38637329241985,-1.96238309549414,0.165632947306109,0.0497178993586076,0.999499757214311,0.84684385154508,FALSE,FALSE,"Eucalyptus"
"Thelephora",-1.42900454470834,2.85582882047041,0.903505645979334,1.27774993822464,-1.58162215263128,2.23504516418793,0.113735853768353,0.0254143838244067,0.999499757214311,0.84684385154508,FALSE,FALSE,"Pine"
"Diplodia",-0.599215527826822,1.19625078670736,0.428569050358341,0.606088163430125,-1.39817732364434,1.97372405350608,0.162059824564028,0.048413128569957,0.999499757214311,0.84684385154508,FALSE,FALSE,"Pine"
"Devriesia",-0.423789736679783,0.845399204413284,0.161697575595596,0.228674904410141,-2.62087873067236,3.69694788588176,0.00877034534765424,0.000218207114778892,0.999499757214311,0.0430959051688312,FALSE,TRUE,"Pine"
"Athelopsis",-0.802686585193913,1.60319290144154,0.450189295319595,0.636663807076157,-1.78299793784318,2.51811534380149,0.0745866390104618,0.0117984676593366,0.999499757214311,0.84684385154508,FALSE,FALSE,"Pine"
"Clavulinopsis",1.06909002753482,-2.14036032401592,0.648122386934983,0.916583469681076,1.64951874689999,-2.33515047435959,0.0990414057780643,0.0195355613144262,0.999499757214311,0.84684385154508,FALSE,FALSE,"Eucalyptus"
"Leohumicola",1.13411124570666,-2.27040276035961,0.684432957817103,0.96793437148008,1.65700852472643,-2.34561642530362,0.0975177516090499,0.0189956449560721,0.999499757214311,0.84684385154508,FALSE,FALSE,"Eucalyptus"
"Pseudocamarosporium",0.900195561265116,-1.80257139147651,0.416832591047357,0.58949030349829,2.1596093506106,-3.05784739931985,0.0308029239490896,0.00222933070609423,0.999499757214311,0.293528542969074,FALSE,FALSE,"Eucalyptus"
"Ascocorticium",-0.591978623270152,1.18177697759402,0.426178198889833,0.602706988857741,-1.38904013582163,1.96078193789281,0.164820545733924,0.0499044659276796,0.999499757214311,0.84684385154508,FALSE,FALSE,"Pine"
"Flavocillium",0.50048284418507,-1.00314595731642,0.33660758429226,0.476035010903759,1.48684363496256,-2.1072944937641,0.137056113885962,0.0350920603560903,0.999499757214311,0.84684385154508,FALSE,FALSE,"Eucalyptus"
"Sarea",-0.39174872184466,0.781317174743037,0.213575085914609,0.302040783085439,-1.83424354094039,2.58679363350089,0.0666178508222651,0.00968735914104574,0.999499757214311,0.84684385154508,FALSE,FALSE,"Pine"
