"","E1-1_Root","E1-2_Root","E1-N_Soil","E1-S_Soil","E2-1_Root","E2-2_Root","E2-N_Soil","E2-S_Soil","E3-1_Root","E3-2_Root","E3-N_Soil","E3-S_Soil","E4-1_Root","E4-2_Root","E4-N_Soil","E4-S_Soil","E5-1_Root","E5-2_Root","E5-N_Soil","E5-S_Soil","E6-1_Root","E6-2_Root","E6-N_Soil","E6-S_Soil","E7-1_Root","E7-2_Root","E7-N_Soil","E7-S_Soil","E8-1_Root","E8-2_Root","E8-N_Soil","E8-S_Soil","E9-1_Root","E9-2_Root","E9-N_Soil","E9-S_Soil","Neg_Control","P1-1_Root","P1-2_Root","P1-N_Soil","P1-S_Soil","P2-1_Root","P2-2_Root","P2-N_Soil","P2-S_Soil","P3-1_Root","P3-2_Root","P3-N_Soil","P3-S_Soil","P4-1_Root","P4-2_Root","P4-N_Soil","P4-S_Soil","P5-1_Root","P5-2_Root","P5-N_Soil","P5-S_Soil","P6-1_Root","P6-2_Root","P6-N_Soil","P6-S_Soil","P7-1_Root","P7-2_Root","P7-N_Soil","P7-S_Soil","P8-1_Root","P8-2_Root","P8-N_Soil","P8-S_Soil","P9-1_Root","P9-2_Root","P9-N_Soil","P9-S_Soil"
"E1-1_Root",0,0.0195947286184769,0.0565882332918592,0.0782481377675823,0.0909444025665083,0.0731073548259073,0.0723091883024924,0.0778299425255669,0.0724519244594277,0.0778324596036127,0.0729970435669982,0.0759505499528269,0.0886073240452156,0.0830398397988128,0.0937977463207485,0.0782387972646495,0.0688997529432546,0.0716872181061265,0.0715472031677756,0.0775472045740793,0.0786441364887249,0.0691750904718087,0.0728316582583366,0.0841017391921565,0.103864865451779,0.103254050175649,0.0907267555764687,0.0730337392562282,0.061826680507121,0.0623858986022189,0.0697108333792603,0.0777093682343768,0.0903351955618792,0.0885194116977257,0.078640123198383,0.0754034843833234,0.401823947200476,0.0886690903491718,0.0773549333913902,0.136372283803877,0.0905338231974097,0.0627582604829042,0.0643885193618264,0.0658301181462253,0.0723359699600442,0.0707335068284621,0.0879495866762017,0.0854408961818173,0.0666860758333834,0.0833127405477022,0.0819623165114514,0.0961275461680947,0.0928632699583342,0.079132128943477,0.0760654059795087,0.0841760383404042,0.0983034678573653,0.108496377387886,0.101317307135317,0.0929589381175154,0.0837025169876165,0.108284469791594,0.104955395814295,0.0783552886267771,0.0647929234108134,0.0659325261924757,0.0673487403786599,0.0860131388785513,0.0820972620194171,0.0661312894241722,0.0649546093252233,0.0709576368091678,0.0785474847184028
"E1-2_Root",0.0195947286184769,0,0.058500027388535,0.0794117094208691,0.0918895826129061,0.0762950745984485,0.0720334818751067,0.0793130176440757,0.0735575734993723,0.0793650853751471,0.0734109458137365,0.0763780718036395,0.08869122157996,0.0834855898373071,0.0935682092447724,0.0791768206060063,0.0694618876033916,0.072347056031765,0.0721054408617555,0.0777130567380464,0.0767173884323266,0.0684221803768758,0.0736342031868492,0.0840380639338794,0.104605213977128,0.104376907938917,0.0906447909410799,0.0736898843789405,0.0644042575281742,0.0657834636125506,0.0700655733382574,0.0773837675597454,0.0913438692639339,0.0893090880924173,0.079276154931414,0.0760522450140323,0.401337021165735,0.0875423962297524,0.0765684025105504,0.137184675909881,0.0909164402652008,0.063131037513123,0.0649501132726264,0.0674012091513386,0.0736001799901557,0.069165060858991,0.087439992131485,0.0847708260995536,0.067040929192991,0.0832980232101866,0.0821506747269388,0.0958322529013229,0.0926013822483903,0.0799053147287771,0.0770804116166725,0.0840054048838346,0.0973926018398823,0.107130791332598,0.100431837485272,0.0926901735265542,0.0851568863853225,0.107802790199776,0.103935465411269,0.0780966273657419,0.0660331529770014,0.0659341343961244,0.0670857748414117,0.0868114044020625,0.083033051681553,0.0673038300740319,0.0663014416242725,0.0719493656260268,0.0791012633943348
"E1-N_Soil",0.0565882332918592,0.058500027388535,0,0.0572511413901456,0.123651462999484,0.0997956266415645,0.0481643231909023,0.0683049704333893,0.083609304310434,0.087201365151996,0.0573045542025732,0.0608560782722145,0.0931824074754927,0.0899961295433792,0.0765089883465379,0.0555019117922504,0.073496115428525,0.0736102911914197,0.0543007107918886,0.0584556628865556,0.0848786007143282,0.0759927761894121,0.0472727281116046,0.0679475399117191,0.104876676939821,0.104112918565482,0.0701144973967318,0.0484680739076911,0.0582345440181445,0.0601826405540398,0.0492467531721017,0.059194251068792,0.0880820911915652,0.0857001099575663,0.0529122918196066,0.0499383767287378,0.40039242145796,0.0911293040034704,0.0781114203672198,0.135567152167979,0.0775925284563868,0.0609683783740567,0.0617476865111388,0.0441146745522463,0.0508217526179942,0.0808637108240315,0.100126311700038,0.0664093169987159,0.0438573517552801,0.081147497743481,0.080524587326593,0.0736384496399364,0.0737799042346506,0.0697757064971058,0.0662096697558369,0.0625012834795495,0.0803693468533111,0.116323048812377,0.107717455261112,0.0747241161991045,0.063770890158858,0.105584183213363,0.102331820846166,0.0537767134937684,0.041965621662543,0.0604087927603534,0.0623652839736709,0.0620941957187176,0.0593817095283818,0.0683318363197515,0.0666353032371023,0.0425693362461054,0.0583753936020781
"E1-S_Soil",0.0782481377675823,0.0794117094208691,0.0572511413901456,0,0.127380402519358,0.106384109235069,0.0464285274918017,0.0801700084602479,0.0898047116432424,0.093731983114937,0.0605392468156701,0.0632913826061262,0.0924061477334488,0.0913270874996296,0.0504296835260467,0.0372932537774881,0.0797584560747877,0.0779928895854067,0.0552517354410717,0.0497327945280184,0.0869384514598159,0.0778094557585869,0.039769476528744,0.0496756891572838,0.108050814134161,0.108386206122542,0.0469764900776927,0.0453141750786732,0.0700372190983858,0.0722602456873288,0.0516329114996405,0.0683460566953591,0.0931881566317742,0.0902851949346909,0.046601181792736,0.0454158294471199,0.399433728156428,0.0995582810759727,0.0894748321412876,0.142188228657746,0.0943556222231799,0.0708889691610948,0.0708153626309178,0.0550297455547183,0.040813697487345,0.0890642474915142,0.107730820374187,0.068410272785303,0.0494436038973672,0.0819621519007216,0.0818186594057409,0.0792627168564674,0.0428649551831803,0.0864954336127662,0.0823847140967594,0.08256377709591,0.0931972750816654,0.116301713815611,0.106907521802151,0.0482061125656213,0.072850653670971,0.108884352977432,0.10477554698048,0.0574295210917896,0.0609072441441525,0.0752310297454612,0.0778533726437558,0.0756375950400337,0.0641552953178151,0.0859807767766189,0.0835292697718231,0.0619625543190484,0.0393747362678467
"E2-1_Root",0.0909444025665083,0.0918895826129061,0.123651462999484,0.127380402519358,0,0.0510508566344266,0.125282530802992,0.131362349864618,0.106417760443593,0.111029673544235,0.126804043298771,0.128048725409737,0.120161081484761,0.115144672444111,0.138003583881302,0.128579612236038,0.111893183410593,0.115464276108511,0.125396379280146,0.129475163602538,0.116127269690598,0.111079818807581,0.127613693852718,0.132209291227913,0.134815088254621,0.136635808077438,0.137943687022699,0.129276201931108,0.116402137163645,0.116505653496295,0.125104806685793,0.1294743781371,0.128791758220862,0.12782579413872,0.131804526087167,0.129241578111751,0.413907597234678,0.11746992078274,0.112971734509159,0.175140088380111,0.141755073883596,0.110177245118597,0.111331365544645,0.123633348791967,0.12453150468993,0.111744034453852,0.123935966677881,0.136170459308165,0.125437296937679,0.113318326532049,0.113283049239709,0.143068904781922,0.1369767473448,0.129670437770515,0.127962009695766,0.138674461689025,0.145653432925841,0.121411967886723,0.116850228203481,0.137706042441507,0.13421147310097,0.134126714801234,0.131910998674718,0.132414397719695,0.123140723625553,0.115693786973617,0.115788014770521,0.137985699608338,0.134702580042781,0.124694613102731,0.123924403129213,0.129062389226101,0.129011462962771
"E2-2_Root",0.0731073548259073,0.0762950745984485,0.0997956266415645,0.106384109235069,0.0510508566344266,0,0.106107131479464,0.109414687264795,0.0921480463043558,0.096239412923348,0.107078695522408,0.108481216132377,0.103079901406588,0.0973030358715551,0.123451194701485,0.107349957818311,0.0949719875128672,0.0979039430554657,0.105782656666421,0.110604219033035,0.101980287525978,0.0941373829329401,0.107893654914663,0.115176096309636,0.116131977283161,0.115977883415091,0.12267019751207,0.110012782899264,0.0892901017496594,0.0873133444429526,0.105627085263472,0.111741161516634,0.108074553825886,0.107504448894509,0.112925582143429,0.110408217084534,0.410234211983156,0.0969360574208118,0.0893474568690259,0.162855720177041,0.123320990773443,0.085351258696821,0.0853827764937107,0.101422079163713,0.10510592222437,0.0935340915472903,0.108028157898918,0.119140909574252,0.106108131903927,0.0954526265557257,0.0938532411226154,0.128486043467684,0.122229267846253,0.10682755483047,0.105108339159375,0.120538149661745,0.133126397728929,0.106766124243618,0.099119512530779,0.123388737188985,0.113651325125133,0.120780674404844,0.118988377012972,0.114267674490799,0.0998301994653478,0.0896765118406438,0.0903857276478745,0.118839432888663,0.115651300106193,0.100551543245898,0.0998969093445232,0.106978808923315,0.110306208856875
"E2-N_Soil",0.0723091883024924,0.0720334818751067,0.0481643231909023,0.0464285274918017,0.125282530802992,0.106107131479464,0,0.0748165957439427,0.0858217810582891,0.0902856045490877,0.0549105708375247,0.0561536585363704,0.0910627357868928,0.0893762898314143,0.0590732253281514,0.0449604192290953,0.073209648193798,0.0725354323492218,0.0485166811492011,0.0472504866836864,0.082070282930252,0.074313436831523,0.0400828982149591,0.0549143091485464,0.106344169042173,0.10642376110241,0.0569485625572114,0.0412414159212754,0.0659898518359276,0.0699181074359082,0.043610971817861,0.0536941023235553,0.0910403228039889,0.0879502081099156,0.0477315590596048,0.0473404281111186,0.397882563070311,0.0947300324682844,0.0844065290600215,0.137474630348591,0.0826722935692838,0.06575657015013,0.0667902875566848,0.0435477876796518,0.0474623481310945,0.0855071574454596,0.105148873224364,0.0629751778421409,0.0459041243913134,0.0800598837407327,0.0796719853936781,0.0691878861586584,0.0538500975600975,0.0738267801120382,0.0711035167805238,0.0678752646419605,0.0786733744160541,0.114981471510142,0.106789392642985,0.0573011432473535,0.069916517224659,0.103930637529771,0.0996672599020645,0.0459776240575359,0.0492767515201801,0.0672727061520137,0.0692197327334492,0.0657780038705534,0.0631985682166142,0.0817384924901888,0.0800114640160455,0.0499965043170504,0.0476970284453324
"E2-S_Soil",0.0778299425255669,0.0793130176440757,0.0683049704333893,0.0801700084602479,0.131362349864618,0.109414687264795,0.0748165957439427,0,0.0930884445888059,0.0977325158906901,0.0757288385756186,0.0770226384121592,0.106312085222474,0.102935708256848,0.0948375494088677,0.0788276462506534,0.0848351502074266,0.0847879342091892,0.0765021122325602,0.0831532247342945,0.0940807530256128,0.087311607281009,0.0765438966048825,0.0858682942452676,0.114752604794107,0.112596576423044,0.0927360849467287,0.075499856862699,0.0778636439212981,0.0796628268183004,0.0760703909801207,0.0816823864234709,0.105780832508917,0.103975129434042,0.0813791691868124,0.077259069833992,0.401342848454413,0.105419827497659,0.0955109076619811,0.142556984689141,0.0900773317429246,0.0813400003163981,0.078802978077219,0.0647170076763665,0.0766690784002377,0.0998423099680565,0.116748450648012,0.0907650592604707,0.0736206316868096,0.0958589255151808,0.0940843191013769,0.0987367136229094,0.0941163690890584,0.0856863556836839,0.0836386313463952,0.0854986510780457,0.0994699158371437,0.125724226816048,0.117933153351847,0.0921055861531239,0.0834830507971075,0.120361018617847,0.117040223099205,0.0836451967229708,0.0700043698724838,0.0801912465869004,0.0843019653624044,0.0844745769518719,0.07967545865329,0.0900350949898141,0.0891440025249427,0.072027136577026,0.0797632904339384
"E3-1_Root",0.0724519244594277,0.0735575734993723,0.083609304310434,0.0898047116432424,0.106417760443593,0.0921480463043558,0.0858217810582891,0.0930884445888059,0,0.0277570193076093,0.0800954898057936,0.0715620052409213,0.0992977485384926,0.0931197817854655,0.101533110084858,0.0874936145304485,0.0673786173793454,0.0708829613753927,0.0815672094433069,0.0865582787970081,0.0927679363067205,0.0824963502133594,0.0880007970449439,0.0919804124334077,0.114780756070984,0.11471948228924,0.102650761675382,0.0838145533415056,0.0788509045013676,0.080552028836313,0.0820766678724103,0.0942161751821444,0.097136545423484,0.0972481750244548,0.093400248032236,0.0877469567809551,0.403688105373895,0.108349302261715,0.101162254835711,0.153031843997798,0.108939439858174,0.0864597615548447,0.0833732581076024,0.0794491478188876,0.0877491671527241,0.0969843625208347,0.108164275444089,0.0969362511240878,0.0869884961718783,0.0939733726921688,0.0931792659265943,0.110811197170068,0.103553888269431,0.0919715335950657,0.0919065422484884,0.103054675245363,0.117769232431642,0.126097912510273,0.12082240898022,0.100728996540384,0.100507641373484,0.124202465751444,0.121105253168198,0.0959723054857489,0.081617599354349,0.0791799326188599,0.0839519554068346,0.0952054848063946,0.0962727036041267,0.0856320231960814,0.083208640865291,0.0804387135688721,0.0869677049509754
"E3-2_Root",0.0778324596036127,0.0793650853751471,0.087201365151996,0.093731983114937,0.111029673544235,0.096239412923348,0.0902856045490877,0.0977325158906901,0.0277570193076093,0,0.0843222084208046,0.0754216902386319,0.103122832675969,0.0966159742180261,0.106196881407421,0.0911762446052022,0.0712381389354998,0.074924306424355,0.0858958202084438,0.0903551191895079,0.0984746411738317,0.0881455355085229,0.0921551796998022,0.0968917714822531,0.118267393858019,0.118296666004436,0.106962768172642,0.0877507920813712,0.0816799621915182,0.083135959388082,0.0860605242925201,0.0977293799509912,0.099924486884935,0.10048052336138,0.0974807272532387,0.0917646431750353,0.405538665114665,0.111693545312417,0.104644281011267,0.15678496887561,0.11317767739494,0.0897225618039799,0.086466581509128,0.0835381619329588,0.09220605679605,0.101297129513199,0.110912171740657,0.100764146715037,0.0913162197603582,0.0982924653482044,0.0978752027137484,0.115027211856575,0.10830228615432,0.0941190646908095,0.0948344966975384,0.10646804700693,0.121435168891712,0.129897221964663,0.124879646991243,0.105540003346786,0.104308521903577,0.127856548118839,0.124994131276519,0.0995596893152593,0.0852503952720438,0.0817456274792084,0.0861521179205394,0.0977203369129094,0.0996961234839886,0.0884522903555291,0.0857678086597133,0.0829686075493694,0.0913135593547095
