"","Copiotroph_richness","Oligotroph_richness","OtherBacteria_richness"
"E1-1_Root",395,181,586
"E1-2_Root",345,151,499
"E1-N_Soil",383,245,684
"E1-S_Soil",339,357,639
"E2-1_Root",350,143,507
"E2-2_Root",297,143,443
"E2-N_Soil",412,319,781
"E2-S_Soil",359,149,571
"E3-1_Root",292,85,354
"E3-2_Root",271,66,312
"E3-N_Soil",430,318,938
"E3-S_Soil",542,305,1018
"E4-1_Root",280,179,458
"E4-2_Root",307,174,502
"E4-N_Soil",398,456,843
"E4-S_Soil",299,312,614
"E5-1_Root",330,151,469
"E5-2_Root",351,142,527
"E5-N_Soil",388,300,853
"E5-S_Soil",350,279,701
"E6-1_Root",338,143,460
"E6-2_Root",412,198,597
"E6-N_Soil",384,310,732
"E6-S_Soil",390,513,870
"E7-1_Root",356,160,536
"E7-2_Root",338,156,500
"E7-N_Soil",374,359,782
"E7-S_Soil",479,432,991
"E8-1_Root",456,211,777
"E8-2_Root",388,176,656
"E8-N_Soil",438,414,1016
"E8-S_Soil",340,238,684
"E9-1_Root",321,165,589
"E9-2_Root",314,164,582
"E9-N_Soil",407,348,788
"E9-S_Soil",409,373,759
"P1-1_Root",268,130,399
"P1-2_Root",250,132,377
"P1-N_Soil",237,67,359
"P1-S_Soil",381,170,671
"P2-1_Root",352,174,557
"P2-2_Root",294,142,481
"P2-N_Soil",467,244,790
"P2-S_Soil",347,351,674
"P3-1_Root",309,154,541
"P3-N_Soil",237,257,458
"P3-S_Soil",350,334,719
"P4-1_Root",282,170,476
"P4-2_Root",260,151,450
"P4-N_Soil",273,187,491
"P4-S_Soil",272,407,716
"P5-1_Root",397,169,588
"P5-2_Root",566,211,794
"P5-N_Soil",272,149,460
"P5-S_Soil",249,141,479
"P6-1_Root",306,241,496
"P6-2_Root",258,205,429
"P6-N_Soil",324,453,665
"P6-S_Soil",332,198,560
"P7-1_Root",338,170,611
"P7-2_Root",321,170,610
"P7-N_Soil",280,226,562
"P7-S_Soil",395,265,864
"P8-1_Root",375,192,637
"P8-2_Root",381,200,609
"P8-N_Soil",322,198,617
"P8-S_Soil",399,286,692
"P9-1_Root",357,157,511
"P9-2_Root",394,171,596
"P9-N_Soil",427,299,696
"P9-S_Soil",428,426,922
