"","treeName","Gryllotalpicola","Limnobacter","Acidisoma","Dinghuibacter","Acidiphilium","11-24","SM1A02","Subgroup_5","A4b","Mesorhizobium"
"2","E1",0,0,9,0,137,22,18,15,9,10
"4","E2",2,11,23,2,28,14,12,9,28,10
"6","E3",0,0,17,0,25,13,133,48,90,29
"8","E4",0,0,0,0,52,9,21,21,12,16
"10","E5",0,0,14,0,24,44,54,17,54,19
"12","E6",0,0,3,0,229,8,16,8,19,10
"14","E7",0,0,23,0,94,22,22,14,23,21
"16","E8",0,0,14,0,16,10,6,10,33,12
"18","E9",10,2,31,0,148,13,4,8,12,3
"20","P1",118,26,63,1,230,0,0,0,2,2
"22","P2",0,18,44,5,180,3,3,3,6,0
"24","P3",0,0,6,0,262,2,16,0,17,13
"26","P4",9,0,8,0,71,12,0,7,2,1
"28","P5",17,5,57,15,98,0,0,0,0,0
"30","P6",0,8,34,0,180,1,0,1,0,8
"32","P7",0,0,34,5,92,4,5,12,16,0
"34","P8",9,5,28,4,153,0,9,0,7,3
"36","P9",12,5,52,9,108,10,22,17,27,18
