Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
000114522cf6b697a17cc86ce79b782b,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
002141e166bf12e2bad5e905de4d3264,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00052
002ae694e5250ce6ee1d8ee5e9142eca,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
0066ec362756e0f0e59a8d71221e5664,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
00931b8e04b8901078122e4ea801400d,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
00947305f036128a870f6d7b2e2bb8c8,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00213
0099295dbfb4863d3731e7b669f691c1,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00362
00d97c9684cdfbf5d9ea0cd3649bf347,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
00f6018dee6b6d021a8a7dbb8b6f66d3,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00191
0150460696688302c3bdcdeb42eb7d4e,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
01875334f3a4a6bf2dc6bc99754c1f1b,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
01d7573609542782568242d3d2c1e702,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
02216211d05f8c833d22afd9020c125b,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0224124eca3ab1384bcaba3d2715e4af,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0232b42aac7f7b8ef1a7fd097e7caef7,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
025a65e5104eda0a8c97112b463928de,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00166
026547351955cfcc18747fd254ddb27a,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00052
0275a9d6df0ad1cef6bffbc8e39ed9a6,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
02a7b9a9df0544c69039d85d128ee385,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00352
02fd977ba053afe827b1fc93a2f6cba4,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0313f75d99a066f6bbf9d08e9b9e87f5,Fungi,Mucoromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,VTX00051
034778135a3c67c528d1dc370602e912,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0393cc19cc2c8ad4ab4eb118d5e46682,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
03998b1694fc795941dff418c53d27a7,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
03d97ff01307d7a201e5aeaebc3f8fc7,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
03da57bcf077ab0d1ba8937d75f20faf,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
03e599b6c0f27e77b6d4446ae97e5c67,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
03ed9e38245609494a9c6591636b14a7,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
04074dc36b7cc99926a9ed3e1dce6cfc,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
04082cf0bc6adc3c166b0909b0ebea01,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00312
044829d24d2f7111ebb479d625591cce,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00213
0469cbb694c197dcf86931ad0a74f3aa,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0470fa6196f7c20ee9a6317031cf2b9f,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
04d4b1940918633a1b8dd00a2dca6bf6,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
04f7c34d8b35d33489c90b5cf932d1e9,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
051248ebf4da10d745172be9e206eb3f,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
0530056c6ab4e9df8bdee2c839df937c,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
053ee9a8fdac0df165ab4c429e9cbfd7,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0568086ebe55fce64fa370fa3db0237a,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
056c97364233521ad5bfc6b3f99e9a6d,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00362
05ccbc69ba2b0afe6796906eb01d221d,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00191
05e451b8a176accda3cf5e3582aa5bc6,Fungi,Mucoromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,Archaeospora,VTX00005
0606a6077eaf11cd70500de438f275d7,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00052
063b058ce85d59923e5bf8537a55e5df,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
0669646d20cfb9f5c1dc65b0fb3c33b4,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
06cc006ac27fb24ecddbca3cd7ef8ffb,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00308
071255aa5ef4464c43c8322785ffe47b,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00213
074eaafa72a85d251276545536760e31,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
07685ea86e1167a27df2a5075130a7f8,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
077e9673e39edb87205570694241c4c9,Fungi,Mucoromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,VTX00444
