sample-id	Species	SampleType	Plot	Subplot
E1-1_Root	Eucalyptus	Root	E1	Combined
E1-2_Root	Eucalyptus	Root	E1	Combined
E1-N_Soil	Eucalyptus	Soil	E1	North
E1-S_Soil	Eucalyptus	Soil	E1	South
E2-1_Root	Eucalyptus	Root	E2	Combined
E2-2_Root	Eucalyptus	Root	E2	Combined
E2-N_Soil	Eucalyptus	Soil	E2	North
E2-S_Soil	Eucalyptus	Soil	E2	South
E3-1_Root	Eucalyptus	Root	E3	Combined
E3-2_Root	Eucalyptus	Root	E3	Combined
E3-N_Soil	Eucalyptus	Soil	E3	North
E3-S_Soil	Eucalyptus	Soil	E3	South
E4-1_Root	Eucalyptus	Root	E4	Combined
E4-2_Root	Eucalyptus	Root	E4	Combined
E4-N_Soil	Eucalyptus	Soil	E4	North
E4-S_Soil	Eucalyptus	Soil	E4	South
E5-1_Root	Eucalyptus	Root	E5	Combined
E5-2_Root	Eucalyptus	Root	E5	Combined
E5-N_Soil	Eucalyptus	Soil	E5	North
E5-S_Soil	Eucalyptus	Soil	E5	South
E6-1_Root	Eucalyptus	Root	E6	Combined
E6-2_Root	Eucalyptus	Root	E6	Combined
E6-N_Soil	Eucalyptus	Soil	E6	North
E6-S_Soil	Eucalyptus	Soil	E6	South
E7-1_Root	Eucalyptus	Root	E7	Combined
E7-2_Root	Eucalyptus	Root	E7	Combined
E7-N_Soil	Eucalyptus	Soil	E7	North
E7-S_Soil	Eucalyptus	Soil	E7	South
E8-1_Root	Eucalyptus	Root	E8	Combined
E8-2_Root	Eucalyptus	Root	E8	Combined
E8-N_Soil	Eucalyptus	Soil	E8	North
E8-S_Soil	Eucalyptus	Soil	E8	South
E9-1_Root	Eucalyptus	Root	E9	Combined
E9-2_Root	Eucalyptus	Root	E9	Combined
E9-N_Soil	Eucalyptus	Soil	E9	North
E9-S_Soil	Eucalyptus	Soil	E9	South
Neg_Control	NegControl	NegControl	NegControl	NegControl
P1-1_Root	Pine	Root	P1	Combined
P1-2_Root	Pine	Root	P1	Combined
P1-N_Soil	Pine	Soil	P1	North
P1-S_Soil	Pine	Soil	P1	South
P2-1_Root	Pine	Root	P2	Combined
P2-2_Root	Pine	Root	P2	Combined
P2-N_Soil	Pine	Soil	P2	North
P2-S_Soil	Pine	Soil	P2	South
P3-1_Root	Pine	Root	P3	Combined
P3-2_Root	Pine	Root	P3	Combined
P3-N_Soil	Pine	Soil	P3	North
P3-S_Soil	Pine	Soil	P3	South
P4-1_Root	Pine	Root	P4	Combined
P4-2_Root	Pine	Root	P4	Combined
P4-N_Soil	Pine	Soil	P4	North
P4-S_Soil	Pine	Soil	P4	South
P5-1_Root	Pine	Root	P5	Combined
P5-2_Root	Pine	Root	P5	Combined
P5-N_Soil	Pine	Soil	P5	North
P5-S_Soil	Pine	Soil	P5	South
P6-1_Root	Pine	Root	P6	Combined
P6-2_Root	Pine	Root	P6	Combined
P6-N_Soil	Pine	Soil	P6	North
P6-S_Soil	Pine	Soil	P6	South
P7-1_Root	Pine	Root	P7	Combined
P7-2_Root	Pine	Root	P7	Combined
P7-N_Soil	Pine	Soil	P7	North
P7-S_Soil	Pine	Soil	P7	South
P8-1_Root	Pine	Root	P8	Combined
P8-2_Root	Pine	Root	P8	Combined
P8-N_Soil	Pine	Soil	P8	North
P8-S_Soil	Pine	Soil	P8	South
P9-1_Root	Pine	Root	P9	Combined
P9-2_Root	Pine	Root	P9	Combined
P9-N_Soil	Pine	Soil	P9	North
P9-S_Soil	Pine	Soil	P9	South
