"","E1-1_Root","E1-2_Root","E1-N_Soil","E1-S_Soil","E2-1_Root","E2-2_Root","E2-N_Soil","E2-S_Soil","E3-1_Root","E3-2_Root","E3-N_Soil","E3-S_Soil","E4-1_Root","E4-2_Root","E4-N_Soil","E4-S_Soil","E5-1_Root","E5-2_Root","E5-N_Soil","E5-S_Soil","E6-1_Root","E6-2_Root","E6-N_Soil","E6-S_Soil","E7-1_Root","E7-2_Root","E7-N_Soil","E7-S_Soil","E8-1_Root","E8-2_Root","E8-N_Soil","E8-S_Soil","E9-1_Root","E9-2_Root","E9-N_Soil","E9-S_Soil","P1-1_Root","P1-2_Root","P1-N_Soil","P1-S_Soil","P2-1_Root","P2-2_Root","P2-N_Soil","P2-S_Soil","P3-1_Root","P3-2_Root","P3-N_Soil","P3-S_Soil","P4-1_Root","P4-2_Root","P4-N_Soil","P4-S_Soil","P5-1_Root","P5-2_Root","P5-N_Soil","P5-S_Soil","P6-1_Root","P6-2_Root","P6-N_Soil","P6-S_Soil","P7-1_Root","P7-2_Root","P7-N_Soil","P7-S_Soil","P8-1_Root","P8-2_Root","P8-N_Soil","P8-S_Soil","P9-1_Root","P9-2_Root","P9-N_Soil","P9-S_Soil"
"E1-1_Root",0,0.489374082812791,0.541874252805527,0.552048546556143,0.482727534295588,0.481181535557266,0.609162955775242,0.515001668674047,0.565838159815036,0.555887094667415,0.479223914113482,0.511843678310266,0.594965024796783,0.571711882525065,0.559629618478618,0.566411235919568,0.733110738274042,0.736572650628677,0.57137053094517,0.655488501401588,0.498061204149371,0.487606528345886,0.659274887502626,0.467403563493451,0.541691992828051,0.552268924652478,0.55729983627968,0.508613241650304,0.534744036507543,0.575959623137102,0.487743464564757,0.493762890656213,0.461954592534055,0.505179487862465,0.532841586090441,0.429826200638921,0.631126973804323,0.596337833449339,0.568697946984878,0.629276814780675,0.502979420100788,0.50794866277611,0.569349882047713,0.717150467921139,0.533755130716741,0.53977717756071,0.509637538907289,0.598629036235534,0.587667165904702,0.577694291182573,0.548097031352185,0.619602733353153,0.517199649461007,0.504581142671199,0.527972727743882,0.600081344529105,0.491308525657333,0.50854927528745,0.652258873760081,0.467241758567213,0.597462500152518,0.612094841058661,0.562403137080789,0.52952746955833,0.581216762258457,0.599451624547706,0.716124118556592,0.62337218767438,0.585518563164628,0.525016820687262,0.506002103007053,0.479821206980804
"E1-2_Root",0.489374082812791,0,0.608081106575445,0.617165246807928,0.556020192160009,0.554678460699239,0.668743247806897,0.619541315770257,0.629530624895209,0.620943085068613,0.568938586840634,0.581478820528521,0.654930205012065,0.634815581790777,0.623955919644582,0.630045920220988,0.783324382189764,0.786565486343322,0.634508181814022,0.711200323238444,0.550811977747231,0.560261477958522,0.71469188596641,0.542768974270803,0.607918660017542,0.616416531998513,0.621867150816706,0.578637156638404,0.601735646256222,0.638643802320708,0.560380636476236,0.565627764042022,0.523055004268464,0.575978109413953,0.596497363290094,0.538075433635588,0.68881103437716,0.657404322192213,0.561071341069943,0.68711614300074,0.575172842057059,0.578053090200374,0.632689122088218,0.768407139394601,0.603916787584707,0.606213010453172,0.579537710632586,0.661090508109216,0.649222306785516,0.641527818924802,0.613633100329839,0.678267209189727,0.586199076440402,0.575100798304451,0.595726047833702,0.660481108025745,0.563486480104146,0.578580977731504,0.708224369477174,0.542629647851735,0.658102440402068,0.671415131273986,0.626444746602544,0.59710444997444,0.643389117117058,0.659908917322932,0.767449311865555,0.681712435949116,0.635294668528272,0.593107770935935,0.576343263859206,0.553498779037282
"E1-N_Soil",0.541874252805527,0.608081106575445,0,0.539563367082586,0.476873187326252,0.446186924266503,0.6045340276241,0.54961634502589,0.560851862910556,0.551195743184747,0.49187408630308,0.506326040683767,0.59110439557636,0.566777246372016,0.554587517544654,0.561430020100573,0.729203877638825,0.732748758254783,0.566432920890176,0.651188851404413,0.492382892749696,0.481811456695125,0.655000077785718,0.461354833133436,0.53648137054998,0.547159013186123,0.552236465664282,0.503060180451197,0.529465055314552,0.571061690303517,0.481950040894622,0.488040916653557,0.455833571996989,0.499999417114265,0.51644304735664,0.451972898412266,0.626660251548363,0.59196704788477,0.563736941788319,0.603086880062354,0.499071619183465,0.502388255740953,0.541370796557651,0.700532718061896,0.531942495655613,0.534547893878208,0.504095760991259,0.596057887193552,0.582518740862102,0.57428511581212,0.542947864810472,0.615052345741275,0.511739753114249,0.498988630024673,0.522625368616721,0.595381828744885,0.485557631015409,0.502995505189049,0.647937816704548,0.461190905758095,0.592742234058913,0.607488246889297,0.55738612347926,0.487539210465668,0.548465603412479,0.594747139207402,0.710877749171137,0.618849513192897,0.580701245326646,0.519639052392638,0.500420072510064,0.46948932193513
"E1-S_Soil",0.552048546556143,0.617165246807928,0.539563367082586,0,0.488403094279795,0.482756188329676,0.613670668980179,0.559649938833291,0.570688031268572,0.561201129590034,0.50306037317972,0.517199918368306,0.600445369457204,0.576512371064533,0.564532806233794,0.571256256438996,0.736861050609025,0.740305440825916,0.576173863737416,0.659679917387017,0.503564024756442,0.492564509995516,0.663442408314466,0.473262883256989,0.546756001513536,0.557236859751436,0.56222333995898,0.514003134328724,0.539873198492496,0.580725004762124,0.493361341991108,0.499313064652995,0.46788213905264,0.511007913515172,0.53638352231328,0.467872787115876,0.63547899925334,0.601294599292498,0.573523642274352,0.633641540924909,0.510100132603479,0.513345533411976,0.570861005791384,0.719129703794951,0.542303107796327,0.544858977601704,0.515016712578312,0.605322426737846,0.592338403183416,0.583895096675553,0.55310242792026,0.624035097608092,0.52250100514281,0.51001893258075,0.533167012035465,0.60465673967705,0.496886112879898,0.51393984328389,0.656470870432916,0.473103082774413,0.602057776775041,0.616581131378257,0.567282357004491,0.529520154747991,0.581940440863948,0.604031779256802,0.719962857446743,0.627777945630671,0.590206796017217,0.530240049268855,0.511419506941545,0.48553073473408
"E2-1_Root",0.482727534295588,0.556020192160009,0.476873187326252,0.488403094279795,0,0.386290796438709,0.552138814225297,0.491402171837941,0.503936778921366,0.492927478101172,0.425840106530406,0.442453754510232,0.466856543104672,0.443935172485251,0.496955749021412,0.503170378907254,0.686302188221364,0.690152468069426,0.510140603739354,0.602860433349177,0.426434899835024,0.411403081165765,0.606974942263345,0.390190710214193,0.47666611235761,0.488618658880513,0.494330701378079,0.438712796691843,0.468755568605949,0.514810777117363,0.414337790338556,0.389606157327943,0.383646827073416,0.423794481378142,0.466584220171765,0.383635444752206,0.544269033294644,0.538350602092391,0.507145677584025,0.545143363599949,0.434133534037047,0.437866183931551,0.507876493899826,0.66938553484384,0.471551974872086,0.414288922880591,0.422708671662146,0.486828945434299,0.524289649705862,0.518845305323265,0.451307809780121,0.563635182275256,0.448638691477225,0.372906036764995,0.409876528128335,0.542103010699032,0.402885475047326,0.414029358115808,0.599347700830928,0.389996866078442,0.539202869428536,0.537751244738839,0.474151841462196,0.462795983154619,0.521144742750763,0.527342005361623,0.668285860385688,0.567776251819599,0.525938010185468,0.442846286893489,0.435683026334161,0.404982377015773
"E2-2_Root",0.481181535557266,0.554678460699239,0.446186924266503,0.482756188329676,0.386290796438709,0,0.550787628994979,0.489883544772907,0.502456025790995,0.491654672498218,0.424086820103335,0.440766547557852,0.53601342996513,0.509061297708644,0.495454138099304,0.416819663076832,0.685370211584495,0.689071854295009,0.508677903378569,0.601623132095424,0.424684067515929,0.412373693020039,0.605746039294997,0.388276506091786,0.475100393859608,0.487124951749343,0.492821092734008,0.437011149931046,0.467163343971755,0.513827163787793,0.412535630041197,0.419635052727907,0.381699811422945,0.433484317847725,0.458729886107677,0.379237234325131,0.574984878605872,0.536964733632639,0.505674319480294,0.57295353009917,0.432364722419602,0.408321525314006,0.493716413444276,0.661545611774927,0.46996922198877,0.472916091343248,0.438202841468302,0.541471139035193,0.453876594829946,0.44906480642113,0.482390125751865,0.562311608424478,0.446974827077033,0.432318121061743,0.459397262080914,0.540726754405321,0.416744379183849,0.423894989535854,0.598103142378141,0.388045758742074,0.499326166115297,0.554028397322522,0.496760489820627,0.440681790169984,0.504437407427464,0.474578338274398,0.667169848712294,0.566419285190376,0.524519357489961,0.455997190933631,0.433720264042422,0.403138403304717
"E2-N_Soil",0.609162955775242,0.668743247806897,0.6045340276241,0.613670668980179,0.552138814225297,0.550787628994979,0,0.614280602427576,0.626105055096582,0.617469883676439,0.565145926350303,0.577535688352122,0.653344284095364,0.631418677518687,0.620499580577983,0.621581733944282,0.78057387872421,0.783826352124295,0.631109622928403,0.70816983518172,0.565594346456755,0.556409682217715,0.707450059902846,0.538771720401308,0.604370628560955,0.613868947805237,0.618207219756382,0.574908472543415,0.598150946086638,0.635267367250645,0.556529666033776,0.561812756934292,0.534071880927188,0.572232100129205,0.596450694752953,0.534063671982253,0.685566214372102,0.653875037874046,0.628690826237117,0.679940477265579,0.571421554776641,0.569845896168706,0.629280741269307,0.765603062149266,0.600345108868607,0.602654938768622,0.575814857935924,0.65782927375507,0.645901163719008,0.63816664113391,0.610118294124434,0.302323962111551,0.58251879056091,0.570420874892016,0.59210497152245,0.65721684763618,0.559656877365411,0.57485192810802,0.705181103052513,0.538651801550121,0.65482632810821,0.668204277679223,0.623002214362017,0.593491782528078,0.640037711736473,0.656641815215315,0.764641722830615,0.678550296155172,0.643946792357966,0.589470614229206,0.572599644616053,0.549599596343855
"E2-S_Soil",0.515001668674047,0.619541315770257,0.54961634502589,0.559649938833291,0.491402171837941,0.489883544772907,0.614280602427576,0,0.573256778132586,0.563813101455747,0.505972578165371,0.518011474560828,0.602887338515121,0.579055280479963,0.567129433739515,0.573822459263304,0.73885227989731,0.742287430014137,0.578718260563047,0.661903382539647,0.50647333362961,0.485778583639563,0.665653305198422,0.476357292126094,0.549436649862316,0.559867326987519,0.561700167782501,0.516853685330317,0.542587852861466,0.583249547673031,0.496330459823725,0.502246998665882,0.471011899542194,0.513875079872932,0.54071299333637,0.471002609792251,0.636818081173616,0.603733133744419,0.576079745092112,0.635956051867374,0.512972372960146,0.516199715817749,0.576723348026458,0.723018703934138,0.539421992247983,0.547548913471642,0.517861684389313,0.604293807445059,0.594813656988322,0.584786736168635,0.555752464726836,0.626385106371271,0.525305444059921,0.51289162774894,0.535915637904491,0.607081768654724,0.499834292913187,0.516790743280323,0.658705168832446,0.476198530039448,0.604493232550551,0.618959442505818,0.569866456071513,0.537447407511358,0.588441577493442,0.606459307506394,0.722000693872298,0.630113995431903,0.592690952360943,0.533003769606688,0.514284378759193,0.488547445511753
"E3-1_Root",0.565838159815036,0.629530624895209,0.560851862910556,0.570688031268572,0.503936778921366,0.502456025790995,0.626105055096582,0.573256778132586,0,0.574771292285277,0.518154948929567,0.531893486261924,0.613147937589131,0.589730453460182,0.578024775928798,0.584593164155259,0.669015754957804,0.750646179988034,0.52680535739212,0.671263000976248,0.50320967212406,0.508523658302194,0.674960987812407,0.489277367476178,0.533008861278291,0.570901221685109,0.575769423505336,0.528785512210696,0.553965878226348,0.333100845537843,0.50874369626874,0.51451755530625,0.48407462753052,0.50735395284235,0.551852423779067,0.484065584194577,0.647494939798389,0.613979565733474,0.586809000716131,0.64569166000683,0.524992401451263,0.528146317643821,0.58744087925567,0.731597454615898,0.556334260709813,0.509477440023663,0.509916945257446,0.617924746449912,0.605211034594583,0.596949757062921,0.551097201752506,0.6362671061444,0.537049597867546,0.524913497104439,0.547432303536234,0.617272669429963,0.512162651039236,0.528724001323723,0.668109495771947,0.489122800283136,0.614726996630291,0.628958007682242,0.580710457900803,0.548931949136573,0.59894953136984,0.61666046991639,0.730563398268268,0.63993843281273,0.603124900732578,0.544581987196154,0.52512960515106,0.501153442881502
"E3-2_Root",0.555887094667415,0.620943085068613,0.551195743184747,0.561201129590034,0.492927478101172,0.491654672498218,0.617469883676439,0.563813101455747,0.574771292285277,0,0.507687628307297,0.521701816821383,0.602413616437504,0.580554692842086,0.568660245779616,0.575335497371166,0.740028493831688,0.743458223257814,0.58021854405769,0.663215779049961,0.508186698974724,0.497944593407316,0.666958346171254,0.478178484474311,0.551016559896547,0.561417919117812,0.56636760781048,0.518532777668995,0.543393912031706,0.584738209933577,0.498078682999791,0.50397471470823,0.472254434564089,0.515563869491492,0.542318290647357,0.472844410354533,0.639148676720322,0.605115965164225,0.577586862946616,0.637321792452397,0.514664121133128,0.517880928608367,0.578228799869712,0.724220579156866,0.546598364804384,0.549134249693139,0.519537519563663,0.609173679532184,0.595975523677294,0.587886667644502,0.557314495124254,0.62777164235815,0.526957632931064,0.514583638304572,0.53753524864268,0.608512212673108,0.501570317533544,0.518470043520794,0.66002388825947,0.477900551231447,0.605929768364085,0.620362532053729,0.571389939027069,0.539062420525358,0.589917152084798,0.607891206767848,0.723204258420969,0.631492350503422,0.594155983131338,0.533642379261838,0.5159718245856,0.490323398099516
