"","OTU","Sample","Abundance","Kingdom","Phylum","Class","Order","Family","Genus","Species","Tree"
"16650","f88c98868cbab309d1b3076e31abfa1f","E5-2_Root",0.8554195239292,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Eucalypt"
"16651","f88c98868cbab309d1b3076e31abfa1f","P7-2_Root",0.503434065934066,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Pine"
"49","a0162e714f889101650ab24a191450bb","P8-2_Root",0.446593406593407,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Pine"
"7101","c5a416edbfb1e9027fbff4c6f6e8c452","E3-2_Root",0.404397106567181,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00362","Eucalypt"
"10805","d91977da1f95b54431d258a83f8ae79c","E7-2_Root",0.380524824969269,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00312","Eucalypt"
"17210","fc1cec678f1da26d5782ab47e3a37cdf","P9-1_Root",0.348912540490514,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00362","Pine"
"1625","a9d1b77747e6b11fb1ac8cc94480aea7","P3-1_Root",0.339457380901517,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Pine"
"17437","fdc4f4e291fd8bb3dcedd6e5a9fe413e","E7-1_Root",0.332342693174831,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00312","Eucalypt"
"6803","c420e7722d3ec7e12544d136b3e5f4c2","E8-1_Root",0.301050175029172,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Eucalypt"
"17244","fc1cec678f1da26d5782ab47e3a37cdf","E6-1_Root",0.286481593240797,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00362","Eucalypt"
"16646","f88c98868cbab309d1b3076e31abfa1f","P6-1_Root",0.261730031721983,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","VTX00092","Pine"
"12171","df807f195226d8361e9220336cb7220d","P5-1_Root",0.261069114470842,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00444","Pine"
"9703","d2a2d39116eb542aa1cf4c25f1a2e193","E1-2_Root",0.194225721784777,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Eucalypt"
"349","a1b03734934a04e9374f116aba30afea","P7-1_Root",0.19038754442376,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Pine"
"17137","fba8f918e39a3479cb17bda62a19755d","E9-1_Root",0.183582917359956,"Fungi","Mucoromycota","Paraglomeromycetes","Paraglomerales","Paraglomeraceae","Paraglomus","VTX00308","Eucalypt"
