"","E1-1_Root","E1-2_Root","E1-N_Soil","E1-S_Soil","E2-1_Root","E2-2_Root","E2-N_Soil","E2-S_Soil","E3-1_Root","E3-2_Root","E3-N_Soil","E3-S_Soil","E4-1_Root","E4-2_Root","E4-N_Soil","E4-S_Soil","E5-1_Root","E5-2_Root","E5-N_Soil","E5-S_Soil","E6-1_Root","E6-2_Root","E6-N_Soil","E6-S_Soil","E7-1_Root","E7-2_Root","E7-N_Soil","E7-S_Soil","E8-1_Root","E8-2_Root","E8-N_Soil","E8-S_Soil","E9-1_Root","E9-2_Root","E9-N_Soil","E9-S_Soil","Neg_Control","P1-1_Root","P1-2_Root","P1-N_Soil","P1-S_Soil","P2-1_Root","P2-2_Root","P2-N_Soil","P2-S_Soil","P3-1_Root","P3-2_Root","P3-N_Soil","P3-S_Soil","P4-1_Root","P4-2_Root","P4-N_Soil","P4-S_Soil","P5-1_Root","P5-2_Root","P5-N_Soil","P5-S_Soil","P6-1_Root","P6-2_Root","P6-N_Soil","P6-S_Soil","P7-1_Root","P7-2_Root","P7-N_Soil","P7-S_Soil","P8-1_Root","P8-2_Root","P8-N_Soil","P8-S_Soil","P9-1_Root","P9-2_Root","P9-N_Soil","P9-S_Soil"
"E1-1_Root",0,0.0424834736489978,0.222072231180005,0.404192418549147,0.488344765887721,0.51992054870691,0.433464162835531,0.475166359507991,0.413885937115144,0.394421484045443,0.450023400103697,0.374786613357868,0.528389802817591,0.503569575710561,0.442257068089926,0.400737895186872,0.501851659393325,0.490799174178353,0.425407129795813,0.376444855770686,0.399054984015352,0.379437706594324,0.411840475596876,0.440037468340175,0.405941071899065,0.395695471940718,0.406414734893106,0.402077432542772,0.502715300737051,0.461320450022569,0.367925071193841,0.398637881659416,0.528174341131965,0.537957850813842,0.386524339775245,0.38679255116958,0.479897072971094,0.452426111056521,0.477104912040261,0.413156708938572,0.532546402326469,0.402818622305692,0.401826377335361,0.430582850083891,0.458959061398599,0.467274806116318,0.429624631250408,0.404263279809073,0.406639614048144,0.405434689811557,0.405467837789081,0.393550305266346,0.404801344023964,0.422321392089958,0.441510891129662,0.381152290358804,0.401588366925147,0.454960178581547,0.444361210967076,0.435646589017362,0.388775474973821,0.439560573075071,0.463184110234378,0.387700997863474,0.453097570420969,0.446743236081924,0.439510614436019,0.414655010869539,0.37787195765086,0.423851251770623,0.432283640957209,0.387242311609256,0.384430080528465
"E1-2_Root",0.0424834736489978,0,0.227042840425832,0.412598202289841,0.496376078702571,0.527854167154357,0.441941260324577,0.485247505198417,0.426312752839889,0.405073486771703,0.457199375545119,0.382224790959091,0.534127546187772,0.510395594229589,0.450560791152824,0.409532341978394,0.508371269978951,0.496748059650342,0.433974284929582,0.38587384051319,0.408072446039226,0.388672573039114,0.41983486985897,0.446975877625914,0.414923105533694,0.404548984078819,0.414871278760519,0.41126727945399,0.515035241433102,0.473723664162376,0.375915970654324,0.406476619545105,0.534727967275612,0.544440785524955,0.395548393999069,0.39562290575168,0.487512419707585,0.460144210172297,0.485362929337787,0.420916453197011,0.540929142531344,0.414278958619643,0.413003511703427,0.451268682426988,0.465702212476572,0.473738115197848,0.435630065119405,0.412284444836828,0.413701450814441,0.414287118353653,0.414550486262006,0.403076193313445,0.41403861867227,0.429570856613571,0.44836639739384,0.389327983034026,0.409848157646359,0.462372845380735,0.451712305383058,0.443936246304099,0.397477967173003,0.446808285900521,0.470920902955586,0.395776528207118,0.460198584935988,0.453003551989682,0.446262332798968,0.423026967390851,0.385922793687103,0.431190700186364,0.439495426129948,0.395284785417148,0.393539471125722
"E1-N_Soil",0.222072231180005,0.227042840425832,0,0.289873692625876,0.415091612088339,0.451619560749316,0.313968590473267,0.389234793960433,0.351345216971298,0.320898865443305,0.341365409028095,0.247250287489372,0.467030979133725,0.437367590980104,0.334714020962769,0.262532518221227,0.430099854958373,0.421088251217832,0.325905868040186,0.236864746371938,0.311701540271624,0.28229549479327,0.280978409809143,0.340926844806527,0.316651060384267,0.302608897197831,0.279338689974099,0.262283467175445,0.450735601116289,0.402395541627671,0.217233670321399,0.271130761162812,0.457530075040278,0.468293374646054,0.229626345028464,0.231854297273391,0.39791040015485,0.376184133502636,0.404420630247577,0.291107006561197,0.461639323041789,0.324685438177521,0.321573746989218,0.390665761633086,0.360015067418076,0.389143883947998,0.348296586889058,0.25152339648415,0.262104240618042,0.299044836212599,0.299145308071618,0.212073078964313,0.258366852318711,0.331201188956863,0.352357776963483,0.221875074171173,0.260891128823954,0.369948846435458,0.357501602665714,0.317506925734218,0.259660832496526,0.341733666405235,0.372025435758874,0.235332181909963,0.355353834017734,0.362531815488072,0.354414054313527,0.264448488090162,0.229578652494003,0.333484663171064,0.343640270225453,0.237410890599089,0.240010459631314
"E1-S_Soil",0.404192418549147,0.412598202289841,0.289873692625876,0,0.406749094972417,0.445377020673469,0.32897647035555,0.392369171476788,0.344067459464031,0.311011993214968,0.347682055438051,0.250271700970314,0.458030125614992,0.429167687338653,0.328501158050861,0.272228927696867,0.423331482495296,0.4132550213556,0.318847952529357,0.240427274104827,0.294729156088726,0.267734226966632,0.279760482878837,0.330334441487318,0.30421007914241,0.290020231930556,0.272787799191399,0.287594672957077,0.445137349654881,0.396068082253499,0.228780386806344,0.274789414857082,0.447911561990179,0.45941329005315,0.244358651051714,0.245956548487678,0.389208429081442,0.367418151745665,0.399695458503263,0.299917063216234,0.462687402815186,0.309452938168396,0.307087682778116,0.391210574051104,0.357031478588583,0.376607303303644,0.331837511219147,0.296842685894007,0.28941935515618,0.301935714937303,0.301845951600274,0.258422036537368,0.267373327557577,0.324975439073659,0.349811331872823,0.260064574560418,0.278606301889023,0.357180661960319,0.343161362566385,0.307588203546783,0.26331136406589,0.348707897677281,0.374798909371254,0.258378717527726,0.361426648409814,0.355458737599496,0.34681573505047,0.294714639778892,0.244723158995748,0.322249129807211,0.333373416546023,0.251525828398893,0.234753633466993
"E2-1_Root",0.488344765887721,0.496376078702571,0.415091612088339,0.406749094972417,0,0.0999782349430588,0.314992251930417,0.426373309165721,0.438953247180447,0.413636603234374,0.456093312518649,0.385959963399158,0.502951961612573,0.445009552629237,0.446877719122719,0.408059359298421,0.500962417914651,0.492584712534993,0.42587919926152,0.385488405735717,0.395115450043217,0.376449216393378,0.419109361912514,0.446409171084278,0.375629986257643,0.375877861193563,0.403774115155643,0.413777147626323,0.366180496855249,0.337471018101994,0.376078391879753,0.369581910270456,0.526107381052372,0.536558251322757,0.389703840456791,0.391405086042322,0.479543991030365,0.345462209431659,0.339848164087966,0.409805134088826,0.371010671308738,0.355502486660708,0.37134889918633,0.482599446559157,0.459098381509432,0.468289105430762,0.430980506417351,0.421370096479948,0.414155492082286,0.402500486623962,0.402908349953319,0.40301415940857,0.411963065498374,0.427460846577983,0.44785411906313,0.393841335455854,0.406867982206846,0.44523365248493,0.434643803349943,0.438978729068907,0.392459557414125,0.420665970035632,0.448266443806172,0.398528893510251,0.459293937268846,0.447145400673267,0.439154469582342,0.41634684639416,0.385257981990299,0.422033702287563,0.431057600125752,0.394726037583181,0.388744681563474
"E2-2_Root",0.51992054870691,0.527854167154357,0.451619560749316,0.445377020673469,0.0999782349430588,0,0.323869913639583,0.447175366396434,0.475785961259713,0.453787705440212,0.488875232601427,0.424987724417105,0.527395402260043,0.464190145374714,0.481100739222828,0.446035289774986,0.534663134128512,0.526983425842615,0.467090761262727,0.424775708696738,0.44091269997734,0.423303105700551,0.456070688337929,0.48113294945236,0.409433268593879,0.412648764296686,0.440673285096207,0.45078078923277,0.361521322611464,0.340688224192355,0.415647099468516,0.401666781381983,0.558303758402865,0.567860277074905,0.429566347192234,0.430769741127485,0.512824347822551,0.362509103916372,0.344907810664642,0.44582147622633,0.359165521980614,0.388930686627117,0.407769503507684,0.515264864490614,0.493258136868255,0.505097898976173,0.473105453945428,0.458049194390221,0.451262578162368,0.445352794536311,0.445304373728721,0.440921406021631,0.449218911324679,0.464796112363452,0.482688483064225,0.432570643726528,0.445327715578916,0.484604077853211,0.475782271213311,0.473815658849324,0.432077954339008,0.458728299577912,0.485849110341156,0.437018678891077,0.493390189335533,0.483113105340264,0.475265253414698,0.452907310095498,0.425342690920987,0.462323820769357,0.470123011127111,0.433272097585348,0.427668795670917
"E2-N_Soil",0.433464162835531,0.441941260324577,0.313968590473267,0.32897647035555,0.314992251930417,0.323869913639583,0,0.422212564706637,0.384047383364314,0.356310846780876,0.378179390324598,0.294937135722159,0.490654961821909,0.462799449909815,0.365145274337334,0.299959468107895,0.45465830814498,0.44531883241279,0.361202953288694,0.289626831836037,0.34602927907751,0.321068150108076,0.326009568136615,0.377186960404439,0.351103399519478,0.338406425782822,0.3222662181898,0.316533460858798,0.476125817761913,0.430764191597284,0.275856173100934,0.313280078370328,0.482031474271339,0.49236243634982,0.290372473692037,0.293776022136684,0.424504073349443,0.406077811515418,0.433463362430319,0.345378826869572,0.489717507194113,0.356269369617299,0.353899920249887,0.423025146997253,0.396402884889807,0.418846019737518,0.382174735233105,0.325630817676118,0.322071475094433,0.322974259384896,0.324090685621065,0.284114576676343,0.291779845060575,0.36450455059666,0.385199131861724,0.286476090977973,0.308511272639699,0.40120933104707,0.389528473840908,0.352077429446241,0.310194748287785,0.365817751355931,0.393518644243298,0.276291167167268,0.393281082707292,0.393050959042071,0.385499472919265,0.327474828570652,0.292899711897009,0.367361537369958,0.37663483509522,0.299728063943245,0.289275116582256
"E2-S_Soil",0.475166359507991,0.485247505198417,0.389234793960433,0.392369171476788,0.426373309165721,0.447175366396434,0.422212564706637,0,0.433656628172333,0.40942460096492,0.433629633305797,0.359861679118901,0.508183096711106,0.459046989918404,0.429339715793783,0.390400166047027,0.496514454918608,0.488563494962752,0.416835310775471,0.361528797873275,0.402149864684648,0.378639033299941,0.3979842459427,0.431244970074512,0.378732355126716,0.37547014327148,0.38684183663895,0.388568820900297,0.407337262152181,0.374200930203781,0.34657800002488,0.356379057810302,0.517340052139325,0.526689859403561,0.362630644977739,0.366290548317981,0.469562441915782,0.377742287212254,0.380498255762952,0.39851213437984,0.411267272777028,0.37411123944637,0.383770331445436,0.46847030879585,0.446925656432368,0.463804131149005,0.43711862582967,0.395892741855714,0.387619865287887,0.40682282248002,0.405886507639318,0.377647985393019,0.391676075780447,0.417488200233718,0.434409698866482,0.369357279648152,0.387631723436528,0.446012584819595,0.437097763997915,0.419527730358704,0.374449647142921,0.425902675042356,0.450449713269889,0.375325674205027,0.44323122769159,0.44156357973306,0.434166099140907,0.396323544383615,0.363676987895521,0.420093109407857,0.428378372565577,0.370987150306337,0.364092604671437
"E3-1_Root",0.413885937115144,0.426312752839889,0.351345216971298,0.344067459464031,0.438953247180447,0.475785961259713,0.384047383364314,0.433656628172333,0,0.101686104372854,0.346648556044017,0.303308951347147,0.484025357426848,0.458195373619914,0.390166827408985,0.342857568032126,0.45727750277312,0.450931608317159,0.361110063761375,0.304153862877101,0.331682536288353,0.312910155674157,0.359190169960248,0.387166115395293,0.341844338262307,0.326246993910663,0.347848689759087,0.352993143883053,0.420973701599604,0.376756392090843,0.303227645287519,0.338419950752075,0.475578867519593,0.486026403356396,0.322704739671152,0.32474609190255,0.426328913223614,0.399083649171084,0.428556248015989,0.354676078529951,0.495316268953278,0.343385975654053,0.337951842907947,0.424373228807058,0.406573401058722,0.406164099819758,0.359702329932301,0.361503874378016,0.351408240829814,0.335826066936197,0.335259270589036,0.342403761922794,0.349269801484694,0.366097536956598,0.387817217182261,0.326076735006401,0.340687515461285,0.369197580770859,0.357468161932159,0.381203918067214,0.298660519483552,0.360604766503962,0.386354767242504,0.331854869981979,0.404285531236532,0.386450919720759,0.371618730852747,0.354865574117971,0.314794643787062,0.340542924087268,0.352679264207788,0.310353505928781,0.303779991740087
"E3-2_Root",0.394421484045443,0.405073486771703,0.320898865443305,0.311011993214968,0.413636603234374,0.453787705440212,0.356310846780876,0.40942460096492,0.101686104372854,0,0.359339217356578,0.263937300737843,0.45756125778376,0.431624104894521,0.363265342751678,0.308862993833654,0.435525050836871,0.426437624466722,0.347476166453164,0.278070530012895,0.288877773824441,0.270389721176193,0.328697589006617,0.35773893772554,0.30504552737048,0.288063431695563,0.314837756696937,0.324165500184922,0.414597227201122,0.366228196754667,0.267109375895003,0.30273633800606,0.450746238217719,0.463436016705329,0.287301532325806,0.289860423132073,0.399466229210654,0.365763872099899,0.400502909297332,0.323234372816919,0.475174284319495,0.305276139607873,0.302183426444525,0.400666109302498,0.383918176126955,0.373169403437619,0.314626195017541,0.330287450003319,0.325884768890041,0.30431087208301,0.305070879261478,0.311117286821714,0.317787790869579,0.333989503465233,0.359981824058369,0.291459644544368,0.306293724884079,0.345857201706247,0.329288079755867,0.353867903567663,0.25437445459372,0.315671583270329,0.346228246022773,0.295318399102756,0.377540679036677,0.357802923456525,0.345856283003576,0.324347483015374,0.278131369601616,0.312909661765924,0.327131141650052,0.290570297708036,0.282784932562847
