"","Acaulospora","Acremoniopsis","Acremonium","Acrophialophora","Agaricus","Alfaria","Alternaria","Amanita","Amaurodon","Anteholosticha","Anthostomella","Anthracobia","Apiotrichum","Apodospora","Arachnocrea","Archaeorhizomyces","Archaeospora","Arthrocladium","Ascocorticium","Aspergillus","Asterostroma","Astrosporina","Aureobasidium","Auricularia","Austroafricana","Auxarthron","Basidioascus","Basidiobolus","Beauveria","Bipolaris","Biscogniauxia","Bjerkandera","Boletus","Botryobasidium","Botrytis","Bulleromyces","Burgella","Byssoascus","Calycina","Camarophyllopsis","Camptophora","Capronia","Castanediella","Cenococcum","Ceraceomyces","Ceratobasidium","Ceratosporella","Chaetomium","Chaetosphaeria","Chalara","Chloridium","Chloropyrula","Chondrogaster","Chrysozyma","Cistella","Cladobotryum","Cladonia","Cladophialophora","Cladosporium","Claroideoglomus","Clavaria","Clavulina","Clavulinopsis","Clitopilus","Clonostachys","Codinaea","Coleophoma","Coltricia","Coltriciella","Coniochaeta","Coniophora","Conioscypha","Coniothyrium","Conlarium","Conocybe","Coprinopsis","Cordyceps","Cortinarius","Coryneum","Crepatura","Cruentomycena","Cryptococcus","Cryptocoryneum","Cryptodiscus","Cryptosporiopsis","Cunninghamella","Curvibasidium","Curvularia","Cyclaneusma","Cylindrodendrum","Cylindrosympodioides","Cyphellophora","Cyrtohymena","Cystangium","Cystobasidium","Cytospora","Dactylella","Dendrochytridium","Dendrophoma","Dendrosporium","Desertiserpentica","Devriesia","Diaporthe","Diaxonella","Dichostereum","Diddensiella","Didymocrea","Dioszegia","Diplogelasinospora","Distononappendiculata","Diversispora","Dothidea","Dothiorella","Endophragmiella","Entoloma","Eutypella","Exophiala","Farysia","Fibulochlamys","Fibulomyces","Foliocryphia","Fusarium","Fuscoporia","Fusicladium","Fusidium","Galerina","Geastrum","Gelidatrema","Geminibasidium","Geoglossum","Geranomyces","Gliomastix","Glomus","Glutinoglossum","Goffeauzyma","Goidanichiella","Gongronella","Gremmenia","Gryganskiella","Gymnopilus","Gymnopus","Halteria","Haptocillium","Harknessia","Hawksworthiomyces","Hebeloma","Henningsomyces","Heterotruncatella","Hormonema","Hyaloscypha","Hydnellum","Hydnum","Hymenotorrendiella","Hypomyces","Hysterium","Hysterobrevium","Ilyonectria","Inocybe","Irpicomyces","Jaapia","Keithomyces","Knufia","Kockovaella","Labyrinthomyces","Laccaria","Lachnum","Lactarius","Lactifluus","Lapidomyces","Lecanora","Lecythophora","Leohumicola","Leotia","Leptodontidium","Leucoagaricus","Leucopaxillus","Lichenoconium","Lindtneria","Linnemannia","Lophium","Lophodermium","Marasphaerium","Marquesius","Melanchlenus","Meliniomyces","Menispora","Meristemomyces","Metschnikowia","Microascus","Microdochium","Mollisia","Monacrosporium","Montagnula","Mortierella","Mycena","Mycosymbioces","Nadsonia","Naganishia","Nematoctonus","Neocatenulostroma","Neocucurbitaria","Neodevriesia","Neotrimmatostroma","Neurospora","Nigrograna","Nigrospora","Nothomitra","Ochroconis","Octaviania","Oidiodendron","Oliveonia","Orbilia","Paecilomyces","Paracladophialophora","Parafusicladium","Paramicrothyrium","Paraphoma","Parapyrenochaeta","Pectenia","Penicillago","Penicillifer","Penicillium","Penidiella","Penidiellomyces","Peniophorella","Perenniporia","Peribolospora","Pestalotiopsis","Petrophila","Pezicula","Peziza","Phaeoacremonium","Phaeosphaeria","Phanerochaete","Phialemonium","Pholiota","Phomatospora","Phyllozyma","Piloderma","Piskurozyma","Plectania","Pleuroascus","Pluteus","Podospora","Polylobatispora","Polyscytalum","Porodiplodia","Postia","Powellomyces","Preussia","Priceomyces","Proliferodiscus","Psathyrella","Pseudoarthrographis","Pseudodactylaria","Pseudopenidiella","Pseudoramichloridium","Pseudovalsaria","Pyricularia","Pyrigemmula","Radulomyces","Rasamsonia","Readeriella","Readerielliopsis","Resinicium","Reticulascus","Rhexodenticula","Rhizoctonia","Rhizodermea","Rhizoglomus","Rhizophagus","Rhizophydium","Rhizopogon","Rhizosphaera","Rhodocollybia","Rhodotorula","Rhopalophora","Rhynchogastrema","Ruhlandiella","Russula","Sagenomella","Saitozyma","Sakaguchia","Sarcoleotia","Sarcostroma","Sarea","Schizothecium","Schwanniomyces","Scutellospora","Scytalidium","Sebacina","Seiridium","Septobasidium","Serendipita","Serpula","Setophaeosphaeria","Sistotrema","Slooffia","Solicoccozyma","Sonoraphlyctis","Sorocybe","Spadicoides","Spencermartinsiella","Sphaerosoma","Sphaerosporella","Sphaerostilbella","Sporidesmiella","Sporobolomyces","Sporormiella","Sporothrix","Sterila","Strelitziana","Suillus","Symbiotaphrina","Sympodiella","Syzygospora","Talaromyces","Tausonia","Teichospora","Teratosphaeria","Tetragoniomyces","Thanatephorus","Thyrinula","Tilletia","Tolypocladium","Tomentella","Tomentellopsis","Torula","Toxicocladosporium","Tracylla","Trechispora","Tremella","Trichodelitschia","Trichoderma","Trogia","Tubaria","Tubulicium","Tubulicrinis","Udeniomyces","Umbelopsis","Valsa","Vanrija","Venturia","Vermiculariopsiella","Veronaeopsis","Volvariella","Wilcoxina","Xenoacremonium","Xenopolyscytalum","Xenosonderhenioides","Xerocomus","Xylaria","Yamadamyces","Zanclospora"
"E1-1_Root",0,0,0,0,0,0,0,0.000193097280377251,0,0,0,0,5.08150737834871e-05,0,0.000264238383674133,0,0,0,0,0,0,0,0,0.00351640310581731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000121956177080369,0,0,0,0,3.04890442700923e-05,0,0,0,0,0,0,0.000101630147566974,0,0,0.0507134436359202,2.03260295133949e-05,0,0,0,0,3.04890442700923e-05,4.06520590267897e-05,0,0,0,0,0.000284564413187528,0,0,0,0,0,0,0,0,0,0,0.00331314281068336,0,0,0.000457335664051384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142282206593764,0,0,0.000721574047725517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09780885401846e-05,0,0,0,0,0,0,3.04890442700923e-05,0,0,0,0,0,0,0,0,0.00565063620472377,0,0,0,0,0,0,0,0,3.04890442700923e-05,0,0,0,0,0,0,0,0,0,0.00075206309199561,0,0,0,0,0,0,0,0,0.000152445221350461,0.0775742916378715,0,0,3.04890442700923e-05,0,0,0,0,0,0.00071141103296882,0,0,0,0,0,0.0723809910971991,0,0,0,0,0,0,0,0,0,0,0,0.00138217000691085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000152445221350461,0,0,0,0,0,0,0,0,0,0,0,0,0.000233749339404041,0,0,0,0.000111793162323672,3.04890442700923e-05,0,0.000437009634537989,0,0,0,0,0.000528476767348266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156612057400707,0,0,0,9.14671328102769e-05,0,0,0,0,0,0,0,0,0.00174803853815196,0,0,0,0,0
"E1-2_Root",0,0,0,0,0,0,0,0,0,0,0,0,3.73060087544767e-05,0,7.46120175089534e-05,0,0,0,0,0,0,0,0,0.00289743334659769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46120175089534e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649870672502984,0,0,0,0,0,0,2.48706725029845e-05,0,0,0,0,0.000261142061281337,0,0,0,0,0,0,0,0,0,0,0.00314614007162754,0,0,0.000323318742538798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000186530043772384,0,0,0.000646637485077597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00511092319936331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072124950258655,0,0,0,0,0,0,0,0,0.000198965380023876,0.0586699164345404,0,0,0,0,0,0,0,0,0.00387982491046558,0,0,0,0,0,0.080207918822125,0,0,0,0,0,0,0,0,0,0,0,0.00145493434142459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000149224035017907,0,0,0,0,0,0,0,0,0,0,0,0,0.000286012733784322,0,0,0,6.21766812574612e-05,4.9741345005969e-05,0,0.000248706725029845,0,0,0,0,0.000858038201352965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73060087544767e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48706725029845e-05,0,0,0,0,0.019274771189813,0,0,0,4.9741345005969e-05,0,0,0,0,0,0,0,0,0.00179068842021488,0,0,0,0,0
"E1-N_Soil",0,0,0,0,0,0,0,0.000123434624534315,0.000864042371740204,0,0,0,0.00095381300776516,0,0.000190762601553032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36639885093586e-05,0,0.000751829076709008,0,0,0,0,0.000415189191615423,0.000168319942546793,0,0,0,0,0.000145877283540554,0,0,0,0.0487342340320481,8.97706360249562e-05,0,0,0,2.24426590062391e-05,0.000617173122671574,0.000157098613043673,0,0,0,0,0.00152610081242426,0,0,2.24426590062391e-05,0,0,0,0,0,0,0,0,0,0,0.000561066475155976,0,0.000190762601553032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00160465011894609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157098613043673,0,0,0,0,0,0,0,0,0,0,0,4.48853180124781e-05,0,0,0,0,0,0,0,0,0,0.000325418555590466,0,0,3.36639885093586e-05,0,0,0,0,0,0,6.73279770187172e-05,4.48853180124781e-05,0,0,0,0,0,0,0,0,0,0,4.48853180124781e-05,0,0,0,0,0.000695722429193411,0,0,0,0,0,0,0,0,0.00048251716863414,0,0,0,0.000190762601553032,0,0,0,0,0,8.97706360249562e-05,0,0,0,0,0,0,0,0,0.00495982764037883,0.000448853180124781,0,0,0,0,0,0,0,0,0.00457830243727277,0,0,0,0,0,0.018492751021141,0,0,0,0,0,0,0,7.85493065218367e-05,0,0,0,0.0308025494860631,2.24426590062391e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112213295031195,0,0.000583509134162216,0,0,0,2.24426590062391e-05,0,0,0,0,0,3.36639885093586e-05,0,0,4.48853180124781e-05,0,0,0,0.00204228196956775,6.73279770187172e-05,0,0.000325418555590466,0,5.61066475155976e-05,0,0,0.0265833295928902,0,0,0,0,0,0,0,0,0.000134655954037434,0,0,0,0,5.61066475155976e-05,0,0,0,0.00071816508819965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.97706360249562e-05,0,0,0,0,5.61066475155976e-05,0,0,0,0,0.000931370348758921,0,0,0,0.00319807890838907,0,0,0.000662058440684052,0,0,0,0,0,0,0,0,2.24426590062391e-05,0,0
"E1-S_Soil",5.30522741741529e-05,0,0,0,5.30522741741529e-05,0,6.18943198698451e-05,0,0,0,0,0,0.00024757727947938,0,8.84204569569216e-05,0.004624389898847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76840913913843e-05,0,0.0009018886609606,2.65261370870765e-05,0,0,0,3.53681827827686e-05,0,0,0,0.00274987621136026,6.18943198698451e-05,0,0,0.00024757727947938,0,0.00183030345900827,0.000221051142392304,0,0,0,0,0.000185682959609535,0,0,0,0.0137140128740185,0.000238735233783688,0,0.000141472731131074,0,0.000344839782131994,0,0,0,0,0,0,9.72625026526137e-05,0,0,0,0,0,0,0,0.0004509443304803,0,0,0,0,0.000229893188087996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00202482846431351,0,0,0,0,0,0,0,0,0,1.76840913913843e-05,0,0,2.65261370870765e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116715003183136,0,0,0,0,0,0,0,0,0,2.65261370870765e-05,0,0,0,0,0.000114946594043998,0,0,0,0,0,9.72625026526137e-05,0,0,0,0,0,0,9.72625026526137e-05,0.0224676381127537,0,0,0,8.84204569569216e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65261370870765e-05,0,0,0,0,2.65261370870765e-05,0,0,0,0,0,0,0,0,0.00209556482987904,0.000194525005305228,0,0,0,0,0,0,0,1.76840913913843e-05,0.000362523873523378,0,0,0,0,5.30522741741529e-05,0.0129359128527976,0,0,0,0,0,0,0,0,0,0,0,0.0160925231661597,0,0,0,0,0,9.72625026526137e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65261370870765e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000592417061611374,0,0,0,0,0,0,0,0,0,0,0,0,0.000265261370870765,0,0,0.000106104548348306,0,2.65261370870765e-05,0,0,0,0,0,0.000229893188087996,0.0182676664073,0,0,0,0,0,0,0,0,0,0.00020336705100092,0,0,0,0.000185682959609535,0,0,0,0.000221051142392304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069852160995968,5.30522741741529e-05,0,0,0,0,0,6.18943198698451e-05,0,0,0.0018037773219212,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000716205701351065,0,0,0.00077810002122091,0,0,0,0,0,0,0,0,0,0,0
"E2-1_Root",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18275371851726e-05,0,0,0,0,0,0,0,0,0,0,0.000137919327802415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00756434467100936,0,0,0,0,0,0,3.18275371851726e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265229476543105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.54826115555178e-05,0.000445585520592417,0,0,0,0,0,0,0,0.00839186063782385,9.54826115555178e-05,6.36550743703452e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225975514014726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00373443102972692,0,0,0,0,0,0,0,0,0,0,0,0.00215366334953001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000381930446222072,0,0,0,0,0,0,0,0,0,0,0,0,0.000519849774024486,0,0,0,0,0,0,0.000286447834666553,0,0,0,0.0142162999427104,5.3045895308621e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242228776337287,0,0,0,0,0,0,0,5.3045895308621e-05,0,0,0,0,0,9.54826115555178e-05,0,0,0.000222792760296208,0,0,0,0,0,0,0,0,0,0,0
"E2-2_Root",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96895382950241e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00995471246688883,0,0,0,0,0,0,7.12068130678743e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205075621635478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27240878407246e-05,0.000242103164430773,0,0,0,0,0,0,0,0.00531202825486343,9.96895382950241e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69654504542995e-05,0.00200803212851405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276282434703352,0,0,0,0,0,0,0,0,0,0,0,0.00280554843487425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84827252271497e-05,0,0,0,0,0,0,0,0,0,0,0,0.000142413626135749,0,0,0,0,0,0,0,0,0,0,0,0,0.000469964966247971,0,0,0,0,0,0,9.96895382950241e-05,0,0,0,0.0118203309692671,8.54481756814492e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319519211598166,0,0,0,0,0,0,0,0.000113930900908599,0,0,0,0,0,7.12068130678743e-05,0,0,8.54481756814492e-05,0,0,0,0,0,0,0,0,0,0,0
"E2-N_Soil",0,0,0,0,0,0,0,0,0,0,0,0,0.000619224093446545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38218323403856e-05,0,0,0,0,0,0,0,0,0.000290847680255196,0,0,0,0,0.000356522962893465,0.000281465497021157,0,0,0,0,1.87643664680771e-05,0,0,0,0.042332410751982,4.69109161701928e-05,0,6.56752826382699e-05,0.00124783037012713,0,0,1.87643664680771e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.81465497021157e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87643664680771e-05,4.69109161701928e-05,0,0,0.00148238495097809,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87643664680771e-05,0,0,0,0,0,1.87643664680771e-05,0,0,0,0,0,0,0.000422198245531735,0,0,0,0,0,0,0,0,0,0,0,0,8.44396491063471e-05,0,0,0,0,0,0,0,8.4439649106347e-05,0,0,0,0,9.38218323403856e-05,0,7.50574658723085e-05,0,0,1.87643664680771e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56752826382699e-05,0,0,0,7.50574658723085e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00465356288408313,0.000112586198808463,0,0,4.69109161701928e-05,0,0,0,0,0,0.00338696814748792,0,0,0,0,0,0.0298165783177745,0,0,0,0,0,0,0,0,0,1.87643664680771e-05,0,0.0368250691936014,0,0,0,0,0,0,0,0,0,0,0,0,0.00162311769948867,0,0,0,0,0,0,9.38218323403856e-05,0,0.000656752826382699,0,0,0,0,0,0,0,0,0,0,0,0.000337758596425388,0,0,0,0,0,0,0,0,2.81465497021157e-05,0,0,0,7.50574658723085e-05,0,0,0,4.69109161701928e-05,0,0,6.56752826382699e-05,0,0,0,0.0084908758268049,0.0173570389829713,0,0,0,0,0,0.000300229863489234,0,0,3.75287329361542e-05,0,0,0,0,2.81465497021157e-05,0,0,0,0.000637988459914622,0,0,0,0,0,1.87643664680771e-05,7.50574658723085e-05,0,0,0,0,0,0,0.000103204015574424,0,0,0.00019702584791481,0,0,1.87643664680771e-05,0,0,0,0,0,0,0.244180700849088,0,0,0,0,0,0,0,0.00160435333302059,0,0,0,0,0,0.00460665196791294,0,0,4.69109161701928e-05,0,0,0,0,0,0,0,0,0,0,0
"E2-S_Soil",0,0,0,0,0,1.95846104131374e-05,0,0,0,0,0,0,0.0029083146463509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85461364459808e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000558161396774415,0.000430861429089022,0,0,0,0,0.000244807630164217,4.89615260328434e-05,0,0,0,0,0.000176261493718236,0,0,0,0.0399623975480068,4.89615260328434e-05,0,0,0,0,0,0.000616915228013827,0,0,0,0,0,0,0.00278101467866551,0,0,0,0,0,0,0,0,0,4.89615260328434e-05,0.000274184545783923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81307468591181e-05,0,0,0.00183116107362834,0,0,0,0.0050332448761763,0,0,0,0,0,0,0,0,0,0,0.00724630585286082,0,0,0,0,1.95846104131374e-05,0,6.85461364459808e-05,0,0,0,0,0,0,1.95846104131374e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.91692208262747e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.91692208262747e-05,0,0,0,0,0,0,0,0,0.00110653048834226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339792990667933,0.000842138247764906,0,0,0,0,0,0,1.95846104131374e-05,0,0.000783384416525494,0,0,0,4.89615260328434e-05,0,0.00555223705212445,0,0,0,0,0,0,0,0.00014688457809853,0,0,0,0.0246961937309662,0,0,0,0,0,6.85461364459808e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85461364459808e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00798072874335347,6.85461364459808e-05,0,0,0,0,0,0,0,0,0,0,0,2.9376915619706e-05,0,0,0,0,0,0,0,0,0,0,0.0175184340145514,0.00522909098030767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000254599935370786,0,0,4.89615260328434e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014688457809853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133175350809334,0,0,0.000186053798924805,0,0,0,0,0,0,0,0,0,0,0
"E3-1_Root",0,0,0,0,0,0,0,0,0,0,0,0,0.000614934897109806,0,0,0,0,0,0,3.56483998324525e-05,0,0,0,0.0260857165773971,0,0,0,0,0,0,0,0,8.02088996230182e-05,0.000124769399413584,0,0,5.34725997486788e-05,0,0,0,0,0,3.56483998324525e-05,0,0,0,0,0,0.000124769399413584,0,0,0,0,0,0.000204978299036602,0,0,0.0549876567415579,3.56483998324525e-05,0,0.000552550197403014,0,0,0,4.45604997905657e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78241999162263e-05,2.67362998743394e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000365396098282639,0,0,0,0,3.56483998324525e-05,0,0,0,0,0,0,0,0,0,0.000187154099120376,0,0,0,0,0.00277166308697318,0,0,0.00145267229317244,0,0,0,1.78241999162263e-05,0,0,0,0,0,0,0,0,0.000106945199497358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00360940048303582,4.45604997905657e-05,0,0,0,0,0,0,0,0.0108638498489399,5.34725997486788e-05,0,0,0,0,0,0,0,0,0.000998155195308671,0,0,0,0,0,2.67362998743394e-05,0,0,0.000962506795476218,0,0,0,0,0,0,0,0,0.000160417799246036,0.00307467448554903,0,0,0,0,0,0,0,0,0,0,0,0,2.67362998743394e-05,0,0.01402764533407,0,0,0,0,0,0,0,0,0,0,0,0.000837737396062634,0,0,0,2.67362998743394e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67362998743394e-05,0,0,0,0,0,0,2.67362998743394e-05,0,0,0,0,0,0.000124769399413584,0,0.000151505699287923,0,0,0,0,0,0,0,0,0,0.000133681499371697,0,0,0,0,0,0,0,0,0,0.00195174989082678,0,0,0,0,0,0,0,2.67362998743394e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000151505699287923,0,0,0,0,0,0,2.67362998743394e-05,0,0,0,0,0,0,0,0,0,0,0,1.78241999162263e-05,0,0,0.000187154099120376,0,0,0,0,0,8.91209995811313e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E3-2_Root",0,0,0,0,0,3.6566748027681e-05,0,0,0,0,0,0,0.00125241111994808,0,0,0,0,0,0,3.6566748027681e-05,0,0,0,0.0357257128230444,0,0,0,0,0,0,0,0,2.74250610207608e-05,0.000219400488166086,0,0,0,0,0,0,0,4.57084350346013e-05,3.6566748027681e-05,0,0,0,0,0,0.000182833740138405,0,0,0,0,0,0.000530217846401375,0,0,0.068910036658165,3.6566748027681e-05,0,0.000475367724359853,0,0,0,0.000109700244083043,0,0,0,0,6.39918090484418e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31334960553621e-05,0,0,0,0,0,0,0,0,0,0,0,0.000283392297214528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31334960553621e-05,0,0,0,2.74250610207608e-05,0.00743219153662616,0,0,0.0027973562241176,0,0,0,9.14168700692026e-05,0,0,0,0,0,0,0,0,2.74250610207608e-05,0,0,0,0,0,0,0,0,0,0,0,5.48501220415215e-05,0,0,3.6566748027681e-05,0,0,0,0.00249568055288923,0,0,0,0,0,0,0,0,0.012953770488806,0,0,0,0,0,0,0,0,0,0.000758760021574381,0,0,0,0,0,0,0,0,0.000301675671228368,0,0,0,0,0,0,0,0,0.000219400488166086,0.00236769693479235,0,0,0,0,0,0,0,0,0,0,0,0,1.82833740138405e-05,0,0.0193438097066433,0,0,0,0,0,0,0,2.74250610207608e-05,0,0,0,0.000978160509740468,0,0,0,0,0,6.39918090484418e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74250610207608e-05,0,0,1.82833740138405e-05,0,0,8.22751830622823e-05,0,0,0,0,0,0,0,0,0,5.48501220415215e-05,0,5.48501220415215e-05,0,4.57084350346013e-05,0,0,0,0,0,0,0,0.000100558557076123,3.6566748027681e-05,0,0,0,0,0,0,0,0,0.00229456343873698,0,0,0,0,0,0,0,2.74250610207608e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.6566748027681e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39918090484418e-05,0,0,0.000228542175173006,0,0,0,0,0,0.000127983618096884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
