"","E1_Root","E1_Soil","E2_Root","E2_Soil","E3_Root","E3_Soil","E4_Root","E4_Soil","E5_Root","E5_Soil","E6_Root","E6_Soil","E7_Root","E7_Soil","E8_Root","E8_Soil","E9_Root","E9_Soil","P1_Root","P1_Soil","P2_Root","P2_Soil","P3_Root","P3_Soil","P4_Root","P4_Soil","P5_Root","P5_Soil","P6_Root","P6_Soil","P7_Root","P7_Soil","P8_Root","P8_Soil","P9_Root","P9_Soil"
"E1_Root",0,78.0344070145672,63.1329356701954,74.7880312934801,72.5371316158786,89.4329974542285,62.5896592474346,81.8131415260413,68.1057798212772,82.8979584755412,75.2570373367276,77.1875848638591,70.7250485205025,79.9318599451815,67.2137719104358,85.4919456678847,64.6800542684812,84.5107037263655,60.2656521291195,72.2591331269908,62.3850345532454,74.7513304483333,61.1279713043572,69.5404164813572,63.3316947130662,78.0965294918319,71.2644472535365,77.2240729179273,69.3205635532717,84.7011815917074,61.1861721120471,75.8693157937931,65.5484638227671,81.5815696510018,66.5705721254907,85.1822352378427
"E1_Soil",78.0344070145672,0,87.6353173444433,84.5037943926296,98.0753530640172,96.6534384856786,87.2995908604272,84.492665003385,93.2258468351376,87.9101219317953,96.4913553831012,82.9470018910671,92.805068597903,86.1435770336172,93.4448177435409,92.3846084287866,85.9076246320453,87.0264895481615,86.9312107034984,91.1974115935845,87.029652786356,85.4853237219283,87.9266898979224,79.4543915684666,87.9779287842214,82.3569408320468,95.7293339590583,90.4925286530072,89.1243633620991,90.2974381219308,85.4714324337177,88.1186970240851,89.6435431771368,93.6654720778085,87.1514288400615,91.0336118668185
"E2_Root",63.1329356701954,87.6353173444433,0,71.37348532368,71.183765446895,91.9160764320913,55.7746268984314,82.7842068983995,64.5755276609082,83.2629955265555,73.4096417506462,80.6481304621849,67.9311829412045,82.9955816127331,63.9201966460863,86.7945448103665,54.171140039099,88.2370395395477,54.6112897561242,77.9786807170081,56.3491048167192,79.8952747747461,60.2940719914377,73.7072384397202,57.0992601632743,82.1629535835031,72.2205883997868,80.7638708265164,58.6913411977618,88.6579790997633,53.268383062213,80.7038733762098,62.5438390491234,84.4197132040642,59.6239025039361,89.0268254892154
"E2_Soil",74.7880312934801,84.5037943926296,71.37348532368,0,89.2437232626684,88.8443455262993,81.3737441125698,82.7498358046603,82.8031787795686,76.068558496804,90.2196099876142,79.3284603258276,85.9236962079599,78.9685098502653,81.8145926817139,80.4582729791321,79.6246094242827,83.0889473160982,75.9242708741091,80.4560613679145,75.8540415674761,78.1696579550724,78.4410767329726,71.2729221119402,82.3728186757741,79.8103358366101,84.2715746980753,79.8144567095494,81.9531592109396,85.5745948585565,74.9735295727244,78.1736252463142,80.2477851222487,82.4845087787845,78.0395130835926,85.4914021195723
"E3_Root",72.5371316158786,98.0753530640172,71.183765446895,89.2437232626684,0,78.0208489711623,70.95319961773,89.9811691966601,74.741575153857,91.3523831265497,82.6869304720115,90.7628964006214,76.3505283632905,91.4760069384646,75.3541320189827,95.7337643736451,72.7026289469274,95.6683481264872,73.1693427080096,88.43414796721,78.0495304555339,89.5752238769069,76.1256189019591,86.4658075985978,77.4223602442016,94.3270164894382,84.993637922869,93.9294077473303,77.8295672578152,97.0155065087738,71.2856660186461,89.4454810341912,76.8361527584974,91.5545976922526,72.7399652050158,94.3688031049653
"E3_Soil",89.4329974542285,96.6534384856786,91.9160764320913,88.8443455262993,78.0208489711623,0,90.2872159974237,85.5940848122031,92.6534955390844,88.5763873932216,100.478146700655,91.7899338958301,93.5190296767607,89.7421802876587,92.2572989196026,90.7702706890591,91.3424220784761,90.7092905245181,91.0518180179708,96.5729781648416,93.1122886987078,91.1087716769054,91.7563902794601,88.4449248057876,95.3151791787866,94.0367235872446,97.2913092367384,93.8558147017667,93.2256807602108,95.4573675656184,87.5223472603028,87.7520369070583,92.7164325324382,90.833176730552,89.6646250928845,91.3344186568766
"E4_Root",62.5896592474346,87.2995908604272,55.7746268984314,81.3737441125698,70.95319961773,90.2872159974237,0,75.6789522119636,66.7014345481991,88.144248831875,71.6145954215955,78.7742355225526,66.3202301016258,82.4931505340071,70.9143168430384,89.9436565277495,54.1293307103267,87.9993283987002,57.3734075824734,79.0304261869419,59.0326093524543,81.5591577743433,61.3584649714302,75.1465745962853,59.4362823517569,81.1332457146322,74.795501274349,82.4542193988537,57.8670044364894,86.4856984759477,52.9001376337004,80.3586783065207,66.3384517026471,87.1769920231293,62.0435188705867,88.7025931969946
"E4_Soil",81.8131415260413,84.492665003385,82.7842068983995,82.7498358046603,89.9811691966601,85.5940848122031,75.6789522119636,0,89.3873655202933,83.587952437874,90.472261284885,75.4014893971481,87.6652019866371,80.6183024689151,89.9621281999454,88.026699866955,82.583576251611,82.6028660717513,81.5217002799252,89.1791503842346,82.6781722331372,82.4617372714084,83.3970230915578,76.9530276682652,82.2248392148688,77.7673945061632,93.1364186028628,89.1688072035784,80.114839969915,80.7738241286014,78.8756584190587,82.490359757506,87.7017414918039,88.1316624033625,83.2363246581921,87.5478469493037
"E5_Root",68.1057798212772,93.2258468351376,64.5755276609082,82.8031787795686,74.741575153857,92.6534955390844,66.7014345481991,89.3873655202933,0,80.8050732418373,78.5184876143232,86.1708802767737,74.0983236942567,88.5598090937758,67.0759484600246,91.3138587407946,66.3943224713002,90.6461388643285,68.857238363292,81.5406773051564,67.659451119834,80.4498250005452,70.2447876282839,81.3433929671284,70.9869587042356,88.7463247921331,76.2232835264306,88.1732732323563,69.2157718306728,91.01931523105,70.4123967170227,87.4478679931892,72.8237013973961,88.8204067774685,69.0200952395771,91.1883940051996
"E5_Soil",82.8979584755412,87.9101219317953,83.2629955265555,76.068558496804,91.3523831265497,88.5763873932216,88.144248831875,83.587952437874,80.8050732418373,0,95.0282285182635,83.1063836870582,90.2400887264526,80.9035403420444,87.9941739740821,83.3451061975481,85.6331784689531,85.9887812810011,82.415095888631,87.6838082168925,83.799110594239,78.473212377178,83.9066439004849,75.2101576808032,86.423501330668,81.1125761863092,91.1018509941141,87.3542876030006,87.7088029688961,89.5153987564815,84.4711909495473,82.8438687117429,86.1629456390037,85.6239727397301,83.8783382381903,89.4729028638678
"E6_Root",75.2570373367276,96.4913553831012,73.4096417506462,90.2196099876142,82.6869304720115,100.478146700655,71.6145954215955,90.472261284885,78.5184876143232,95.0282285182635,0,78.1767336055109,80.4209352367927,91.4519803687621,80.1570340232414,100.039161740259,72.6002739217835,94.3847386726696,74.7912042040276,88.603387677952,75.8646390626048,88.8320678980266,72.6377505006193,83.7099182888326,74.2996292468844,91.7501497212993,86.4838628248286,93.9832039264283,73.9552709869885,92.4880044678782,74.2580674281039,94.0241935203174,81.0546235617066,93.6778349751634,75.5996083071208,95.9339303325472
"E6_Soil",77.1875848638591,82.9470018910671,80.6481304621849,79.3284603258276,90.7628964006214,91.7899338958301,78.7742355225526,75.4014893971481,86.1708802767737,83.1063836870582,78.1767336055109,0,86.4245313950383,77.2089649944019,88.449981207926,88.6152294168422,79.5449666637691,82.857793389249,77.2771967829912,83.1366304190393,78.2431504897005,80.9525556436987,74.8573185765995,66.1197360543531,79.6529839186511,75.4460776270564,88.5917917889618,84.9999591217272,78.6824496930103,79.4436846608791,76.2834481882387,84.4382446911485,82.6241980164113,87.8279913657053,78.1656247085843,85.5985155845494
"E7_Root",70.7250485205025,92.805068597903,67.9311829412045,85.9236962079599,76.3505283632905,93.5190296767607,66.3202301016258,87.6652019866371,74.0983236942567,90.2400887264526,80.4209352367927,86.4245313950383,0,76.8562588970432,72.9357536450643,89.7844115914671,67.6816998613482,91.2241104294535,68.2459249004023,83.3252648411571,70.0605459956726,85.509098778853,70.6080569987894,81.5073644266016,68.250420286591,87.7997187530077,81.5008561180543,87.6821415549441,68.9916972618517,91.3341012800282,65.6675542790121,84.3799946510982,72.9483216629159,87.935102503888,71.9918691018923,92.8471493041909
"E7_Soil",79.9318599451815,86.1435770336172,82.9955816127331,78.9685098502653,91.4760069384646,89.7421802876587,82.4931505340071,80.6183024689151,88.5598090937758,80.9035403420444,91.4519803687621,77.2089649944019,76.8562588970432,0,89.1342746666486,82.4551629111482,81.6138038433748,82.4411312144775,81.0533018044213,85.3416654751733,80.3471183571668,81.1341234293269,80.0164379434605,71.1675884196054,83.4668501794173,75.4915435244301,91.6482110212507,84.7878983188895,82.8548126391988,81.9443998047457,77.4627940257084,79.9800641621492,84.49069398989,85.3299764395312,81.8198719770894,88.0429285627852
"E8_Root",67.2137719104358,93.4448177435409,63.9201966460863,81.8145926817139,75.3541320189827,92.2572989196026,70.9143168430384,89.9621281999454,67.0759484600246,87.9941739740821,80.1570340232414,88.449981207926,72.9357536450643,89.1342746666486,0,76.3540568329873,68.3746890574189,90.6913401523766,66.6851877791276,80.0143901495284,65.913784272881,78.630777439649,70.5019185652103,81.5883866372785,71.8376512759845,90.8164150549969,74.3717348297263,85.975326554476,69.6427980081455,92.1008959869261,66.961424184559,82.5455795985717,72.7606764102206,85.7365330267849,71.9714153115136,90.9074516949474
"E8_Soil",85.4919456678847,92.3846084287866,86.7945448103665,80.4582729791321,95.7337643736451,90.7702706890591,89.9436565277495,88.026699866955,91.3138587407946,83.3451061975481,100.039161740259,88.6152294168422,89.7844115914671,82.4551629111482,76.3540568329873,0,87.3483149990406,87.135198670136,83.9315911616491,90.0210262500167,86.2012563384988,83.3972214716612,86.8922377735849,80.0151273731099,90.2442475254366,86.7534855996939,91.4914169803627,85.5901341861437,88.1978984869942,89.5767673238529,81.7132828117925,79.0711620403908,85.4740208135506,83.8627460969418,84.4074748131905,88.0816523909229
"E9_Root",64.6800542684812,85.9076246320453,54.171140039099,79.6246094242827,72.7026289469274,91.3424220784761,54.1293307103267,82.583576251611,66.3943224713002,85.6331784689531,72.6002739217835,79.5449666637691,67.6816998613482,81.6138038433748,68.3746890574189,87.3483149990406,0,76.1915880466034,52.4675758185182,75.8400850605142,57.4809506669346,78.1689593289162,59.6947289292878,72.6293830345432,55.4098188055651,79.9545890748542,70.3022698588236,78.2249406742441,54.848560992318,84.0577687184251,52.042451374869,77.3637116338415,58.6977843758158,80.1231338056024,51.9909849972644,82.0814205372401
"E9_Soil",84.5107037263655,87.0264895481615,88.2370395395477,83.0889473160982,95.6683481264872,90.7092905245181,87.9993283987002,82.6028660717513,90.6461388643285,85.9887812810011,94.3847386726696,82.857793389249,91.2241104294535,82.4411312144775,90.6913401523766,87.135198670136,76.1915880466034,0,82.2931033185957,85.2828971531328,84.2360139881427,80.3636557206957,87.4936163586801,79.2014335767249,87.0174617262891,79.9541089526771,90.9396067962734,84.7776777275917,85.7991591373121,81.5367410815242,83.0659837455844,81.7487165498609,84.2586639179528,79.6124361956637,81.3755055363918,77.9962997266156
"P1_Root",60.2656521291195,86.9312107034984,54.6112897561242,75.9242708741091,73.1693427080096,91.0518180179708,57.3734075824734,81.5217002799252,68.857238363292,82.415095888631,74.7912042040276,77.2771967829912,68.2459249004023,81.0533018044213,66.6851877791276,83.9315911616491,52.4675758185182,82.2931033185957,0,64.3619580899508,57.831806073669,75.2497271316566,57.3958423343147,68.745651775425,52.6268385448097,77.9018997104694,60.687986261537,69.4483618405992,55.5288569011364,82.1128804263079,51.3587760596522,74.2155950164887,52.9136133483614,74.1833248333279,54.3109637744588,82.8678828043644
"P1_Soil",72.2591331269908,91.1974115935845,77.9786807170081,80.4560613679145,88.43414796721,96.5729781648416,79.0304261869419,89.1791503842346,81.5406773051564,87.6838082168925,88.603387677952,83.1366304190393,83.3252648411571,85.3416654751733,80.0143901495284,90.0210262500167,75.8400850605142,85.2828971531328,64.3619580899508,0,74.9036288754916,78.4880936708153,78.4666818391895,75.934678101161,76.9228961224219,84.7901328302244,68.1754061404169,73.6003281104922,76.0724383339436,82.7668718847764,75.2659801704066,82.3983216193416,69.7845171793015,75.45441624624,74.1925744277742,87.1877898351618
"P2_Root",62.3850345532454,87.029652786356,56.3491048167192,75.8540415674761,78.0495304555339,93.1122886987078,59.0326093524543,82.6781722331372,67.659451119834,83.799110594239,75.8646390626048,78.2431504897005,70.0605459956726,80.3471183571668,65.913784272881,86.2012563384988,57.4809506669346,84.2360139881427,57.831806073669,74.9036288754916,0,66.529592834033,60.1330074798221,70.0216314035304,60.385803915977,80.4640033999356,73.5953354286002,80.6191329913857,61.3550575911862,84.8894735449056,58.0185779050471,79.452610699579,67.1855818225311,82.5508420568392,64.8067202122878,87.9146482454085
"P2_Soil",74.7513304483333,85.4853237219283,79.8952747747461,78.1696579550724,89.5752238769069,91.1087716769054,81.5591577743433,82.4617372714084,80.4498250005452,78.473212377178,88.8320678980266,80.9525556436987,85.509098778853,81.1341234293269,78.630777439649,83.3972214716612,78.1689593289162,80.3636557206957,75.2497271316566,78.4880936708153,66.529592834033,0,78.8708689253784,74.8726863714769,80.966891048756,80.7164174388097,83.8588394722661,84.6136692984483,79.3478980944245,84.8384909802213,78.970869453549,82.485454453778,79.1382649542443,82.6231439224547,78.9463507781483,85.2797986061204
"P3_Root",61.1279713043572,87.9266898979224,60.2940719914377,78.4410767329726,76.1256189019591,91.7563902794601,61.3584649714302,83.3970230915578,70.2447876282839,83.9066439004849,72.6377505006193,74.8573185765995,70.6080569987894,80.0164379434605,70.5019185652103,86.8922377735849,59.6947289292878,87.4936163586801,57.3958423343147,78.4666818391895,60.1330074798221,78.8708689253784,0,55.9101502731623,59.6202381064416,80.183349584341,72.7599808897411,78.538125523252,62.5498319658514,85.8641070345903,56.5709266078569,78.2803608675883,67.7900447303835,85.7855270437918,63.620156639465,87.5626395402749
"P3_Soil",69.5404164813572,79.4543915684666,73.7072384397202,71.2729221119402,86.4658075985978,88.4449248057876,75.1465745962853,76.9530276682652,81.3433929671284,75.2101576808032,83.7099182888326,66.1197360543531,81.5073644266016,71.1675884196054,81.5883866372785,80.0151273731099,72.6293830345432,79.2014335767249,68.745651775425,75.934678101161,70.0216314035304,74.8726863714769,55.9101502731623,0,74.4910919148703,70.7128540802172,80.6621402507083,72.4649559607882,74.4401676274818,79.9356235292493,66.8714489012038,73.1863280631292,74.1933182893122,79.1106703698792,71.4278520072877,81.5696733465002
"P4_Root",63.3316947130662,87.9779287842214,57.0992601632743,82.3728186757741,77.4223602442016,95.3151791787866,59.4362823517569,82.2248392148688,70.9869587042356,86.423501330668,74.2996292468844,79.6529839186511,68.250420286591,83.4668501794173,71.8376512759845,90.2442475254366,55.4098188055651,87.0174617262891,52.6268385448097,76.9228961224219,60.385803915977,80.966891048756,59.6202381064416,74.4910919148703,0,74.1574061201352,71.3245420497277,77.7493353019997,57.8366743440464,86.7754160254504,55.7330699398533,78.0197009875723,64.7890672865327,84.0951230416075,61.4242787120242,88.7623245895045
