"","E1-1_Root","E1-2_Root","E1-N_Soil","E1-S_Soil","E2-1_Root","E2-2_Root","E2-N_Soil","E2-S_Soil","E3-1_Root","E3-2_Root","E3-N_Soil","E3-S_Soil","E4-1_Root","E4-2_Root","E4-N_Soil","E4-S_Soil","E5-1_Root","E5-2_Root","E5-N_Soil","E5-S_Soil","E6-1_Root","E6-2_Root","E6-N_Soil","E6-S_Soil","E7-1_Root","E7-2_Root","E7-N_Soil","E7-S_Soil","E8-1_Root","E8-2_Root","E8-N_Soil","E8-S_Soil","E9-1_Root","E9-2_Root","E9-N_Soil","E9-S_Soil","P1-1_Root","P1-2_Root","P1-N_Soil","P1-S_Soil","P2-1_Root","P2-2_Root","P2-N_Soil","P2-S_Soil","P3-1_Root","P3-2_Root","P3-N_Soil","P3-S_Soil","P4-1_Root","P4-2_Root","P4-N_Soil","P4-S_Soil","P5-1_Root","P5-2_Root","P5-N_Soil","P5-S_Soil","P6-1_Root","P6-2_Root","P6-N_Soil","P6-S_Soil","P7-1_Root","P7-2_Root","P7-N_Soil","P7-S_Soil","P8-1_Root","P8-2_Root","P8-N_Soil","P8-S_Soil","P9-1_Root","P9-2_Root","P9-N_Soil","P9-S_Soil"
"E1-1_Root",0,20.5558832023647,52.2437674057936,77.3995041253944,56.0684088473101,54.3406317171518,63.4575671327422,63.0655357054588,63.1732487619431,64.2077471977797,74.7993524064326,75.5838156798247,54.5616332794575,53.9789450210431,67.1556921520103,69.1114329736127,59.5553696126496,60.2706091221836,68.399707131143,70.6290103519841,62.9029042049307,66.4012017613103,61.4374409229178,68.010248166936,61.1136948417669,62.0721924979108,71.0254358484366,62.7209064280043,57.1921671699376,59.4677257173459,76.6998879331007,65.3866174954416,56.1618091169147,57.582841512419,71.083123952879,71.8495528341328,52.1475759654569,52.1126216504729,58.4268474559062,64.0562708905028,55.4255408258132,55.2353632257685,65.165055929923,61.4396164773755,53.1394553597851,53.8552360303842,60.4756232572275,58.5316095827871,55.3579697764165,55.1056150941672,65.6133816088608,67.153271618869,61.6805134266799,62.3422647111074,66.1941454116351,64.9012548945641,60.42686935549,60.3588973160752,71.6340447977482,69.4650947499063,52.817530823117,53.8494617925402,65.1470222530186,62.8683250642524,57.7948261880019,57.029232433071,67.8763307355376,71.32288301954,59.5810992630114,57.8687396743795,67.7295204709548,76.0247382766875
"E1-2_Root",20.5558832023647,0,52.3905808916967,76.684608620536,55.27905085946,53.4403249486887,62.3292867993519,62.4278610789241,62.4908069616934,63.0869072522123,74.7735626902086,74.8400971178892,53.9987919743284,53.5792966700043,67.4067742741127,68.9784783047464,58.8628881018821,59.3005985676843,67.3918738859347,70.3373261807598,62.7266881801128,66.6370310356866,60.905814429379,67.6123121887803,60.7925239635002,62.0391843248529,70.6313537736773,62.2150322219017,56.1136273518015,58.5442443248045,75.6622486920176,64.5468216525765,55.6148718248577,57.0264350739882,71.117768514807,71.1497047787714,51.9524703731732,51.7597445576597,58.215313952392,62.2717434320481,54.2129734754411,54.6936887614331,64.4007158124375,61.3412498865487,52.3273450773898,52.8051499957197,59.6472525534768,57.2986544139583,54.7914115047775,54.8102681572282,64.6105690037828,66.9865731592452,60.6574724950111,61.2866650216042,65.3320783325007,63.9205933202825,59.646778810814,59.8537691412211,71.099056813645,69.3749531779329,52.4277799360663,53.6788756549838,64.4084122030747,61.3588797478413,56.7219776025164,56.7455757535981,66.9754963278966,70.6179961106637,58.1419972014137,56.2832486220445,67.1182569155869,75.8434782393547
"E1-N_Soil",52.2437674057936,52.3905808916967,0,74.8638466528285,69.0555845593023,67.2422041591477,57.9505599793726,61.8778752502477,75.8873199359814,76.3389323965902,73.4102774948251,72.5990276792006,69.0829012447641,68.1896983673209,65.9355206597167,66.107568024174,71.7576977209077,72.1205150182894,65.6912752504752,64.9669763383538,75.2924350329398,77.2326913111539,57.491276576816,69.188713394384,72.5687383267926,72.6839735295362,66.2016333639268,59.6034186333816,70.1440726810699,72.0566897380091,71.7468087108708,62.5070080752082,66.862283589595,68.2104246914269,66.312761201602,67.0428032196376,64.2822841565554,64.2324377580856,62.337945844386,67.932632051202,66.3489687177769,65.9855527027571,66.2655871865051,60.7125280608848,66.5608309155384,67.0981167180479,59.7944732802565,53.6302044642873,67.4360712420413,67.0297353376384,59.283119434793,63.2261807758324,72.0383908563934,71.4503743041907,64.6967305682939,65.0714887850455,70.9140467037018,70.1961223616042,71.6161447449077,67.4135131349094,62.980482215066,63.3047437927016,61.1493874617875,65.5495456892818,67.8326504439216,67.3455333720915,66.3625746434383,69.6681976137984,67.2026071733043,66.336299162529,65.9721668621059,73.347198870362
"E1-S_Soil",77.3995041253944,76.684608620536,74.8638466528285,0,75.1067090247861,74.1445415675465,73.6540355313363,77.1508593432743,84.9508819608639,85.1532191336936,82.7759212775617,84.7293182564852,74.4066901779597,74.5914250183651,72.6287646169746,74.1520459285085,79.998957811787,80.4879943547418,76.1586054273194,79.4640923189879,81.7152984104198,84.1164751964588,71.7677839960904,73.7492913968759,80.9063700830754,81.0717353891961,79.4212177368646,73.510753243233,79.9626676952144,82.6279994928428,84.5791116280471,76.643980518778,72.5519586368434,73.2445515452697,77.7043940463704,75.9042161978407,75.4547332475268,75.3230337442603,76.4257035529773,82.519895670778,76.1100134360894,76.2298849216871,80.5334008945982,69.3705288989452,76.0952824498584,77.5692226592617,74.5840731388695,70.8934222870592,76.6335267174307,76.1877754603888,74.9294162517968,72.9561316970628,83.0194879628013,83.4361682777291,80.6148732849498,77.0421287828029,75.7375035708171,75.2016012372966,79.5054037970979,76.9666071470511,73.9885045564122,73.6696305259203,75.1557449940229,80.5994384065849,78.7309839809468,78.5141502637825,81.2447333636534,82.4941715940457,75.8013745769792,76.194082195117,78.2455589837336,82.0494773463435
"E2-1_Root",56.0684088473101,55.27905085946,69.0555845593023,75.1067090247861,0,15.4933428504183,61.1466774959098,63.2006043830387,61.1077667109001,62.6263336738723,76.6397646753132,77.6866795246028,48.4881393804007,47.9434669229441,69.1606012358832,70.028360883475,56.2739949810113,56.4353673516356,66.5688134659549,74.8767315686508,60.6065646410963,65.7817926426684,65.0437089415032,68.8052593978703,58.4170955490672,59.6607702501265,73.9279354746213,64.9718585793958,53.7942052396142,58.2693549707067,80.5201899774143,64.8594168886361,46.960598961297,48.0906522748194,74.8382981515256,73.1521395799497,47.0128219693275,47.5588205504236,60.1212849853579,66.7226797634794,49.0873475857207,49.3741302232246,69.0927417600129,64.6443883626242,52.1911030288126,54.7193196407616,62.9657638530939,61.781762341408,49.4489287246599,49.350334155783,69.5446892944406,69.389237857303,61.8893675124585,64.0913179575245,70.8361968688308,65.6514735957605,51.2293836454317,51.1870716617774,74.8794901995896,72.5292444533363,46.5219525529836,47.3685318737993,66.3759517200787,66.9993837766714,53.449490076688,54.1229066376341,68.9892777139258,72.4985866074158,52.6136767023809,52.3337231341082,71.5279473904604,78.2797428666646
"E2-2_Root",54.3406317171518,53.4403249486887,67.2422041591477,74.1445415675465,15.4933428504183,0,59.0673421027579,61.1275021325713,59.9083133985515,61.1637135107373,74.5320598558136,76.7426583059704,47.8346303851017,47.1275120055895,67.5641355628583,69.190972878272,55.0163369390096,55.0380762416198,64.6698277671794,73.2315193886064,59.3935596476951,64.3792926753181,63.8073211598034,66.8627563242724,57.6290025188633,58.9933953277011,72.8896294160623,63.5743140852177,51.7743673616999,55.7378216998648,78.548736984932,63.2120584046315,45.4098828142976,46.9348979618326,73.8887658262988,72.2640377338836,45.4879172835293,46.2673874192401,58.4631871626649,65.5719724257709,47.7521328309488,48.1236693456255,66.9587250213919,62.4458828449628,50.2815417348877,52.9090041679254,61.4353199588521,60.5153727471156,49.2693284183593,49.3272541517451,68.5399746440984,68.7334846871042,60.60480702194,62.8314460454828,69.5780386531667,64.5259926235784,49.8428384689196,49.9666975023821,73.0418216510844,71.1416480409163,45.0997874923174,45.8724473988041,64.9339952594814,66.0943523178362,52.7650219900158,53.2739346523093,68.3456022014657,71.6077253421638,51.8736376916602,51.2728494416603,70.5678692216614,76.8984920838751
"E2-N_Soil",63.4575671327422,62.3292867993519,57.9505599793726,73.6540355313363,61.1466774959098,59.0673421027579,0,60.5981487697484,74.2638389484324,74.7103710661602,69.9373962454038,72.1219572352773,66.6689303622201,66.1631833827147,65.0047726186616,66.4542672468903,70.2083154500422,70.7525930899876,63.6827729054457,63.4258995634115,75.1031093193239,78.0699070014767,58.2034711318197,68.3187800099187,71.7795557889956,71.9290396256052,66.7235531893913,57.0609228551409,70.1130185272923,72.3115086084343,69.9744464019727,59.3359905431796,64.7695126525792,65.8372315552621,66.6986259281682,66.7335772142541,61.9762874437502,61.6727345372844,63.1681884754709,68.5491790440792,64.6722629381295,63.9914711089404,66.7267436897221,60.8235244520984,63.88060404307,64.896174995408,57.4300729742861,54.0687032504266,66.7169633598217,66.2986463680224,60.8365999277862,63.5952311990138,70.1875862613292,69.6280351581596,62.5841691527707,60.0319170162841,68.4380734170393,67.5275780102749,71.5785844356018,67.1881724304842,59.651883412331,60.145366423409,58.5180490481389,64.7788599964846,65.2655807440363,64.4684448787881,63.5895863839947,68.7168736709765,65.2952043314615,65.0315518221051,66.8059997544068,73.636261696301
"E2-S_Soil",63.0655357054588,62.4278610789241,61.8778752502477,77.1508593432743,63.2006043830387,61.1275021325713,60.5981487697484,0,73.9450183992561,74.6989191363946,74.2383645054166,75.0224758977201,66.7464161542501,66.5263384645639,68.3584013925652,69.8481637761549,67.732635835367,67.7287271260396,63.857931131905,68.6049493474133,71.6875262668467,74.9178376189909,60.7382201801738,69.6112811043183,71.4495005712027,71.6727258681549,69.6621506381298,61.7550171993654,65.5439022161996,67.4583619038917,73.1971694646546,62.7060488454318,64.6801880811934,66.4046473913295,69.4713975667048,70.0695638690666,62.5272036252544,62.673816427386,64.8803018880003,65.153703799194,62.9444433251008,62.8914353113416,65.9249040056719,63.2089099893536,64.1808616392792,65.2331476406585,63.0195020009636,58.6485960545223,70.677331314881,69.8336929716793,67.1539533180772,69.4058089963609,70.3337924760479,70.2488590601938,69.0823121569057,67.7332129109113,66.7080440069663,66.8098839236553,71.8784395161158,66.8547924302423,62.986188218729,63.3330553514679,67.0529136511145,67.4972562472083,67.8858355272989,67.8694950631085,68.8354011958505,71.6275447290433,65.3802804777023,64.9401609962264,67.9664108275206,73.4089056587249
"E3-1_Root",63.1732487619431,62.4908069616934,75.8873199359814,84.9508819608639,61.1077667109001,59.9083133985515,74.2638389484324,73.9450183992561,0,28.3337725985361,68.537439549529,70.3662722267802,60.5677155451708,59.9627866520531,74.7728424050883,76.4025518812571,63.6728840739645,64.1217743260426,74.7387698070119,78.4249548276333,68.4921289049801,72.9244020373437,74.7335676958216,74.9900746878707,64.3905098163019,65.1081488063326,79.3543172919824,74.0546897405322,62.9843328069595,65.5045126680384,85.0577166359708,74.3040771627951,60.8706674965674,62.1263438593361,80.901131770389,80.7492940868736,61.9895960827234,61.9363536113774,70.6334840384409,74.3651873105349,66.9799473338688,66.9459571438343,77.5107346916821,72.3042094515909,64.5660566621803,65.9431329918733,74.1258658042169,71.213939860237,65.6157630716828,65.7739751979736,79.2451923561766,78.9916087014096,71.7728014046587,71.9985405505113,80.0377399919332,75.8119962470712,65.5354908734788,66.2598245303671,81.6632966054332,78.9934011923699,60.3084923490721,60.5801194076057,74.2170069511835,73.363669200293,64.9036147313356,65.0354464099591,76.8215728870359,78.0533708416133,62.2861404999878,61.8961130154415,76.4629554832522,83.0679839529517
"E3-2_Root",64.2077471977797,63.0869072522123,76.3389323965902,85.1532191336936,62.6263336738723,61.1637135107373,74.7103710661602,74.6989191363946,28.3337725985361,0,66.5850080250919,69.3004018787193,61.4302578519892,60.9547734709231,75.4166338146356,75.8512533434097,64.3420095193997,64.4842248451542,75.082146831754,78.1285235124369,68.7729708521616,73.101251367325,74.5548826646169,75.0775312979492,65.0972012431065,65.9480734931865,79.3156822999078,74.4146765987809,64.0776572489648,65.8295981576186,84.9192872539932,74.8098457953349,62.3551292876731,63.3694806744265,80.0025444199679,80.2672705142094,63.7039333273414,63.5913843371991,72.3237137477382,75.050950374277,67.8429725193188,67.7764501075779,77.1558645550543,72.5044598066657,65.117152603389,66.0941063208051,74.4986026405691,71.2884752374402,66.9775855465892,67.1954052202896,79.3345770271992,79.4812002205744,72.9335730211101,72.9711089089781,80.8767597748269,76.5619388364351,67.0211614166887,67.6350159707893,81.6322679093221,79.195936645566,61.9376398099854,62.2705224328297,74.7596540448965,72.9566326007467,66.0637730643112,66.4054797308878,77.410300969189,77.3769516622688,62.9480140102592,62.1672332115346,76.2754299940176,82.5723807705689
