"","Latitutde_F","Longitude_F","DBH_F","tree_spp_F","DBHxTree_F","Latitutde_P","Longitude_P","DBH_P","tree_spp_P","DBHxTree_P"
"Lechevalieria",0.012130587373217,0.018174491877517,1.97860300922938,2.9617332642838,0.310630381407864,0.914119716239072,0.894994714636034,0.184903942649782,0.110911795114351,0.587539352108129
"Nocardia",2.39038426757659,0.0481519839522107,0.0812844607327218,4.33446288554551,0.0153801809532102,0.148038085097547,0.829998976248962,0.780425169055486,0.0594185978667833,0.903355054854165
"Acidicaldus",0.669422972424559,0.485570571766518,1.11812482418485,3.44152633456319,1.95738325631848,0.429200786940922,0.499186781449303,0.311145278021672,0.0882979516077855,0.187106431609527
"Nevskia",0.737865355919977,0.50050170616849,0.418111322393632,6.74364067841123,1.86428404337042,0.407177555249302,0.492791198034894,0.53005457629021,0.0233610589679585,0.197180383959685
"Occallatibacter",0.497275950842847,0.221057558682612,0.5031248267557,6.35193864728462,0.00123097046837272,0.494160555935261,0.646665046573544,0.491682600458599,0.0268941171642938,0.972588680025548
"SBR1031",0.0966225927521037,2.04263862307387,0.0964025750786024,6.34250036182935,0.624594344828841,0.76125407612457,0.178456557847502,0.761516755056637,0.0269867885769097,0.444683087846858
"Novosphingobium",0.264102468338906,0.149304858248518,0.0198562687908274,3.68171854937447,0.245575230873063,0.616646898299179,0.705964546697137,0.890277055608723,0.0791077840313082,0.629158585771978
"Collimonas",0.000482493115183415,1.5104059271633,0.229294248828286,0.610486307253248,0.736837284357043,0.982836321379595,0.242632725504736,0.640654614084798,0.449745532966359,0.407495039788583
"A4b",0.415085213651236,0.214934439392343,0.191579576370173,8.70834689819987,0.0801171235172124,0.531522016556461,0.651223441343677,0.669379492929737,0.0121218850676358,0.781962305297061
"Bryocella",1.45715284678844,3.17216239633325,3.75230197020495,13.2768847891326,22.1111805604027,0.250639969935525,0.100209231943223,0.0766315898389436,0.00336488539686253,0.000512322743689927
