"","Latitutde_F","Longitude_F","DBH_F","tree_spp_F","DBHxTree_F","Latitutde_P","Longitude_P","DBH_P","tree_spp_P","DBHxTree_P"
"Phialocephala",1.64389080248612,1.37291366110032,2.28244721740054,6.32597302291183,0.0530312466044762,0.224008794959867,0.264050997891989,0.156721735105711,0.0271499807049762,0.821749196308385
"Talaromyces",5.1164004190168,0.200784599545171,0.0172650766319163,2.23759647563879,1.52049624242144,0.0430594352167886,0.662071044861132,0.897638806296204,0.160519291521052,0.241154340125138
"Devriesia",6.83067692170504,0.551518376232024,8.93152632968874,4.20490703373279,0.254382444674856,0.0226525622477907,0.471986001087122,0.0113043657428187,0.0628065892022415,0.623138838606152
"Aspergillus",0.375125296836966,0.175499820738978,0.811847304987196,4.31607086378877,0.679137865115348,0.551653649251713,0.682670470819641,0.385301437429863,0.0598858849901503,0.425960588620622
"Penicillium",1.18580478128718,0.0236145340694876,0.000111846720892904,5.97957353649074,0.161085524503231,0.297563461335151,0.88042376845555,0.99173571084649,0.0308563934203782,0.69521434507993
"Auricularia",0.55934229145177,0.124985193290552,0.0141596607936438,1.70959426286051,1.02623560360561,0.468929259402233,0.72982255778161,0.907248641772948,0.215534925215682,0.331035218674062
"Pezoloma",0.126335406537204,0.114959740232239,0.0241334360934201,1.05882723850514,0.1950783944408,0.728431738495095,0.740426245251769,0.879128405494202,0.323777702926698,0.666577068833668
"Cryptosporiopsis",1.23166109677214,3.84201971162505,0.0108246976388334,3.47533811207906,0.319180984273397,0.288829065854882,0.0736186695610136,0.918854841116434,0.0869282948303421,0.582508195900812
"Pezicula",1.88685804383701,2.21734592837471,0.545922631932342,0.730695497769585,0.813696384380631,0.194674456476868,0.162272185895715,0.47419318608908,0.409399835858625,0.384778027439998
"Mollisia",0.464164932157911,0.266496045709849,0.906589655263421,4.82680968036074,3.46994447655716,0.508618660473956,0.615071742265507,0.359806316429683,0.0483965676483996,0.0871450321078585
