"","Latitutde_F","Longitude_F","DBH_F","tree_spp_F","DBHxTree_F","Latitutde_P","Longitude_P","DBH_P","tree_spp_P","DBHxTree_P"
"Phialocephala",0.964425467717031,0.00385658840450683,1.30113825031964,3.8204463149157,0.0967724070663771,0.345460231304251,0.95150443833665,0.276259761930603,0.074329812905833,0.761075401803765
"Thelephora",0.464093083507622,5.95922630137241,6.37070492310648,5.5323342238578,0.451444819872094,0.508650859847912,0.0310922371454808,0.0267109781233402,0.0365733898608843,0.514377650346819
"Athelopsis",1.69571431780971,0.26414312089708,0.326028206442958,2.44961513418801,0.00792782072428439,0.217289401413717,0.616620069668825,0.578543851898701,0.143530417462905,0.930520228571179
"Diplodia",0.0461644982307315,4.52134175968393,0.262109978772217,5.9153908133326,0.806153941049849,0.833485165208641,0.0549112297663271,0.617965091313168,0.0316076646664305,0.38691988031728
"Ascocorticium",0.265833327010305,2.40044872299275,13.1744323350317,0.831080565252046,3.30896750167767,0.615506951114322,0.147259700912281,0.00345287010417027,0.379909703330374,0.0939290010693378
"Tomentella",0.00155928781753676,4.00312777400772,0.32972107265931,6.2979479095535,4.98908305546111,0.969150826199663,0.0685609084300846,0.576428954770062,0.027429391159871,0.0453141538841176
"Leohumicola",5.45382990684799,5.57995478700947,0.146498711685976,5.44077595857671,2.15756947689882,0.0377030119083133,0.0359078420215334,0.708597369146913,0.0378948649527645,0.167590458794354
"Clavulinopsis",0.00934429168034084,0.579697182079994,0.198716160831337,0.499465326692349,0.839807278530515,0.924587423536932,0.461132392047141,0.663695359458528,0.493230416341352,0.377501047655161
"Pseudocamarosporium",2.5263895614496,0.125276574232179,0.0129141345839119,6.83177275214601,1.23213136106295,0.137941295671015,0.729521695400761,0.911402000120991,0.0226438056756782,0.2887413532249
"Flavocillium",0.882548760747278,0.301183208553172,0.200732945281429,2.73856078982377,1.57385517383661,0.366030304038378,0.593206124430532,0.662111484307135,0.123851632005292,0.233533253477963
