"","Euc_leafLitter_ergosterol","Euc_leafLitter_totP","Euc_leafLitter_percP","Euc_leafLitter_percN","Euc_leafLitter_percC","treeName","Pine_leafLitter_ergosterol","Pine_leafLitter_totP","Pine_leafLitter_percP","Pine_leafLitter_percN","Pine_leafLitter_percC","Euc_Bark_ergosterol","Euc_Bark_totP","Euc_Bark_percP","Euc_Bark_percN","Euc_Bark_percC","Litter_OLayer_ergosterol","Litter_OLayer_totP","Litter_OLayer_percP","Litter_OLayer_percN","Litter_OLayer_percC","Litter_avg_ergosterol","Litter_avg_totP","Litter_avg_percP","Litter_avg_percN","Litter_avg_percC"
"1",167.4490777,8.0575,0.0191,0.66,50.26,"E1",215.8698634,6.2905,0.0155,0.49,50.99,96.68803809,3.3429,0.0085,0.34,48.35,176.5600262,8.6099,0.0208,0.67,53.65,164.1417513475,6.5752,0.015975,0.54,50.8125
"2",126.3715961,7.0715,0.0171,0.62,53.01,"E2",176.4371566,5.8819,0.0154,0.42,50.39,126.6007112,4.4317,0.0112,0.51,42.54,404.031458,18.2406,0.0463,1.01,36.87,208.360230475,8.906425,0.0225,0.64,45.7025
"3",123.9347397,3.1055,0.0078,0.64,54.1,"P1",229.7959699,21.0663,0.0496,0.82,51.06,NA,NA,NA,NA,NA,126.2977827,11.2336,0.0264,0.76,54.71,160.009497433333,11.8018,0.0279333333333333,0.74,53.29
"4",156.0546007,6.5677,0.0165,0.72,54.04,"P2",222.8290987,14.9063,0.0346,0.5,49.74,88.25940611,2.1446,0.0053,0.28,38.54,201.9152457,12.3024,0.0296,0.71,47.05,167.2645878025,8.98025,0.0215,0.5525,47.3425
"5",152.8744163,5.7704,0.0146,0.66,54.69,"P3",192.7654519,12.6696,0.0307,0.52,51.23,84.58443169,3.5732,0.009,0.36,49.07,182.7958449,8.7593,0.0223,0.62,50.25,153.2550361975,7.693125,0.01915,0.54,51.31
"6",114.5090171,4.3039,0.0109,0.63,54.46,"P4",152.0992719,14.8685,0.0363,0.46,49.59,90.12098915,1.3528,0.0033,0.23,50.57,163.5824061,10.3248,0.0257,0.64,39.06,130.0779210625,7.7125,0.01905,0.49,48.42
"7",168.7968603,4.7232,0.0121,0.72,53.75,"P5",188.4381975,10.9223,0.0276,0.54,50.37,NA,NA,NA,NA,NA,110.0101245,7.7966,0.0193,0.45,45.14,155.7483941,7.81403333333333,0.0196666666666667,0.57,49.7533333333333
"8",251.9572793,3.9439,0.0098,0.9,53.11,"P6",182.192526,8.8044,0.0215,0.68,51.86,267.6379257,11.284,0.0285,0.67,45.49,192.2029099,12.934,0.0325,0.9,47.79,223.497660225,9.241575,0.023075,0.7875,49.5625
"9",136.9490296,2.787,0.007,0.65,55.07,"P7",192.7132372,9.517,0.0221,0.53,50.57,112.1156255,0.6851,0.0017,0.38,51.23,196.8836731,13.6233,0.033,0.77,45.78,159.66539135,6.6531,0.01595,0.5825,50.6625
"10",137.1864087,7.2442,0.0177,0.61,51.47,"P8",196.9265956,2.7293,0.0065,0.48,51.11,NA,NA,NA,NA,NA,162.2598013,9.7383,0.0245,0.69,43.89,165.457601866667,6.5706,0.0162333333333333,0.593333333333333,48.8233333333333
"11",141.5467654,7.6058,0.0193,0.64,51.02,"P9",244.1622799,7.3324,0.0185,0.53,50.39,77.54464416,3.791,0.0094,0.32,49.91,314.7208035,10.8592,0.0271,0.91,51.04,194.49362324,7.3971,0.018575,0.6,50.59
"12",219.3575174,5.6516,0.0137,0.73,54.63,"E3",240.3325567,9.4736,0.0231,0.73,50.51,197.4993481,4.4352,0.0112,0.41,49.42,272.8751134,14.775,0.0381,0.99,45.61,232.5161339,8.58385,0.021525,0.715,50.0425
"13",233.2696616,8.1134,0.0197,0.83,54.37,"E4",305.269101,10.1,0.0254,0.53,51.46,181.2153797,6.3408,0.0156,0.47,48.65,240.0003849,9.5348,0.0238,0.85,50.43,239.9386318,8.52225,0.021125,0.67,51.2275
"14",209.5412765,8.9681,0.0225,0.77,53.08,"E5",269.2392681,9.0939,0.0231,0.52,50.67,229.999769,7.2083,0.0186,0.44,49.36,251.860035,14.2765,0.0355,0.95,49.33,240.16008715,9.8867,0.024925,0.67,50.61
"15",196.0131094,6.2293,0.015,0.61,50.93,"E6",266.7948417,14.3935,0.0326,0.64,50.61,107.4539474,4.1186,0.0106,0.37,44.6,221.7387314,13.7709,0.0343,0.75,47.9,198.000157475,9.628075,0.023125,0.5925,48.51
"16",173.1627688,5.3097,0.0134,0.73,53.64,"E7",197.6985592,11.0968,0.0281,0.67,50.75,163.1611749,4.8184,0.0116,0.32,49.07,311.2332928,8.7756,0.022,0.69,40.54,211.313948925,7.500125,0.018775,0.6025,48.5
"17",174.5639248,8.1349,0.0209,0.75,53.85,"E8",180.5155596,4.572,0.0118,0.55,51.41,122.2651371,4.1725,0.0099,0.46,49.48,235.5589192,9.1335,0.0231,0.51,38.84,178.225885175,6.503225,0.016425,0.5675,48.395
"18",146.9729605,6.0997,0.0157,0.6,54.31,"E9",225.3598475,3.7118,0.0094,0.54,51.17,258.4838309,6.5083,0.015,0.45,50.9,256.4862801,7.8327,0.0195,0.5,48.61,221.82572975,6.038125,0.0149,0.5225,51.2475
