ID,Tube #,Rack #,Rack Col,Rack Row,Mass (mg),Phosphorus (ug/L),Dilution Factor ,litter_totP,litter_percP
P1LL_Pine,1,1,1,1,42.5,95.756,1053.316,21.0663,0.0496
P2LL_Pine,2,1,1,2,43.1,67.756,745.316,14.9063,0.0346
P3LL_Pine,3,1,1,3,41.3,57.589,633.479,12.6696,0.0307
P4LL_PineN,4,1,1,4,41,67.584,743.424,14.8685,0.0363
P5LL_Pine,5,1,1,5,39.6,49.647,546.117,10.9223,0.0276
P6LL_Pine,6,1,1,6,40.9,40.02,440.22,8.8044,0.0215
P7LL_Pine,7,1,1,7,43.1,43.259,475.849,9.517,0.0221
P8LL_Pine,8,1,1,8,42,12.406,136.466,2.7293,0.0065
P9LL_Pine,9,1,1,9,39.6,33.329,366.619,7.3324,0.0185
E1LL_Pine,10,1,1,10,40.5,28.593,314.523,6.2905,0.0155
E2LL_Pine,11,1,2,1,38.3,26.736,294.096,5.8819,0.0154
E3LL_Pine,12,1,2,2,41.1,43.062,473.682,9.4736,0.0231
E4LL_Pine,13,1,2,3,39.8,45.909,504.999,10.1,0.0254
E5LL_Pine,14,1,2,4,39.4,41.336,454.696,9.0939,0.0231
E6LL_Pine,15,1,2,5,44.2,65.425,719.675,14.3935,0.0326
E7LL_Pine,16,1,2,6,39.5,50.44,554.84,11.0968,0.0281
E8LL_Pine,17,1,2,7,38.8,20.782,228.602,4.572,0.0118
E9LL_Pine,18,1,2,8,39.6,16.872,185.592,3.7118,0.0094
P1LL_Euc,19,1,2,9,39.7,14.116,155.276,3.1055,0.0078
P2LL_Euc,20,1,2,10,39.7,29.853,328.383,6.5677,0.0165
P2B_Euc,21,1,3,1,40.1,9.748,107.228,2.1446,0.0053
P3LL_Euc,22,1,3,2,39.6,26.229,288.519,5.7704,0.0146
P3B_Euc,23,1,3,3,39.6,16.242,178.662,3.5732,0.009
P4LL_Euc,24,1,3,4,39.6,19.563,215.193,4.3039,0.0109
P4B_Euc,25,1,3,5,40.9,6.149,67.639,1.3528,0.0033
P5LL_EucS,26,1,3,6,39.1,21.469,236.159,4.7232,0.0121
P6LL_Euc,27,1,3,7,40.3,17.927,197.197,3.9439,0.0098
P6B_Euc,28,1,3,8,39.6,51.291,564.201,11.284,0.0285
P7LL_Euc,29,1,3,9,39.6,12.668,139.348,2.787,0.007
P7B_Euc,30,1,3,10,40.8,3.114,34.254,0.6851,0.0017
P8LL_Euc,31,1,4,1,40.9,32.928,362.208,7.2442,0.0177
P9LL_Euc,32,1,4,2,39.5,34.572,380.292,7.6058,0.0193
P9B_Euc,33,1,4,3,40.5,17.232,189.552,3.791,0.0094
E1LL_Euc,34,1,4,4,42.1,36.625,402.875,8.0575,0.0191
E1B_Euc,35,1,4,5,39.2,15.195,167.145,3.3429,0.0085
E2LL_Euc,36,1,4,6,41.4,32.143,353.573,7.0715,0.0171
E2B_Euc,37,1,4,7,39.4,20.144,221.584,4.4317,0.0112
E3LL_Euc,38,1,4,8,41.4,25.689,282.579,5.6516,0.0137
E3B_Euc,39,1,4,9,39.7,20.16,221.76,4.4352,0.0112
E4LL_Euc,40,1,4,10,41.1,36.879,405.669,8.1134,0.0197
E4B_Euc,41,2,1,1,40.7,28.822,317.042,6.3408,0.0156
E5LL_Euc,42,2,1,2,39.8,40.764,448.404,8.9681,0.0225
E5B_Euc,43,2,1,3,38.8,32.765,360.415,7.2083,0.0186
E6LL_Euc,44,2,1,4,41.5,28.315,311.465,6.2293,0.015
E6B_Euc,45,2,1,5,38.9,18.721,205.931,4.1186,0.0106
E7LL_Euc,46,2,1,6,39.6,24.135,265.485,5.3097,0.0134
E7B_Euc,47,2,1,7,41.5,21.902,240.922,4.8184,0.0116
E8LL_Euc,48,2,1,8,39,36.977,406.747,8.1349,0.0209
E8B_Euc,49,2,1,9,42.1,18.966,208.626,4.1725,0.0099
E9LL_Euc,50,2,1,10,38.8,27.726,304.986,6.0997,0.0157
E9B_Euc,51,2,2,1,43.3,29.583,325.413,6.5083,0.015
E1OL,52,2,2,2,41.3,39.136,430.496,8.6099,0.0208
E2OL,53,2,2,3,39.4,82.912,912.032,18.2406,0.0463
E3OL,54,2,2,4,38.8,67.159,738.749,14.775,0.0381
E4OL,55,2,2,5,40,43.34,476.74,9.5348,0.0238
E5OL,56,2,2,6,40.2,64.893,713.823,14.2765,0.0355
E6OL,57,2,2,7,40.1,62.595,688.545,13.7709,0.0343
E7OL,58,2,2,8,39.9,39.889,438.779,8.7756,0.022
E8OL,59,2,2,9,39.6,41.516,456.676,9.1335,0.0231
E9OL,60,2,2,10,40.1,35.603,391.633,7.8327,0.0195
EROL,61,2,3,1,39.9,29.321,322.531,6.4506,0.0162
P1OL,62,2,3,2,42.5,51.062,561.682,11.2336,0.0264
P2OL,63,2,3,3,41.6,55.92,615.12,12.3024,0.0296
P3OL,64,2,3,4,39.2,39.815,437.965,8.7593,0.0223
P4OL,65,2,3,5,40.2,46.931,516.241,10.3248,0.0257
P5OL,66,2,3,6,40.3,35.439,389.829,7.7966,0.0193
P6OL,67,2,3,7,39.8,58.791,646.701,12.934,0.0325
P7OL,68,2,3,8,41.3,61.924,681.164,13.6233,0.033
P8OL,69,2,3,9,39.7,44.265,486.915,9.7383,0.0245
P9OL,70,2,3,10,40,49.36,542.96,10.8592,0.0271
