ID,mass,Notes,litter_ergosterol
E1LL_Pine,137.15,,215.8698634
E2LL_Pine,132.94,,176.4371566
E3LL_Pine,110.79,,240.3325567
E4LL_Pine,146.4,,305.269101
E5LL_Pine,161.6,,269.2392681
E6LL_Pine,164.59,,266.7948417
E7LL_Pine,139.57,,197.6985592
E8LL_Pine,112.99,,180.5155596
E9LL_Pine,133.3,,225.3598475
P1LL_Pine,124.76,,229.7959699
P2LL_Pine,104.38,,222.8290987
P3LL_Pine,107.28,,192.7654519
P4LL_PineN,130.16,North only,152.0992719
P5LL_Pine,132.66,,188.4381975
P6LL_Pine,123.5,,182.192526
P7LL_Pine,111.05,,192.7132372
P8LL_Pine,102.34,,196.9265956
P9LL_Pine,127.62,,244.1622799
E1LL_Euc,130.66,,167.4490777
E1B_Euc,114.03,,96.68803809
E2LL_Euc,111.81,,126.3715961
E2B_Euc,106.39,,126.6007112
P1LL_Euc,103.12,,123.9347397
P2LL_Euc,104.77,,156.0546007
P2B_Euc,140.05,,88.25940611
P3LL_Euc,141.16,,152.8744163
P3B_Euc,102.42,,84.58443169
P4LL_Euc,114.75,,114.5090171
P4B_Euc,157.66,,90.12098915
P5LL_EucS,120.58,South only,168.7968603
P6LL_Euc,180.81,,251.9572793
P6B_Euc,117.57,,267.6379257
P7LL_Euc,130.15,,136.9490296
P7B_Euc,179.36,,112.1156255
P8LL_Euc,111.49,,137.1864087
P9LL_Euc,138.08,,141.5467654
P9B_Euc,192.87,,77.54464416
P1OL,126.41,,126.2977827
P2OL,189.4,,201.9152457
P3OL,111.84,,182.7958449
P4OL,128.25,,163.5824061
P5OL,119.03,,110.0101245
P6OL,117.64,,192.2029099
P7OL,122.82,,196.8836731
P8OL,110.03,,162.2598013
P9OL,121.77,,314.7208035
E1OL,186.15,,176.5600262
E2OL,146.33,,404.031458
E3OL,104.97,,272.8751134
E4OL,104.46,,240.0003849
E5OL,133.18,,251.860035
E6OL,126.11,,221.7387314
E7OL,118.66,,311.2332928
E8OL,139.09,,235.5589192
E9OL,145.51,,256.4862801
EROL,103.86,,161.908434
E3LL_Euc,111.12,,219.3575174
E3B_Euc,122.23,,197.4993481
E4LL_Euc,146.17,,233.2696616
E4B_Euc,101.47,,181.2153797
E5LL_Euc,107.94,,209.5412765
E5B_Euc,114.3,,229.999769
E6LL_Euc,117.26,,196.0131094
E6B_Euc,160.29,,107.4539474
E7LL_Euc,115.26,,173.1627688
E7B_Euc,147.78,,163.1611749
E8LL_Euc,104.76,,174.5639248
E8B_Euc,159.69,,122.2651371
E9LL_Euc,159.91,,146.9729605
E9B_Euc,172.66,,258.4838309
