treeName,tree_spp,latitude,longitude
E1,euc,-34.521133,150.255206
E2,euc,-34.520944,150.255352
E3,euc,-34.521061,150.255489
E4,euc,-34.521108,150.255539
E5,euc,-34.521108,150.255447
E6,euc,-34.521108,150.25535
E7,euc,-34.521055,150.255589
E8,euc,-34.521027,150.255631
E9,euc,-34.521021,150.255653
P1,pine,-34.521112,150.255622
P2,pine,-34.521091,150.255547
P3,pine,-34.521031,150.255364
P4,pine,-34.520989,150.255081
P5,pine,-34.521041,150.255145
P6,pine,-34.521011,150.255292
P7,pine,-34.521128,150.255372
P8,pine,-34.521123,150.255589
P9,pine,-34.521144,150.255431
