"","tree_num","tree_spp","day","Water","Pyruvic_Acid_Methyl_Ester","Tween_40","Tween_80","a.Cyclodextrin","Glycogen","D.Cellobiose","a.D.Lactose","B.Methyl.D.Glucoside","D.Xylose","i.Erythritol","D.Mannitol","N.Acetyl.D.Glucosamine","D.Glucosaminic_Acid","Glucose.1.Phosphae","D.L.a.Glycerol_Phosphate","D.Galactonic_Acid_gamma_Lactone","D.Galactonic_Acid","X2.Hydroxy_Benzoic_Acid","X4.Hydroxy_Benzoic_Acid","gamma.Amino_Butyric_Acid","Itaconic_Acid","a.Keto_Butyric_Acid","D.Malic_Acid","L.Arginine","L.Asparagine","L.Phenylalanine","L.Serine","L.Threonine","Glycyl.L.Glutamic_Acid","Phenylethyl.amine","Putrescine","treeName","X","Bac_Shannon_soil","Bac_Simpson_soil","Bac_Invsimpson_soil","Bac_Richness_soil","TreeSpecies","Copiotroph_rel_abund_soil","Oligotroph_rel_abund_soil","OtherBacteria_rel_abund_soil","Copiotroph_richness_soil","Oligotroph_richness_soil","OtherBacteria_richness_soil","Fungal_Shannon_soil","Fungal_Simpson_soil","Fungal_Invsimpson_soil","Fungal_Richness_soil","AMF_abund_soil","ECM_abund_soil","Endo_abund_soil","Other_abund_soil","Path_abund_soil","Sap_abund_soil","AMF_richness_soil","ECM_richness_soil","Endo_richness_soil","Other_richness_soil","Path_richness_soil","Sap_richness_soil","AMF_Shannon_soil","AMF_Simpson_soil","AMF_Invsimpson_soil","AMF_Richness_soil","Bac_Shannon_root","Bac_Simpson_root","Bac_Invsimpson_root","Bac_Richness_root","Copiotroph_rel_abund_root","Oligotroph_rel_abund_root","OtherBacteria_rel_abund_root","Copiotroph_richness_root","Oligotroph_richness_root","OtherBacteria_richness_root","Fungal_Shannon_root","Fungal_Simpson_root","Fungal_Invsimpson_root","Fungal_Richness_root","AMF_abund_root","ECM_abund_root","Endo_abund_root","Other_abund_root","Path_abund_root","Sap_abund_root","AMF_richness_root","ECM_richness_root","Endo_richness_root","Other_richness_root","Path_richness_root","Sap_richness_root","AMF_Shannon_root","AMF_Simpson_root","AMF_Invsimpson_root","AMF_Richness_root","perc_N","perc_C","CN_ratio","ergosterol","tot_P","perc_P"
"1",1,"euc",1,0.0776666666666667,0.074,0.118333333333333,0.0866666666666667,0.0743333333333333,0.0866666666666667,0.076,0.0763333333333333,0.0753333333333333,0.107666666666667,0.078,0.078,0.0743333333333333,0.074,0.129333333333333,0.0793333333333333,0.0883333333333333,0.075,0.0786666666666667,0.0766666666666667,0.079,0.0723333333333333,0.077,0.076,0.079,0.0793333333333333,0.079,0.0773333333333333,0.076,0.078,0.084,0.073,"E1",1,6.47272175978892,0.995057021654329,202.307177994391,2197,"Eucalyptus",0.41738160661619,0.154252353087398,0.428366040296412,565,497,1135,4.41758756227299,0.969094033342357,32.3562117010409,819,5.9343659130022e-05,0.29612485905881,0.0182432298775542,0.0875516784364924,0.0169178881569838,0.58110300081103,2,54,16,220,67,460,2.74329183520661,0.899528424656965,9.9530638052181,37,5.91389527980333,0.992704710336048,137.074749059138,1434,0.418696954741664,0.0920876111300334,0.489215434128303,476,223,735,2.93004644000514,0.827234054933105,5.78817775466571,303,0,0.422007471534349,0.0361329217278482,0.067221439277006,0.0170793906449232,0.457558776815874,0,16,10,83,33,161,2.07318141257438,0.815708612181477,5.42618953515468,25,0.11,2.88,25.5,5.0787,11.49324,0.004589952
"2",2,"euc",1,0.0916666666666667,0.0926666666666667,0.0916666666666667,0.0956666666666667,0.105666666666667,0.117,0.0913333333333333,0.0926666666666667,0.0846666666666667,0.109666666666667,0.0856666666666667,0.0886666666666667,0.0916666666666667,0.0886666666666667,0.0796666666666667,0.0896666666666667,0.0896666666666667,0.0906666666666667,0.0896666666666667,0.089,0.089,0.083,0.0943333333333333,0.0916666666666667,0.0936666666666667,0.0946666666666667,0.0916666666666667,0.093,0.0886666666666667,0.0883333333333333,0.095,0.088,"E2",2,6.55692558692686,0.995585846306492,226.543992220037,2220,"Eucalyptus",0.423574732837962,0.122830063989942,0.453595203172096,638,398,1184,3.8186015645543,0.939561327159709,16.5456975311568,610,0,0.349194560769695,0.0238996483091047,0.0517330599024465,0.0139191015112167,0.561253629507537,0,34,11,176,60,329,1.56490823071051,0.684379766675073,3.1683646813939,17,5.513732701498,0.98453330849054,64.6550685638457,1312,0.396148042010274,0.0909562062710547,0.512895751718671,436,196,680,2.44936420363151,0.826241507224108,5.7551143775733,192,0,0.54451105328437,0.0392215277608891,0.0197354021255381,0.01733383593959,0.379198180889613,0,18,5,40,21,108,3.26828287032465,0.949823230423965,19.9295412687868,56,0.1,2.765,27.36813187,3.96295,17.41311,0.006955304
"3",3,"euc",1,0.0946666666666667,0.0883333333333333,0.218333333333333,0.0933333333333333,0.0903333333333333,0.095,0.09,0.0913333333333333,0.0876666666666667,0.113333333333333,0.086,0.0886666666666667,0.0896666666666667,0.0873333333333333,0.091,0.0886666666666667,0.0893333333333333,0.098,0.115666666666667,0.1,0.096,0.082,0.158666666666667,0.0906666666666667,0.0863333333333333,0.084,0.0893333333333333,0.0863333333333333,0.093,0.09,0.0973333333333333,0.0903333333333333,"E3",3,6.88136308636726,0.996334394572599,272.806230732016,2819,"Eucalyptus",0.410780154924382,0.131771354797913,0.457448490277705,741,489,1589,4.34610134675767,0.96069126270828,25.439636805903,945,6.61494410372232e-05,0.226330312508859,0.00654406970261101,0.0906719838217367,0.0243571691819204,0.652030315343835,3,44,21,283,82,512,3.13977095725712,0.939531898123972,16.5376449561821,47,5.74970500553754,0.990614423070077,106.546460325934,990,0.508420053097688,0.0559657384260605,0.435614208476251,390,103,497,3.40999096755775,0.923170275195282,13.0157956772818,475,0.000252712142818462,0.0896676835321937,0.0184524991425838,0.0849428690048557,0.0140887019621293,0.792595534215419,5,24,15,145,41,245,2.70661782107158,0.890423978880182,9.12608424526137,44,0.14,3.87,27.48205128,6.4846,17.03559,0.006812742
"4",4,"euc",1,0.0993333333333333,0.0896666666666667,0.0903333333333333,0.0976666666666667,0.0866666666666667,0.0996666666666667,0.0983333333333333,0.092,0.088,0.113666666666667,0.087,0.093,0.0866666666666667,0.0873333333333333,0.0923333333333333,0.0886666666666667,0.100333333333333,0.0916666666666667,0.0966666666666667,0.088,0.0846666666666667,0.0873333333333333,0.091,0.0856666666666667,0.0906666666666667,0.0926666666666667,0.0896666666666667,0.0906666666666667,0.086,0.089,0.0976666666666667,0.0873333333333333,"E4",4,6.56249829782497,0.995518389708029,223.134082361305,2291,"Eucalyptus",0.36611787992671,0.193276805178478,0.440605314894812,516,599,1176,3.9909170822087,0.957697686729825,23.6393691667221,664,4.78134891415566e-05,0.220334120662121,0.0029548736289482,0.0440649115928586,0.0209423082440018,0.711655972382929,2,54,12,175,52,369,2.7877448673696,0.886680511501233,8.82460742849964,48,5.85088257096056,0.991878530227844,123.130421962344,1285,0.313465944880093,0.205143185780926,0.481390869338981,390,234,661,2.35657173829614,0.791337275578908,4.79242280946139,176,0,0.259806824786207,0.0150610245481969,0.432524285279385,0.00692441812193839,0.285683447264274,0,16,9,32,14,105,2.20792826988406,0.726348928266975,3.65428862992214,47,0.105,2.775,26.35,3.6078,13.90796,0.00555208
"5",5,"euc",1,0.079,0.074,0.0783333333333333,0.079,0.065,0.0773333333333333,0.0726666666666667,0.0716666666666667,0.0756666666666667,0.0983333333333333,0.0633333333333333,0.0716666666666667,0.0686666666666667,0.069,0.0763333333333333,0.063,0.076,0.075,0.069,0.0693333333333333,0.069,0.0706666666666667,0.0763333333333333,0.074,0.079,0.0716666666666667,0.0693333333333333,0.0736666666666667,0.068,0.0706666666666667,0.0773333333333333,0.0703333333333333,"E5",5,6.71565642490444,0.996528229849021,288.037501479757,2264,"Eucalyptus",0.378965693648018,0.158039811555583,0.462994494796399,545,455,1264,4.35307666976029,0.966384878983355,29.748517029132,756,0.00195970687064476,0.217191929703418,0.037010741916817,0.0805327679522279,0.0403077177438571,0.622997135813035,6,43,15,215,68,409,2.29210945767454,0.824451594366435,5.69643453263468,30,6.12928169150814,0.994296469723614,175.330006424308,1331,0.496895032051282,0.0983824118589744,0.404722556089744,441,201,689,2.70407440092486,0.822495895200725,5.6336725346764,327,0.000903280949513394,0.0201635618407506,0.0905806251092679,0.0885263894015035,0.0385254181316653,0.761300724567299,5,9,11,109,43,150,1.25532420037931,0.633386827255992,2.72767067401111,23,0.11,2.93,27.025,4.6134,18.81187,0.007524748
"6",6,"euc",1,0.123,0.114333333333333,0.123,0.101,0.114666666666667,0.12,0.115,0.115333333333333,0.119333333333333,0.142666666666667,0.114333333333333,0.0996666666666667,0.115666666666667,0.116333333333333,0.115,0.114,0.117666666666667,0.115666666666667,0.123,0.102,0.115666666666667,0.110333333333333,0.115666666666667,0.116,0.122666666666667,0.120333333333333,0.117,0.105666666666667,0.115666666666667,0.113666666666667,0.118333333333333,0.107666666666667,"E6",6,6.70280632652405,0.996305958581249,270.706222979514,2561,"Eucalyptus",0.353812390496456,0.217558154338614,0.42862945516493,597,656,1308,3.90270485173742,0.957267374703943,23.401323767774,529,0.000179792193673824,0.157397612526917,0.00513871176802626,0.0636715238433717,0.00993038279012397,0.763681976877888,7,43,4,139,40,296,2.84202748788135,0.857800911025861,7.03239385859826,49,6.11645134352322,0.994885696181804,195.530034105937,1494,0.347369171030601,0.122056570838232,0.530574258131167,512,234,748,3.81413607804399,0.953495319781366,21.5032120487374,477,0,0.0674020992244559,0.0365817120909238,0.0655209504958276,0.0260954130423037,0.804399825146489,0,21,12,133,52,259,3.44575379843716,0.943040835302383,17.556437235496,93,0.09,2.505,27.25,2.7856,12.36565,0.004944282
"7",7,"euc",1,0.0893333333333333,0.0863333333333333,0.121666666666667,0.0923333333333333,0.0993333333333333,0.093,0.0853333333333333,0.0853333333333333,0.086,0.110666666666667,0.0806666666666667,0.087,0.084,0.084,0.0853333333333333,0.09,0.0946666666666667,0.0953333333333333,0.0886666666666667,0.086,0.0876666666666667,0.087,0.085,0.091,0.0866666666666667,0.089,0.0826666666666667,0.0873333333333333,0.087,0.087,0.087,0.084,"E7",7,6.59151752465673,0.995385162541771,216.692355700792,2652,"Eucalyptus",0.368763075829945,0.173301622389768,0.457935301780287,639,595,1418,4.1558267905847,0.964763724327001,28.3798438086998,715,0.000589446485526263,0.111251968186039,0.0169566797206185,0.0672614962251201,0.0431830110218418,0.760757398360854,17,51,15,168,61,403,2.90817342619102,0.9158099453617,11.8778875283575,39,5.78169120805017,0.988336882843198,85.740371682435,1324,0.404126694971279,0.155357064155489,0.440516240873232,438,209,677,3.56251995341619,0.94665833330143,18.7470707589798,333,0.000180511417347147,0.097423912062438,0.041075848047389,0.0765415912556469,0.0247015623738201,0.760076574843359,6,23,14,75,38,177,2.77836161310565,0.901950005326457,10.1988786774492,51,0.08,2.255,28.1875,2.1523,14.13731,0.005650404
"8",8,"euc",1,0.0983333333333333,0.0983333333333333,0.11,0.0856666666666667,0.094,0.0956666666666667,0.0966666666666667,0.0963333333333333,0.101666666666667,0.118333333333333,0.0926666666666667,0.076,0.0936666666666667,0.09,0.0973333333333333,0.097,0.177333333333333,0.105,0.095,0.095,0.097,0.0836666666666667,0.102333333333333,0.100666666666667,0.0983333333333333,0.0986666666666667,0.09,0.0963333333333333,0.0953333333333333,0.0876666666666667,0.108,0.09,"E8",8,6.69106110299086,0.995945899612245,246.663847550612,2575,"Eucalyptus",0.373736001876705,0.14741397404714,0.478850024076155,604,544,1427,4.45270617845863,0.972904262470861,36.9061738557438,906,0.000232732538594813,0.120064130743968,0.0197133079913458,0.116857593545551,0.0563212743399447,0.686810960840595,4,49,20,263,85,485,3.21350745598968,0.947848170581395,19.1747827669351,43,6.24367600533944,0.992863718238062,140.128996213916,1819,0.441656360161112,0.0865680328573602,0.471775606981528,558,258,1003,2.83867354145857,0.816647575132164,5.45397750109289,410,0,0.494945229385338,0.0278661083608501,0.0273267971528438,0.0338341465400133,0.416027718560955,0,18,19,116,49,208,2.64584924276658,0.889645295907834,9.06168892596383,44,0.125,3.27,26.25974026,2.9102,17.3151,0.006912216
"9",9,"euc",1,0.0886666666666667,0.0736666666666667,0.239,0.0953333333333333,0.0993333333333333,0.0906666666666667,0.0783333333333333,0.0743333333333333,0.081,0.103,0.0796666666666667,0.0773333333333333,0.08,0.078,0.0806666666666667,0.0746666666666667,0.089,0.0726666666666667,0.0803333333333333,0.0756666666666667,0.0793333333333333,0.0753333333333333,0.0773333333333333,0.0763333333333333,0.079,0.078,0.076,0.0766666666666667,0.075,0.078,0.0823333333333333,0.073,"E9",9,6.49960828517326,0.995052432803102,202.119538796155,2259,"Eucalyptus",0.396263206861833,0.152192753272243,0.451544039865924,568,526,1165,4.29527460779046,0.968320476955302,31.566131806626,908,8.24638772363845e-05,0.0882399340288982,0.0106521817073608,0.0982933562798035,0.0215553404323975,0.781176723674304,4,37,24,246,86,511,3.18211956849589,0.941929159779245,17.2203466696628,43,5.71419429548876,0.990033359783411,100.334714434217,1492,0.325912334083574,0.182645026302415,0.491442639614011,422,226,844,2.35815249123562,0.762883083274046,4.21732879209012,228,1.36873802354229e-05,0.488986221370563,0.057377497946893,0.0289989962587827,0.0237704170088512,0.400853180034675,1,16,12,45,19,135,3.45218898786486,0.949903661114893,19.9615385526163,58,0.08,2.305,28.34126984,1.4569,18.43523,0.007362312
"10",1,"pine",1,0.0953333333333333,0.102,0.293,0.11,0.0966666666666667,0.107333333333333,0.0993333333333333,0.096,0.103,0.127666666666667,0.094,0.0993333333333333,0.107666666666667,0.098,0.0986666666666667,0.0956666666666667,0.172333333333333,0.114333333333333,0.108666666666667,0.103333333333333,0.0976666666666667,0.1,0.111666666666667,0.096,0.109333333333333,0.105,0.100666666666667,0.101333333333333,0.104666666666667,0.095,0.102333333333333,0.0903333333333333,"P1",10,5.97331915468956,0.9914164024895,116.501268701937,1783,"Pine",0.4206780934361,0.0714404963966721,0.507881410167228,565,229,989,3.54094610223529,0.913916318672447,11.6166035719934,511,0,0.37289464573023,0.0148927720413026,0.0709506934685648,0.0299077411865339,0.511354147573369,0,17,6,162,58,268,2.44773930437127,0.852003020777454,6.75689466942619,39,5.46429149996301,0.989445830682393,94.7492853209879,1001,0.339655236056255,0.168639031412646,0.491705732531099,332,160,509,2.7911095449511,0.864233701244003,7.36559815773743,233,0,0.391343253192162,0.0175910496225131,0.0364359236774563,0.0337139458497875,0.520915827658081,0,18,4,46,25,140,1.9184313223135,0.706672710435989,3.40916115062583,45,0.155,3.665,23.62605042,8.404,21.51336,0.008591597
