"","treeName","tree_num","tree_spp","Bac_Shannon_soil","Bac_Simpson_soil","Bac_Invsimpson_soil","Bac_Richness_soil","TreeSpecies","Copiotroph_rel_abund_soil","Oligotroph_rel_abund_soil","OtherBacteria_rel_abund_soil","Copiotroph_richness_soil","Oligotroph_richness_soil","OtherBacteria_richness_soil","Fungal_Shannon_soil","Fungal_Simpson_soil","Fungal_Invsimpson_soil","Fungal_Richness_soil","AMF_abund_soil","ECM_abund_soil","Endo_abund_soil","Other_abund_soil","Path_abund_soil","Sap_abund_soil","AMF_richness_soil","ECM_richness_soil","Endo_richness_soil","Other_richness_soil","Path_richness_soil","Sap_richness_soil","AMF_Shannon_soil","AMF_Simpson_soil","AMF_Invsimpson_soil","AMF_Richness_soil","Bac_Shannon_root","Bac_Simpson_root","Bac_Invsimpson_root","Bac_Richness_root","Copiotroph_rel_abund_root","Oligotroph_rel_abund_root","OtherBacteria_rel_abund_root","Copiotroph_richness_root","Oligotroph_richness_root","OtherBacteria_richness_root","Fungal_Shannon_root","Fungal_Simpson_root","Fungal_Invsimpson_root","Fungal_Richness_root","AMF_abund_root","ECM_abund_root","Endo_abund_root","Other_abund_root","Path_abund_root","Sap_abund_root","AMF_richness_root","ECM_richness_root","Endo_richness_root","Other_richness_root","Path_richness_root","Sap_richness_root","AMF_Shannon_root","AMF_Simpson_root","AMF_Invsimpson_root","AMF_Richness_root","perc_N","perc_C","CN_ratio","ergosterol","tot_P","perc_P","soil_moisture","organic_matter_LOI","dbh_cm","height_m","litter_depth","pine_litter_prop","euc_litter_prop","latitude","longitude","lomandra_n","lomandra_p","lomandra_k","lomandra_c","total_litter_biomass","Water_BiologDay1","Pyruvic_Acid_Methyl_Ester_BiologDay1","Tween_40_BiologDay1","Tween_80_BiologDay1","a.Cyclodextrin_BiologDay1","Glycogen_BiologDay1","D.Cellobiose_BiologDay1","a.D.Lactose_BiologDay1","B.Methyl.D.Glucoside_BiologDay1","D.Xylose_BiologDay1","i.Erythritol_BiologDay1","D.Mannitol_BiologDay1","N.Acetyl.D.Glucosamine_BiologDay1","D.Glucosaminic_Acid_BiologDay1","Glucose.1.Phosphae_BiologDay1","D.L.a.Glycerol_Phosphate_BiologDay1","D.Galactonic_Acid_gamma_Lactone_BiologDay1","D.Galactonic_Acid_BiologDay1","X2.Hydroxy_Benzoic_Acid_BiologDay1","X4.Hydroxy_Benzoic_Acid_BiologDay1","gamma.Amino_Butyric_Acid_BiologDay1","Itaconic_Acid_BiologDay1","a.Keto_Butyric_Acid_BiologDay1","D.Malic_Acid_BiologDay1","L.Arginine_BiologDay1","L.Asparagine_BiologDay1","L.Phenylalanine_BiologDay1","L.Serine_BiologDay1","L.Threonine_BiologDay1","Glycyl.L.Glutamic_Acid_BiologDay1","Phenylethyl.amine_BiologDay1","Putrescine_BiologDay1","Water_BiologDay3","Pyruvic_Acid_Methyl_Ester_BiologDay3","Tween_40_BiologDay3","Tween_80_BiologDay3","a.Cyclodextrin_BiologDay3","Glycogen_BiologDay3","D.Cellobiose_BiologDay3","a.D.Lactose_BiologDay3","B.Methyl.D.Glucoside_BiologDay3","D.Xylose_BiologDay3","i.Erythritol_BiologDay3","D.Mannitol_BiologDay3","N.Acetyl.D.Glucosamine_BiologDay3","D.Glucosaminic_Acid_BiologDay3","Glucose.1.Phosphae_BiologDay3","D.L.a.Glycerol_Phosphate_BiologDay3","D.Galactonic_Acid_gamma_Lactone_BiologDay3","D.Galactonic_Acid_BiologDay3","X2.Hydroxy_Benzoic_Acid_BiologDay3","X4.Hydroxy_Benzoic_Acid_BiologDay3","gamma.Amino_Butyric_Acid_BiologDay3","Itaconic_Acid_BiologDay3","a.Keto_Butyric_Acid_BiologDay3","D.Malic_Acid_BiologDay3","L.Arginine_BiologDay3","L.Asparagine_BiologDay3","L.Phenylalanine_BiologDay3","L.Serine_BiologDay3","L.Threonine_BiologDay3","Glycyl.L.Glutamic_Acid_BiologDay3","Phenylethyl.amine_BiologDay3","Putrescine_BiologDay3","Water_BiologDay5","Pyruvic_Acid_Methyl_Ester_BiologDay5","Tween_40_BiologDay5","Tween_80_BiologDay5","a.Cyclodextrin_BiologDay5","Glycogen_BiologDay5","D.Cellobiose_BiologDay5","a.D.Lactose_BiologDay5","B.Methyl.D.Glucoside_BiologDay5","D.Xylose_BiologDay5","i.Erythritol_BiologDay5","D.Mannitol_BiologDay5","N.Acetyl.D.Glucosamine_BiologDay5","D.Glucosaminic_Acid_BiologDay5","Glucose.1.Phosphae_BiologDay5","D.L.a.Glycerol_Phosphate_BiologDay5","D.Galactonic_Acid_gamma_Lactone_BiologDay5","D.Galactonic_Acid_BiologDay5","X2.Hydroxy_Benzoic_Acid_BiologDay5","X4.Hydroxy_Benzoic_Acid_BiologDay5","gamma.Amino_Butyric_Acid_BiologDay5","Itaconic_Acid_BiologDay5","a.Keto_Butyric_Acid_BiologDay5","D.Malic_Acid_BiologDay5","L.Arginine_BiologDay5","L.Asparagine_BiologDay5","L.Phenylalanine_BiologDay5","L.Serine_BiologDay5","L.Threonine_BiologDay5","Glycyl.L.Glutamic_Acid_BiologDay5","Phenylethyl.amine_BiologDay5","Putrescine_BiologDay5","Euc_leafLitter_ergosterol","Euc_leafLitter_totP","Euc_leafLitter_percP","Euc_leafLitter_percN","Euc_leafLitter_percC","Pine_leafLitter_ergosterol","Pine_leafLitter_totP","Pine_leafLitter_percP","Pine_leafLitter_percN","Pine_leafLitter_percC","Euc_Bark_ergosterol","Euc_Bark_totP","Euc_Bark_percP","Euc_Bark_percN","Euc_Bark_percC","Litter_OLayer_ergosterol","Litter_OLayer_totP","Litter_OLayer_percP","Litter_OLayer_percN","Litter_OLayer_percC","Litter_avg_ergosterol","Litter_avg_totP","Litter_avg_percP","Litter_avg_percN","Litter_avg_percC","Understory_richness_perTree"
"1","E1",1,"euc",6.47272176,0.995057022,202.307178,2197,"Eucalyptus",0.417381607,0.154252353,0.42836604,565,497,1135,4.417587562,0.969094033,32.3562117,819,5.93e-05,0.296124859,0.01824323,0.087551678,0.016917888,0.581103001,2,54,16,220,67,460,2.743291835,0.899528425,9.953063805,37,5.91389528,0.99270471,137.0747491,1434,0.418696955,0.092087611,0.489215434,476,223,735,2.93004644,0.827234055,5.788177755,303,0,0.422007472,0.036132922,0.067221439,0.017079391,0.457558777,0,16,10,83,33,161,2.073181413,0.815708612,5.426189535,25,0.11,2.88,25.5,5.0787,11.49324,0.004589952,0.111125,0.052125,46.6,9.8,2.45,0.088461538,0.732692308,"34¡31'16.08""S","150¡15'18.740""E",1.26,0.066,1.15,46.3,319.24,0.077666667,0,0.040666666,0.009,0,0.009,0,0,0,0.03,0.000333333,0.000333333,0,0,0.051666666,0.001666666,0.010666666,0,0.001,0,0.001333333,0,0,0,0.001333333,0.001666666,0.001333333,0,0,0.000333333,0.006333333,0,0.094333333,0.340333334,0.216666667,0.629333334,0.028,0.037333334,0.658666667,0.008333334,0.507,0.024,0.012333334,0.361666667,0.759,0.111,0.057333334,0.219333334,0.275333334,0.27,0,0.773666667,0.894333334,0.001,0.011333334,0.187333334,0.48,0.816666667,0.033666667,1.148,0.003,0.015333334,0.004666667,0.568666667,0.095666667,0.985333333,1.571666666,1.222666666,0.432,0.622,1.244,0.041,1.069666666,0.146666666,0.020666666,1.740333333,1.683333333,0.861333333,0.035,0.189,1.03,0.766666666,0,1.947,1.808,0.056666666,0.054,1.178666666,1.847666666,2.079666666,0.802666666,1.834333333,0.322,0.196666666,0.009,1.346666666,167.4490777,8.0575,0.0191,0.66,50.26,215.8698634,6.2905,0.0155,0.49,50.99,96.68803809,3.3429,0.0085,0.34,48.35,176.5600262,8.6099,0.0208,0.67,53.65,164.1417513475,6.5752,0.015975,0.54,50.8125,11
"2","E2",2,"euc",6.556925587,0.995585846,226.5439922,2220,"Eucalyptus",0.423574733,0.122830064,0.453595203,638,398,1184,3.818601565,0.939561327,16.54569753,610,0,0.349194561,0.023899648,0.05173306,0.013919102,0.56125363,0,34,11,176,60,329,1.564908231,0.684379767,3.168364681,17,5.513732701,0.984533308,64.65506856,1312,0.396148042,0.090956206,0.512895752,436,196,680,2.449364204,0.826241507,5.755114378,192,0,0.544511053,0.039221528,0.019735402,0.017333836,0.379198181,0,18,5,40,21,108,3.26828287,0.94982323,19.92954127,56,0.1,2.765,27.36813187,3.96295,17.41311,0.006955304,0.11498,0.06592,49.3,15.7,1.4125,0.035,0.8,"34¡31'15.400""S","150¡15'19.270""E",1.03,0.048,1.44,46,114.7525,0.091666667,0.001,0,0.004,0.014,0.025333333,0,0.001,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0.002666666,0,0.002,0.003,0,0.001333333,0,0,0.003333333,0,0.117333333,0.482333334,0.348666667,0.547666667,0,0.106666667,0.326,0.001666667,0.626333334,0.004666667,0,0.414,0.897,0.123666667,0,0.393666667,0.694,1.067333334,0,0.991,0.651333334,0.529,0,0.321,0.341666667,1.088,0.016333334,0.292666667,0,0.017666667,0.003,0.123,0.098666667,1.12,1.496,1.529,0.785333333,1.181333333,2.217666666,0.443666666,2.250333333,0.609,0.548666666,1.818333333,2.504666666,1.211,0.987666666,0.482,1.046,1.450666666,0,2.331,1.627,1.762333333,0.06,1.781,1.787,2.294666666,1.033,1.245,0.572666666,0.645666666,0.277,1.170666666,126.3715961,7.0715,0.0171,0.62,53.01,176.4371566,5.8819,0.0154,0.42,50.39,126.6007112,4.4317,0.0112,0.51,42.54,404.031458,18.2406,0.0463,1.01,36.87,208.360230475,8.906425,0.0225,0.64,45.7025,2
"3","E3",3,"euc",6.881363086,0.996334395,272.8062307,2819,"Eucalyptus",0.410780155,0.131771355,0.45744849,741,489,1589,4.346101347,0.960691263,25.43963681,945,6.61e-05,0.226330313,0.00654407,0.090671984,0.024357169,0.652030315,3,44,21,283,82,512,3.139770957,0.939531898,16.53764496,47,5.749705006,0.990614423,106.5464603,990,0.508420053,0.055965738,0.435614208,390,103,497,3.409990968,0.923170275,13.01579568,475,0.000252712,0.089667684,0.018452499,0.084942869,0.014088702,0.792595534,5,24,15,145,41,245,2.706617821,0.890423979,9.126084245,44,0.14,3.87,27.48205128,6.4846,17.03559,0.006812742,0.099885,0.070705,34.5,16.7,2.5375,0.0475,0.9275,"34¡31'15.820""S","150¡15'21.760""E",1.14,0.059,1.67,46.6,167.037,0.094666667,0,0.123666666,0,0,0.000333333,0,0,0,0.018666666,0,0,0,0,0,0,0,0.003333333,0.021,0.005333333,0.001333333,0,0.064,0,0,0,0,0,0,0,0.002666666,0,0.109,0.868333333,0.760333333,0.633666667,0.037666667,0.075666667,0.365333333,0.041,0.675,0.027,0.009,0.886333333,1.547666667,0.249666667,0.282333333,0.358333333,1.347666667,0.843666667,0.007,0.648333333,0.834666667,0.425,0.053333333,0.739666667,0.643666667,0.984333333,0.018666667,0.668333333,0,0.051,0.435,0.634666667,0.147333333,1.392333334,1.636666667,1.471333334,0.321,1.117,1.955,1.913,2.196666667,0.59,0.553333334,2.151,2.511333334,1.392333334,1.369333334,0.940333334,2.056666667,1.779333334,0.003,1.804333334,1.658,1.554666667,0.356333334,1.077333334,1.694666667,2.017,0.765,1.555,0.477333334,0.866,1.217333334,1.413,219.3575174,5.6516,0.0137,0.73,54.63,240.3325567,9.4736,0.0231,0.73,50.51,197.4993481,4.4352,0.0112,0.41,49.42,272.8751134,14.775,0.0381,0.99,45.61,232.5161339,8.58385,0.021525,0.715,50.0425,4
"4","E4",4,"euc",6.562498298,0.99551839,223.1340824,2291,"Eucalyptus",0.36611788,0.193276805,0.440605315,516,599,1176,3.990917082,0.957697687,23.63936917,664,4.78e-05,0.220334121,0.002954874,0.044064912,0.020942308,0.711655972,2,54,12,175,52,369,2.787744867,0.886680512,8.824607428,48,5.850882571,0.99187853,123.130422,1285,0.313465945,0.205143186,0.481390869,390,234,661,2.356571738,0.791337276,4.792422809,176,0,0.259806825,0.015061025,0.432524285,0.006924418,0.285683447,0,16,9,32,14,105,2.20792827,0.726348928,3.65428863,47,0.105,2.775,26.35,3.6078,13.90796,0.00555208,0.12433,0.05101,45.8,17.3,3.5,0.0575,0.9375,"34¡31'15.990""S","150¡15'19.940""E",1.09,0.056,1.38,45.9,273.599,0.099333333,0,0,0,0,0.000333334,0,0,0,0.014333334,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118666667,0.324333333,0.391666666,0.743666666,0,0.022,0.287333333,0.025,0,0.002,0,0.47,0.582333333,0.099666666,0.018666666,0.006,0.531666666,0.757666666,0,0.333333333,0.553666666,0,0,0.255,0.311666666,1.092,0.005,0.682333333,0,0.000666666,0.132666666,0.280666666,0.131666667,1.339666666,1.674333333,1.467666666,0.219666666,0.392333333,1.495666666,0.868666666,0.016,0.330666666,0.286333333,2.170333333,1.191333333,0.941666666,0.383333333,0.005333333,1.154333333,2.021666666,0.201666666,1.437333333,1.030666666,0.015666666,0,0.888,1.596333333,2.098666666,0.535666666,1.684,0,0.07,1.319666666,1.311333333,233.2696616,8.1134,0.0197,0.83,54.37,305.269101,10.1,0.0254,0.53,51.46,181.2153797,6.3408,0.0156,0.47,48.65,240.0003849,9.5348,0.0238,0.85,50.43,239.9386318,8.52225,0.021125,0.67,51.2275,11
"5","E5",5,"euc",6.715656425,0.99652823,288.0375015,2264,"Eucalyptus",0.378965694,0.158039812,0.462994495,545,455,1264,4.35307667,0.966384879,29.74851703,756,0.001959707,0.21719193,0.037010742,0.080532768,0.040307718,0.622997136,6,43,15,215,68,409,2.292109458,0.824451594,5.696434533,30,6.129281692,0.99429647,175.3300064,1331,0.496895032,0.098382412,0.404722556,441,201,689,2.704074401,0.822495895,5.633672535,327,0.000903281,0.020163562,0.090580625,0.088526389,0.038525418,0.761300725,5,9,11,109,43,150,1.2553242,0.633386827,2.727670674,23,0.11,2.93,27.025,4.6134,18.81187,0.007524748,0.082315,0.059165,20,8,1.7375,0.04,0.8925,"34¡31'15.390""S","150¡15'19.610""E",1.15,0.055,1.13,45.3,293.432,0.079,0,0,0,0,0,0,0,0,0.019333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091666667,0.585,0.141,0.442333333,0,0.048,0,0,0.002333333,0.012333333,0.004333333,0.44,0.684,0.036,0.029333333,0.015333333,0.076,0.108333333,0,0.217333333,0.256666666,0,0.003333333,0,0.291,0.659666666,0.011,1.023,0,0.012666666,0.006333333,0.287,0.076333333,1.172333334,1.382,1.388,0,0.11,0.009333334,0.026333334,0.216333334,0.082666667,0.607,2.004666667,1.626,0.793333334,0.563666667,0.199333334,0.339666667,0.671333334,0.025,1.233,0.908666667,0.004333334,0.025666667,0.376333334,0.917333334,1.527333334,0.417666667,1.649666667,0.018333334,0.490333334,0.371333334,1.114666667,209.5412765,8.9681,0.0225,0.77,53.08,269.2392681,9.0939,0.0231,0.52,50.67,229.999769,7.2083,0.0186,0.44,49.36,251.860035,14.2765,0.0355,0.95,49.33,240.16008715,9.8867,0.024925,0.67,50.61,6
"6","E6",6,"euc",6.702806327,0.996305959,270.706223,2561,"Eucalyptus",0.35381239,0.217558154,0.428629455,597,656,1308,3.902704852,0.957267375,23.40132377,529,0.000179792,0.157397613,0.005138712,0.063671524,0.009930383,0.763681977,7,43,4,139,40,296,2.842027488,0.857800911,7.032393859,49,6.116451344,0.994885696,195.5300341,1494,0.347369171,0.122056571,0.530574258,512,234,748,3.814136078,0.95349532,21.50321205,477,0,0.067402099,0.036581712,0.06552095,0.026095413,0.804399825,0,21,12,133,52,259,3.445753798,0.943040835,17.55643724,93,0.09,2.505,27.25,2.7856,12.36565,0.004944282,0.098085,0.05488,35.7,10.3,1.8,0.09,0.86,"34¡31'15.190""S","150¡15'19.260""E",0.98,0.052,1.7,45.9,88.5765,0.123,0,0,0,0,0,0,0,0,0.019666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134666667,0.436333333,0.131,0.316333333,0.009,0.031666666,0.008,0.000333333,0.055666666,0.008333333,0.002666666,0.208666666,0.353,0.203333333,0.016333333,0.011,0.421666666,0.695666666,0,0.037666666,0.675666666,0,0.003,0.425666666,0.873333333,1.030333333,0.021333333,0.724,0,0.006,0.152666666,0.141,0.122666667,1.315333333,1.708,1.505333333,0.207666666,0.029333333,0.014,0,1.139,0.095,0,1.594,1.743666666,1.338,0.716666666,0.383,0.979333333,2.298666666,0.073333333,0.819666666,1.867333333,0.021,0.008666666,1.290666666,2.497333333,2.541666666,0.718666666,1.980333333,0.026,0.057333333,1.310333333,1.002333333,196.0131094,6.2293,0.015,0.61,50.93,266.7948417,14.3935,0.0326,0.64,50.61,107.4539474,4.1186,0.0106,0.37,44.6,221.7387314,13.7709,0.0343,0.75,47.9,198.000157475,9.628075,0.023125,0.5925,48.51,8
"7","E7",7,"euc",6.591517525,0.995385163,216.6923557,2652,"Eucalyptus",0.368763076,0.173301622,0.457935302,639,595,1418,4.155826791,0.964763724,28.37984381,715,0.000589446,0.111251968,0.01695668,0.067261496,0.043183011,0.760757398,17,51,15,168,61,403,2.908173426,0.915809945,11.87788753,39,5.781691208,0.988336883,85.74037168,1324,0.404126695,0.155357064,0.440516241,438,209,677,3.562519953,0.946658333,18.74707076,333,0.000180511,0.097423912,0.041075848,0.076541591,0.024701562,0.760076575,6,23,14,75,38,177,2.778361613,0.901950005,10.19887868,51,0.08,2.255,28.1875,2.1523,14.13731,0.005650404,0.08633,0.04821,46,9.6,2.85,0.198872054,0.787710438,"34¡31'15.800""S","150¡15'21.280""E",1.03,0.057,1.66,46.4,246.6525,0.089333333,0,0.032333334,0.003,0.01,0.003666667,0,0,0,0.021333334,0,0,0,0,0,0.000666667,0.005333334,0.006,0,0,0,0,0,0.001666667,0,0,0,0,0,0,0,0,0.107,0.136333333,0.807666667,0.334333333,0.03,0.04,0.003,0,0.001666667,0.011333333,0,0.759333333,0.754666667,0.117,0,0.162333333,0.153666667,0.355,0,0,0.347,0.2,0,0.008,0.213666667,0.642,0.005,0.714666667,0.002333333,0.009666667,0,0.521666667,0.096666667,1.451666666,1.870333333,1.609666666,0.196666666,0.432,0.342666666,0.029,0.371,0.084,0.301,2.329,1.996,1.069666666,0.073,0.177666666,0.351,0.897,0.044666666,0.999666666,1.887,1.116,0.079333333,0.095333333,0.892,1.992,0.757333333,1.143333333,0.051666666,0.684666666,0,1.995666666,173.1627688,5.3097,0.0134,0.73,53.64,197.6985592,11.0968,0.0281,0.67,50.75,163.1611749,4.8184,0.0116,0.32,49.07,311.2332928,8.7756,0.022,0.69,40.54,211.313948925,7.500125,0.018775,0.6025,48.5,11
"8","E8",8,"euc",6.691061103,0.9959459,246.6638476,2575,"Eucalyptus",0.373736002,0.147413974,0.478850024,604,544,1427,4.452706178,0.972904262,36.90617386,906,0.000232733,0.120064131,0.019713308,0.116857594,0.056321274,0.686810961,4,49,20,263,85,485,3.213507456,0.947848171,19.17478277,43,6.243676005,0.992863718,140.1289962,1819,0.44165636,0.086568033,0.471775607,558,258,1003,2.838673541,0.816647575,5.453977501,410,0,0.494945229,0.027866108,0.027326797,0.033834147,0.416027719,0,18,19,116,49,208,2.645849243,0.889645296,9.061688926,44,0.125,3.27,26.25974026,2.9102,17.3151,0.006912216,0.151645,0.068845,45.7,11,3.8,0.157959427,0.838460621,"34¡31'16.480""S","150¡15'21.550""E",1.12,0.062,1.81,46.2,196.119,0.098333333,0,0.011666667,0,0,0,0,0,0.003333334,0.02,0,0,0,0,0,0,0.079,0.006666667,0,0,0,0,0.004,0.002333334,0,0.000333334,0,0,0,0,0.009666667,0,0.119333333,0.627,0.760666667,0.472666667,0,0.035,0.013666667,0,1.946,0.018666667,0,0.602666667,1.888,0.062333334,0.131333334,0.640333334,0.219666667,0.684666667,0,0.261333334,0.569333334,0.292666667,0.008,0.319,0.589333334,1.092,0.024666667,1.118,0.011666667,0.313,0.010666667,0.397333334,0.104333333,1.482,1.758666667,1.112333334,0,0.028333334,1.159,0.058666667,2.776,0.125,0.213333334,1.517666667,2.549,1.133333334,1.841,0.799666667,0.271666667,1.645666667,0,1.372666667,1.674,1.269666667,0.059666667,0.642666667,1.845,2.333,0.643,2.175,0.372,1.264,0.012,1.439,174.5639248,8.1349,0.0209,0.75,53.85,180.5155596,4.572,0.0118,0.55,51.41,122.2651371,4.1725,0.0099,0.46,49.48,235.5589192,9.1335,0.0231,0.51,38.84,178.225885175,6.503225,0.016425,0.5675,48.395,9
"9","E9",9,"euc",6.499608285,0.995052433,202.1195388,2259,"Eucalyptus",0.396263207,0.152192753,0.45154404,568,526,1165,4.295274608,0.968320477,31.56613181,908,8.25e-05,0.088239934,0.010652182,0.098293356,0.02155534,0.781176724,4,37,24,246,86,511,3.182119568,0.94192916,17.22034667,43,5.714194295,0.99003336,100.3347144,1492,0.325912334,0.182645026,0.49144264,422,226,844,2.358152491,0.762883083,4.217328792,228,1.37e-05,0.488986221,0.057377498,0.028998996,0.023770417,0.40085318,1,16,12,45,19,135,3.452188988,0.949903661,19.96153855,58,0.08,2.305,28.34126984,1.4569,18.43523,0.007362312,0.093525,0.05271,30,8.6,2.025,0.268333333,0.69,"34¡31'17.170""S","150¡15'20.350""E",NA,NA,NA,NA,98.81,0.088666667,0,0.150333333,0.006666666,0.010666666,0.002,0,0,0,0.014333333,0,0,0,0,0,0,0.000333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104666667,0.487666666,0.543666666,0.711666666,0.002333333,0.023666666,0.043666666,0,0.316333333,0.011333333,0,0.396,0.153,0.060333333,0,0.081333333,0.228333333,0.748666666,0,0.281,0.674333333,0,0.016666666,0.477666666,0.340666666,0.944,0,0.728666666,0,0.014666666,0.177666666,0.378,0.115666667,1.004,1.345,1.466666666,0,0.056,0.800333333,0,1.616,0.527333333,0.291,1.586,1.116333333,1.019,0.041333333,0.179,0.451,1.778,0,1.585666666,1.846333333,0.089333333,0.193666666,0.652,1.332,1.892666666,0.268,1.363,0,0.252333333,0.962666666,0.869,146.9729605,6.0997,0.0157,0.6,54.31,225.3598475,3.7118,0.0094,0.54,51.17,258.4838309,6.5083,0.015,0.45,50.9,256.4862801,7.8327,0.0195,0.5,48.61,221.82572975,6.038125,0.0149,0.5225,51.2475,6
"10","P1",1,"pine",5.973319155,0.991416402,116.5012687,1783,"Pine",0.420678093,0.071440496,0.50788141,565,229,989,3.540946102,0.913916319,11.61660357,511,0,0.372894646,0.014892772,0.070950693,0.029907741,0.511354148,0,17,6,162,58,268,2.447739304,0.852003021,6.756894669,39,5.4642915,0.989445831,94.74928532,1001,0.339655236,0.168639031,0.491705733,332,160,509,2.791109545,0.864233701,7.365598158,233,0,0.391343253,0.01759105,0.036435924,0.033713946,0.520915828,0,18,4,46,25,140,1.918431322,0.70667271,3.409161151,45,0.155,3.665,23.62605042,8.404,21.51336,0.008591597,0.06314,0.06101,70,24.8,1.8,0.73,0.1375,"34¡31'15.600""S","150¡15'20.320""E",1.19,0.052,0.99,46.2,213.7885,0.095333333,0.006666667,0.197666667,0.014666667,0.001333334,0.012,0.004,0.000666667,0.007666667,0.032333334,0,0.004,0.012333334,0.002666667,0.003333334,0.000333334,0.077,0.019,0.013333334,0.008,0.002333334,0.004666667,0.016333334,0.000666667,0.014,0.009666667,0.005333334,0.006,0.009333334,0,0.007,0,0.107666667,0.173,0.700666666,0.673,0.003333333,0.041,0.024,0.047666666,0.008,0.050666666,0.012,0.645333333,0.128,0.019666666,0.005666666,0.058333333,0.316666666,0.674333333,0.010333333,0.094666666,0.492666666,0.009666666,0.023,0.005,0.268666666,0.504666666,0.014666666,1.056333333,0.007666666,0.007333333,0.006333333,0.022,0.102,0.974666667,1.651333333,1.502,0,0.066,0.708,0.641,0.054,0.172333333,0.036666667,2.033666667,0.933666667,1.109,0,0.252333333,0.938,1.646333333,0.053666667,1.648,1.330666667,0.011666667,0.039,0.083,2.224333333,1.444333333,0.278666667,2.086,0.023,0.067,0,0.610666667,123.9347397,3.1055,0.0078,0.64,54.1,229.7959699,21.0663,0.0496,0.82,51.06,NA,NA,NA,NA,NA,126.2977827,11.2336,0.0264,0.76,54.71,160.009497433333,11.8018,0.0279333333333333,0.74,53.29,1
