"","Sample","Bac_Shannon","Bac_Simpson","Bac_Invsimpson","Bac_Richness","SampleID","TreeSpecies","TreeID","SampleType","TreeSpecies_SampleType","Plot_Rep","TreeSampleType","Copiotroph_rel_abund","Oligotroph_rel_abund","OtherBacteria_rel_abund","Copiotroph_richness","Oligotroph_richness","OtherBacteria_richness","Fungal_Shannon","Fungal_Simpson","Fungal_Invsimpson","Fungal_Richness","AMF_abund","ECM_abund","Endo_abund","Other_abund","Path_abund","Sap_abund","AMF_richness","ECM_richness","Endo_richness","Other_richness","Path_richness","Sap_richness","AMF_Shannon","AMF_Simpson","AMF_Invsimpson","AMF_Richness","perc_N","perc_C","CN_ratio"
"1","E1N",6.07206495988587,0.993647017020172,157.406371648599,1312,"E1-N_Soil","Eucalyptus",1,"Soil","Eucalyptus_Soil","N","E1_Soil",0.424759884939788,0.132758032275364,0.442482082784847,383,245,684,3.83878512430913,0.942473640484718,17.3833353687945,464,0,0.253242964226402,0.0108510256295166,0.0911733022128462,0.017740921944432,0.626991785986804,0,20,10,128,45,261,2.1059677042502,0.808149076268937,5.21238042826314,21,0.14,3.92,28
"2","E1S",6.22836643102259,0.994744063133273,190.261037253038,1335,"E1-S_Soil","Eucalyptus",1,"Soil","Eucalyptus_Soil","S","E1_Soil",0.408319985629388,0.180650569585198,0.411029444785414,339,357,639,4.13030349037605,0.947196863904059,18.9382690865754,555,0.000106104548348306,0.329914408997666,0.024068048383674,0.0846979557190352,0.0162693640800736,0.544944118271203,2,40,11,136,43,323,2.06477484140365,0.797815037407389,4.9459662438642,17,0.08,1.84,23
"3","E2N",6.45494750543893,0.996079826594496,255.090756596652,1512,"E2-N_Soil","Eucalyptus",2,"Soil","Eucalyptus_Soil","N","E2_Soil",0.397469180673204,0.148971205625362,0.453559613701435,412,319,781,3.50090405157638,0.912268977983882,11.3984765823916,416,0,0.472533658582352,0.025313130365436,0.0529155134399775,0.00816249941361355,0.441075198198621,0,30,9,98,34,245,1.56490823071051,0.684379766675073,3.1683646813939,17,0.13,3.68,28.30769231
"4","E2S",5.89089171549845,0.992227395377105,128.657000904734,1079,"E2-S_Soil","Eucalyptus",2,"Soil","Eucalyptus_Soil","S","E2_Soil",0.454625659485116,0.0917368058864009,0.453637534628483,359,149,571,3.19361334642813,0.854131530194211,6.85549112382826,366,0,0.220463959420687,0.0224243789230423,0.0504989179502747,0.0199273410953673,0.686685402610629,0,12,7,114,41,192,NA,NA,NA,NA,0.07,1.85,26.42857143
"5","E3N",6.55952965842257,0.995756040746928,235.629029490821,1686,"E3-N_Soil","Eucalyptus",3,"Soil","Eucalyptus_Soil","N","E3_Soil",0.391156362350445,0.157334826427772,0.451508811221783,430,318,938,3.70032533986337,0.892683708432263,9.31824968410139,585,0,0.351322399143015,0.00372331020998222,0.0586889371925409,0.0180965356574555,0.568168817797007,0,29,12,151,53,340,2.53794002674495,0.886615265365524,8.81952939453227,27,0.13,3.28,25.23076923
"6","E3S",6.61824418985656,0.995921935161927,245.214345457171,1865,"E3-S_Soil","Eucalyptus",3,"Soil","Eucalyptus_Soil","S","E3_Soil",0.426645065993234,0.111104493257731,0.462250440749035,542,305,1018,4.37577525139528,0.972973374089015,37.0005491360113,661,0.000121221567048515,0.122269267735148,0.00889246781134461,0.117299183486159,0.029569403676477,0.721848455723823,3,29,16,205,57,351,2.3553075266494,0.871512327130363,7.78284778349592,20,0.15,4.46,29.73333333
"7","E4N",6.45097624325108,0.995255603543965,210.774965639313,1697,"E4-N_Soil","Eucalyptus",4,"Soil","Eucalyptus_Soil","N","E4_Soil",0.340562202346382,0.199256591938669,0.460181205714949,398,456,843,3.39273937831219,0.911701784453647,11.3252571845582,401,0.000111663223717269,0.306805873485568,0.00426553514599967,0.031522528055385,0.0194070682820613,0.637887331807269,2,26,6,98,28,241,1.94957263259631,0.775511772894098,4.45457658466986,23,0.1,2.47,24.7
"8","E4S",6.14600485529078,0.994321642873462,176.107274994472,1225,"E4-S_Soil","Eucalyptus",4,"Soil","Eucalyptus_Soil","S","E4_Soil",0.400791149215155,0.185163588224169,0.414045262560676,299,312,614,3.86026711224274,0.949522212851049,19.8106940989546,487,0,0.155580269418267,0.00197339264660384,0.0534571999565185,0.022091963442065,0.766897174536545,0,40,8,123,40,276,2.23962274102299,0.771210273110834,4.37082562052463,25,0.11,3.08,28
"9","E5N",6.49413051549413,0.996256109029552,267.101795403056,1541,"E5-N_Soil","Eucalyptus",5,"Soil","Eucalyptus_Soil","N","E5_Soil",0.386593818567547,0.146354931051018,0.467051250381435,388,300,853,3.61456084236828,0.917525582193,12.1249719196578,393,0.003202416918429,0.151248741188318,0.0629808660624371,0.0729808660624371,0.0352769385699899,0.674310171198389,5,22,9,104,38,215,2.02079048191821,0.753011583680304,4.04877287324125,21,0.1,3.13,31.3
"10","E5S",6.34867893664624,0.995661959588337,230.518829956352,1330,"E5-S_Soil","Eucalyptus",5,"Soil","Eucalyptus_Soil","S","E5_Soil",0.370518761665701,0.17097895346592,0.458502284868379,350,279,701,4.38024962851796,0.97244597841147,36.2923429085314,573,0.000799300377081707,0.278767760924555,0.0127605954317633,0.0875845142604591,0.0450053129966241,0.575082516009516,2,30,10,162,49,320,1.17713407231098,0.544794793785436,2.19681142998317,9,0.12,2.73,22.75
"11","E6N",6.2751953955145,0.995212028874165,208.856731529607,1426,"E6-N_Soil","Eucalyptus",6,"Soil","Eucalyptus_Soil","N","E6_Soil",0.40595876315686,0.154238376741686,0.439802860101454,384,310,732,3.53546043229843,0.941394883125831,17.0633564667588,303,8.31439498919129e-05,0.263852705873658,0.00501635164347874,0.0367588640688801,0.013358461282634,0.680930473181457,1,28,2,70,28,174,1.38416085260483,0.507615884847925,2.03093473007582,17,0.1,3.25,32.5
"12","E6S",6.53409104812015,0.996045151318826,252.854174866437,1773,"E6-S_Soil","Eucalyptus",6,"Soil","Eucalyptus_Soil","S","E6_Soil",0.308939971576169,0.272045387895057,0.419014640528774,390,513,870,3.37261645997252,0.909591858983737,11.0609508033144,367,0.000259702564180906,0.0693787761898579,0.00523988114788533,0.0859233571903238,0.00709599065070769,0.832102292257044,7,22,4,91,26,217,2.91359976203798,0.92358775925552,13.086908462009,32,0.08,1.76,22
