"tree_num","tree_spp","day","Water","Pyruvic_Acid_Methyl_Ester","Tween_40","Tween_80","a-Cyclodextrin","Glycogen","D-Cellobiose","a-D-Lactose","B-Methyl-D-Glucoside","D-Xylose","i-Erythritol","D-Mannitol","N-Acetyl-D-Glucosamine","D-Glucosaminic_Acid","Glucose-1-Phosphae","D,L-a-Glycerol_Phosphate","D-Galactonic_Acid_gamma_Lactone","D-Galactonic_Acid","2-Hydroxy_Benzoic_Acid","4-Hydroxy_Benzoic_Acid","gamma-Amino_Butyric_Acid","Itaconic_Acid","a-Keto_Butyric_Acid","D-Malic_Acid","L-Arginine","L-Asparagine","L-Phenylalanine","L-Serine","L-Threonine","Glycyl-L-Glutamic_Acid","Phenylethyl-amine","Putrescine"
1,"euc",1,0.0776666666666667,0.074,0.118333333333333,0.0866666666666667,0.0743333333333333,0.0866666666666667,0.076,0.0763333333333333,0.0753333333333333,0.107666666666667,0.078,0.078,0.0743333333333333,0.074,0.129333333333333,0.0793333333333333,0.0883333333333333,0.075,0.0786666666666667,0.0766666666666667,0.079,0.0723333333333333,0.077,0.076,0.079,0.0793333333333333,0.079,0.0773333333333333,0.076,0.078,0.084,0.073
2,"euc",1,0.0916666666666667,0.0926666666666667,0.0916666666666667,0.0956666666666667,0.105666666666667,0.117,0.0913333333333333,0.0926666666666667,0.0846666666666667,0.109666666666667,0.0856666666666667,0.0886666666666667,0.0916666666666667,0.0886666666666667,0.0796666666666667,0.0896666666666667,0.0896666666666667,0.0906666666666667,0.0896666666666667,0.089,0.089,0.083,0.0943333333333333,0.0916666666666667,0.0936666666666667,0.0946666666666667,0.0916666666666667,0.093,0.0886666666666667,0.0883333333333333,0.095,0.088
3,"euc",1,0.0946666666666667,0.0883333333333333,0.218333333333333,0.0933333333333333,0.0903333333333333,0.095,0.09,0.0913333333333333,0.0876666666666667,0.113333333333333,0.086,0.0886666666666667,0.0896666666666667,0.0873333333333333,0.091,0.0886666666666667,0.0893333333333333,0.098,0.115666666666667,0.1,0.096,0.082,0.158666666666667,0.0906666666666667,0.0863333333333333,0.084,0.0893333333333333,0.0863333333333333,0.093,0.09,0.0973333333333333,0.0903333333333333
4,"euc",1,0.0993333333333333,0.0896666666666667,0.0903333333333333,0.0976666666666667,0.0866666666666667,0.0996666666666667,0.0983333333333333,0.092,0.088,0.113666666666667,0.087,0.093,0.0866666666666667,0.0873333333333333,0.0923333333333333,0.0886666666666667,0.100333333333333,0.0916666666666667,0.0966666666666667,0.088,0.0846666666666667,0.0873333333333333,0.091,0.0856666666666667,0.0906666666666667,0.0926666666666667,0.0896666666666667,0.0906666666666667,0.086,0.089,0.0976666666666667,0.0873333333333333
5,"euc",1,0.079,0.074,0.0783333333333333,0.079,0.065,0.0773333333333333,0.0726666666666667,0.0716666666666667,0.0756666666666667,0.0983333333333333,0.0633333333333333,0.0716666666666667,0.0686666666666667,0.069,0.0763333333333333,0.063,0.076,0.075,0.069,0.0693333333333333,0.069,0.0706666666666667,0.0763333333333333,0.074,0.079,0.0716666666666667,0.0693333333333333,0.0736666666666667,0.068,0.0706666666666667,0.0773333333333333,0.0703333333333333
6,"euc",1,0.123,0.114333333333333,0.123,0.101,0.114666666666667,0.12,0.115,0.115333333333333,0.119333333333333,0.142666666666667,0.114333333333333,0.0996666666666667,0.115666666666667,0.116333333333333,0.115,0.114,0.117666666666667,0.115666666666667,0.123,0.102,0.115666666666667,0.110333333333333,0.115666666666667,0.116,0.122666666666667,0.120333333333333,0.117,0.105666666666667,0.115666666666667,0.113666666666667,0.118333333333333,0.107666666666667
7,"euc",1,0.0893333333333333,0.0863333333333333,0.121666666666667,0.0923333333333333,0.0993333333333333,0.093,0.0853333333333333,0.0853333333333333,0.086,0.110666666666667,0.0806666666666667,0.087,0.084,0.084,0.0853333333333333,0.09,0.0946666666666667,0.0953333333333333,0.0886666666666667,0.086,0.0876666666666667,0.087,0.085,0.091,0.0866666666666667,0.089,0.0826666666666667,0.0873333333333333,0.087,0.087,0.087,0.084
8,"euc",1,0.0983333333333333,0.0983333333333333,0.11,0.0856666666666667,0.094,0.0956666666666667,0.0966666666666667,0.0963333333333333,0.101666666666667,0.118333333333333,0.0926666666666667,0.076,0.0936666666666667,0.09,0.0973333333333333,0.097,0.177333333333333,0.105,0.095,0.095,0.097,0.0836666666666667,0.102333333333333,0.100666666666667,0.0983333333333333,0.0986666666666667,0.09,0.0963333333333333,0.0953333333333333,0.0876666666666667,0.108,0.09
9,"euc",1,0.0886666666666667,0.0736666666666667,0.239,0.0953333333333333,0.0993333333333333,0.0906666666666667,0.0783333333333333,0.0743333333333333,0.081,0.103,0.0796666666666667,0.0773333333333333,0.08,0.078,0.0806666666666667,0.0746666666666667,0.089,0.0726666666666667,0.0803333333333333,0.0756666666666667,0.0793333333333333,0.0753333333333333,0.0773333333333333,0.0763333333333333,0.079,0.078,0.076,0.0766666666666667,0.075,0.078,0.0823333333333333,0.073
1,"pine",1,0.0953333333333333,0.102,0.293,0.11,0.0966666666666667,0.107333333333333,0.0993333333333333,0.096,0.103,0.127666666666667,0.094,0.0993333333333333,0.107666666666667,0.098,0.0986666666666667,0.0956666666666667,0.172333333333333,0.114333333333333,0.108666666666667,0.103333333333333,0.0976666666666667,0.1,0.111666666666667,0.096,0.109333333333333,0.105,0.100666666666667,0.101333333333333,0.104666666666667,0.095,0.102333333333333,0.0903333333333333
2,"pine",1,0.0706666666666667,0.0703333333333333,0.0696666666666667,0.0783333333333333,0.0643333333333333,0.0736666666666667,0.0706666666666667,0.068,0.0686666666666667,0.104,0.0763333333333333,0.074,0.067,0.0763333333333333,0.0693333333333333,0.075,0.073,0.185333333333333,0.074,0.066,0.0636666666666667,0.0663333333333333,0.0706666666666667,0.0753333333333333,0.071,0.074,0.0696666666666667,0.0713333333333333,0.0693333333333333,0.0676666666666667,0.07,0.0706666666666667
3,"pine",1,0.101333333333333,0.169333333333333,0.219,0.117333333333333,0.093,0.107,0.0893333333333333,0.094,0.110333333333333,0.257666666666667,0.0923333333333333,0.100333333333333,0.0986666666666667,0.116333333333333,0.0923333333333333,0.0916666666666667,0.112333333333333,0.146666666666667,0.096,0.0873333333333333,0.0986666666666667,0.091,0.106333333333333,0.097,0.0926666666666667,0.103333333333333,0.092,0.094,0.1,0.094,0.0986666666666667,0.0926666666666667
