#OTU ID,E1-1_Root,E1-2_Root,E1-N_Soil,E1-S_Soil,E2-1_Root,E2-2_Root,E2-N_Soil,E2-S_Soil,E3-1_Root,E3-2_Root,E3-N_Soil,E3-S_Soil,E4-1_Root,E4-2_Root,E4-N_Soil,E4-S_Soil,E5-1_Root,E5-2_Root,E5-N_Soil,E5-S_Soil,E6-1_Root,E6-2_Root,E6-N_Soil,E6-S_Soil,E7-1_Root,E7-2_Root,E7-N_Soil,E7-S_Soil,E8-1_Root,E8-2_Root,E8-N_Soil,E8-S_Soil,E9-1_Root,E9-2_Root,E9-N_Soil,E9-S_Soil,Neg_Control,P1-1_Root,P1-2_Root,P1-N_Soil,P1-S_Soil,P2-1_Root,P2-2_Root,P2-N_Soil,P2-S_Soil,P3-1_Root,P3-2_Root,P3-N_Soil,P3-S_Soil,P4-1_Root,P4-2_Root,P4-N_Soil,P4-S_Soil,P5-1_Root,P5-2_Root,P5-N_Soil,P5-S_Soil,P6-1_Root,P6-2_Root,P6-N_Soil,P6-S_Soil,P7-1_Root,P7-2_Root,P7-N_Soil,P7-S_Soil,P8-1_Root,P8-2_Root,P8-N_Soil,P8-S_Soil,P9-1_Root,P9-2_Root,P9-N_Soil,P9-S_Soil
dc1054a38cbcc63bc2818262e6f31d7c,3092,2687,1531,4803,4532,2453,2023,709,7683,10024,750,1018,9250,5559,740,4953,1167,1407,1064,1327,13926,8449,1867,3588,6813,7313,5969,1552,2859,3739,1753,3106,10770,9443,6091,3902,17,11343,6636,7387,401,11365,12913,3363,3492,13802,27765,3042,1810,10090,11703,1285,2845,3775,2282,2312,7099,11239,13907,3658,5502,12235,8934,6273,1587,7083,7175,4107,4145,13963,11910,3164,2315
9d3c579db3c8df75af777a71fa6ed12f,776,391,47,7,20270,19473,10,14957,131,0,3,5,9400,14190,20,0,0,0,4,4,16,19,4,0,7870,5728,2134,14,42734,35584,497,8540,55,0,9,5,0,27074,29570,2358,40801,9155,7460,13,0,2,0,0,8,0,0,0,0,0,0,0,0,367,176,141,133,5053,2857,86,0,534,947,860,11,0,5,3,14
21873b7b56c952ed741a081d3a7a1b94,10,0,125,190,0,13,97,936,0,0,1304,44,0,0,43,151,0,0,314,211,254,2885,20,653,276,706,131,23,8437,5456,227,168,49097,50518,483,1357,40,457,82,9,15,0,3,217,46,21548,4333,237,98,3,4,108,222,137,11,10,50,18701,18962,347,227,6824,18155,3459,43,4,6,42,14,61,47,163,624
262cd43cc41baed60df6455a9992ce89,36,36,1875,5331,28,25,4222,850,8,28,3326,4073,27,7,8111,6172,33,25,4008,6915,36,112,13285,5752,75,75,12920,8188,114,128,5800,8541,69,37,4752,3600,2,25,33,233,85,91,68,1081,3659,29,50,4278,7200,70,88,6068,13384,40,65,1427,729,59,102,38840,2236,459,306,9579,454,47,64,751,1927,227,155,4174,10911
81d3dcfc54248f44259ac5cbfe83a00a,127,100,4731,2458,15,15,3525,1335,68,64,2027,3261,34,31,1473,4492,50,47,1077,3372,38,59,3469,702,26,29,3051,1021,70,117,8672,6593,158,138,14087,11911,0,119,142,460,1292,35,40,207,1355,7,15,865,2191,136,188,15110,6006,204,295,5499,7799,39,55,3891,4960,159,191,1391,1090,447,392,21613,9663,488,292,9718,4879
220271e2d4c7e007b7de9ce632279e23,76,42,691,165,65,112,430,27,7789,1003,29169,178,0,0,155,57,1794,166,9579,5092,0,0,59,72,551,1244,187,1072,126,75,1234,540,1371,2371,337,88,0,22,34,1344,3,943,2659,1945,3386,1100,616,14,3921,3619,5105,128,142,297,1054,371,549,7155,6610,1029,663,0,2,86,64,1792,3213,545,189,10667,9536,10158,9471
b86fef94ffcdabd13898a01cb63a7150,127,112,2477,1587,121,165,3444,2508,85,107,7811,3785,20,30,696,2063,43,46,1539,2358,119,290,1879,868,96,145,4650,3762,104,141,5801,5590,396,308,12940,8797,0,136,159,285,414,246,313,700,1297,71,163,6643,6752,51,35,3688,1950,169,307,2965,7162,18,39,2102,2716,1217,782,8131,1965,252,190,1638,1138,608,632,5285,6960
2264634df832ba4fb7622ea34161c3c2,113,82,3265,2278,15,10,1581,771,21,15,1152,2098,59,29,3430,5122,14,13,1561,3165,127,181,6604,1151,74,69,6565,2107,56,85,2767,3325,40,46,5490,3179,0,276,396,542,386,112,147,900,2934,92,163,2939,2781,222,219,12153,7968,75,109,5370,11363,50,81,11349,2704,206,157,4704,188,66,80,1551,11193,24,23,1067,1277
a4b86e0ee49393577571aea404dd638e,3147,2925,889,2191,3467,2128,2540,1751,362,415,41,219,675,333,25,13,7342,9059,5883,1207,3535,2584,529,18,1638,2151,2031,1530,945,1686,1021,1969,1255,1044,1033,1006,0,2087,1064,1048,227,2465,3091,1541,4099,2297,4702,1373,3192,660,880,2569,243,2831,2057,1276,448,91,117,127,881,235,159,133,1601,7474,6402,906,1418,3878,3456,809,590
ad55e0ff7a0a3ca44b034e6f7a50519e,4059,4428,2741,676,555,510,1307,2490,3461,4702,3682,4483,855,852,431,2122,384,403,203,2073,1699,2558,519,3787,1407,1638,1582,716,987,1443,4971,5846,1021,924,1531,1591,0,1399,1265,445,1765,392,500,1792,1467,966,1827,1232,1878,671,854,111,472,2728,4312,3299,2253,317,624,619,1159,4767,2258,2238,2983,3121,2291,1095,2880,3057,2460,2710,996
