sample-id	TreeSpecies	TreeID	SampleType	TreeSpecies_SampleType	Plot_Rep
#q2:types	categorical	categorical	categorical	categorical	categorical
E1.1_Root	Eucalyptus	1	Root	Eucalyptus_Root	1
E1.2_Root	Eucalyptus	1	Root	Eucalyptus_Root	2
E1.N_Soil	Eucalyptus	1	Soil	Eucalyptus_Soil	N
E1.S_Soil	Eucalyptus	1	Soil	Eucalyptus_Soil	S
E2.1_Root	Eucalyptus	2	Root	Eucalyptus_Root	1
E2.2_Root	Eucalyptus	2	Root	Eucalyptus_Root	2
E2.N_Soil	Eucalyptus	2	Soil	Eucalyptus_Soil	N
E2.S_Soil	Eucalyptus	2	Soil	Eucalyptus_Soil	S
E3.1_Root	Eucalyptus	3	Root	Eucalyptus_Root	1
E3.2_Root	Eucalyptus	3	Root	Eucalyptus_Root	2
E3.N_Soil	Eucalyptus	3	Soil	Eucalyptus_Soil	N
E3.S_Soil	Eucalyptus	3	Soil	Eucalyptus_Soil	S
E4.1_Root	Eucalyptus	4	Root	Eucalyptus_Root	1
E4.2_Root	Eucalyptus	4	Root	Eucalyptus_Root	2
E4.N_Soil	Eucalyptus	4	Soil	Eucalyptus_Soil	N
E4.S_Soil	Eucalyptus	4	Soil	Eucalyptus_Soil	S
E5.1_Root	Eucalyptus	5	Root	Eucalyptus_Root	1
E5.2_Root	Eucalyptus	5	Root	Eucalyptus_Root	2
E5.N_Soil	Eucalyptus	5	Soil	Eucalyptus_Soil	N
E5.S_Soil	Eucalyptus	5	Soil	Eucalyptus_Soil	S
E6.1_Root	Eucalyptus	6	Root	Eucalyptus_Root	1
E6.2_Root	Eucalyptus	6	Root	Eucalyptus_Root	2
E6.N_Soil	Eucalyptus	6	Soil	Eucalyptus_Soil	N
E6.S_Soil	Eucalyptus	6	Soil	Eucalyptus_Soil	S
E7.1_Root	Eucalyptus	7	Root	Eucalyptus_Root	1
E7.2_Root	Eucalyptus	7	Root	Eucalyptus_Root	2
E7.N_Soil	Eucalyptus	7	Soil	Eucalyptus_Soil	N
E7.S_Soil	Eucalyptus	7	Soil	Eucalyptus_Soil	S
E8.1_Root	Eucalyptus	8	Root	Eucalyptus_Root	1
E8.2_Root	Eucalyptus	8	Root	Eucalyptus_Root	2
E8.N_Soil	Eucalyptus	8	Soil	Eucalyptus_Soil	N
E8.S_Soil	Eucalyptus	8	Soil	Eucalyptus_Soil	S
E9.1_Root	Eucalyptus	9	Root	Eucalyptus_Root	1
E9.2_Root	Eucalyptus	9	Root	Eucalyptus_Root	2
E9.N_Soil	Eucalyptus	9	Soil	Eucalyptus_Soil	N
E9.S_Soil	Eucalyptus	9	Soil	Eucalyptus_Soil	S
Neg_Control	Neg	Neg	Neg	Neg	Neg
P1.1_Root	Pine	1	Root	Pine_Root	1
P1.2_Root	Pine	1	Root	Pine_Root	2
P1.N_Soil	Pine	1	Soil	Pine_Soil	N
P1.S_Soil	Pine	1	Soil	Pine_Soil	S
P2.1_Root	Pine	2	Root	Pine_Root	1
P2.2_Root	Pine	2	Root	Pine_Root	2
P2.N_Soil	Pine	2	Soil	Pine_Soil	N
P2.S_Soil	Pine	2	Soil	Pine_Soil	S
P3.1_Root	Pine	3	Root	Pine_Root	1
P3.2_Root	Pine	3	Root	Pine_Root	2
P3.N_Soil	Pine	3	Soil	Pine_Soil	N
P3.S_Soil	Pine	3	Soil	Pine_Soil	S
P4.1_Root	Pine	4	Root	Pine_Root	1
P4.2_Root	Pine	4	Root	Pine_Root	2
P4.N_Soil	Pine	4	Soil	Pine_Soil	N
P4.S_Soil	Pine	4	Soil	Pine_Soil	S
P5.1_Root	Pine	5	Root	Pine_Root	1
P5.2_Root	Pine	5	Root	Pine_Root	2
P5.N_Soil	Pine	5	Soil	Pine_Soil	N
P5.S_Soil	Pine	5	Soil	Pine_Soil	S
P6.1_Root	Pine	6	Root	Pine_Root	1
P6.2_Root	Pine	6	Root	Pine_Root	2
P6.N_Soil	Pine	6	Soil	Pine_Soil	N
P6.S_Soil	Pine	6	Soil	Pine_Soil	S
P7.1_Root	Pine	7	Root	Pine_Root	1
P7.2_Root	Pine	7	Root	Pine_Root	2
P7.N_Soil	Pine	7	Soil	Pine_Soil	N
P7.S_Soil	Pine	7	Soil	Pine_Soil	S
P8.1_Root	Pine	8	Root	Pine_Root	1
P8.2_Root	Pine	8	Root	Pine_Root	2
P8.N_Soil	Pine	8	Soil	Pine_Soil	N
P8.S_Soil	Pine	8	Soil	Pine_Soil	S
P9.1_Root	Pine	9	Root	Pine_Root	1
P9.2_Root	Pine	9	Root	Pine_Root	2
P9.N_Soil	Pine	9	Soil	Pine_Soil	N
P9.S_Soil	Pine	9	Soil	Pine_Soil	S
